"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2018.03.26 4:15 PM GMT","Donington Park Racing Circuit - National","Advanced Mazda MX-5 Cup Series","2018","2","N/A","2","1634"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","277531","277531","Felipe Calderon","1","3","0","Running","-00.000","19","","1:19.275","1:18.236","4","19","3","102","25","1","24","Hispanoam�rica","4243","4278","14","248","14","258","Advanced Mazda MX-5 Cup Series","30","0"
"2","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","145540","145540","Yannick Chauvin","2","1","0","Running","-13.958","0","","1:20.010","1:18.508","3","19","4","97","23","1","39","France","5508","5521","20","421","20","415","Advanced Mazda MX-5 Cup Series","30","0"
"3","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","100310","100310","Yoeri Flossie","3","4","0","Running","-16.797","0","","1:20.159","1:19.182","7","19","1","93","21","1","40","Benelux","4022","4045","18","271","18","284","Advanced Mazda MX-5 Cup Series","30","0"
"4","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","83654","83654","Mika Lirkki","4","2","0","Running","-21.550","0","","1:20.410","1:19.382","2","19","5","89","19","1","44","Finland","4518","4526","19","353","19","342","Advanced Mazda MX-5 Cup Series","30","0"
"5","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","284269","284269","Christoph Petersen","6","10","0","Running","-34.230","0","","1:21.077","1:19.277","2","19","5","85","17","5","42","DE-AT-CH","1513","1583","15","306","15","308","Advanced Mazda MX-5 Cup Series","30","0"
"6","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","264577","264577","Jean-Marie Fougou","8","8","0","Running","-49.155","0","","1:21.862","1:20.522","2","19","8","81","15","4","39","France","1631","1688","18","257","18","241","Advanced Mazda MX-5 Cup Series","30","0"
"7","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","157459","157459","Didier Lebarbier","7","17","0","Running","-57.448","0","","1:22.299","1:20.733","4","19","4","77","13","5","39","France","1272","1337","14","271","14","277","Advanced Mazda MX-5 Cup Series","30","0"
"8","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","284156","284156","Sven Ruchert","16","25","0","Running","-57.736","0","","1:22.313","1:20.743","9","19","8","73","11","5","42","DE-AT-CH","1106","1171","14","243","14","239","Advanced Mazda MX-5 Cup Series","30","0"
"9","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","199267","199267","Raymond Griffiths","12","21","0","Running","-1:02.344","0","","1:22.556","1:21.092","2","19","7","69","9","7","36","UK and I","1192","1245","14","261","14","257","Advanced Mazda MX-5 Cup Series","30","0"
"10","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","149905","149905","Joshua O'Ryan","21","14","0","Running","-1:03.461","0","","1:21.604","1:20.759","19","19","13","65","7","6","32","West","1310","1350","10","272","10","259","Advanced Mazda MX-5 Cup Series","30","0"
