"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2018.03.28 4:15 PM GMT","Circuit Park Zandvoort - Grand Prix","Advanced Mazda MX-5 Cup Series","2018","2","N/A","3","1529"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","300107","300107","Diego Cabanela","2","3","0","Running","-00.000","13","","1:56.429","1:54.885","2","13","0","90","10","3","38","Iberia","1927","2002","17","152","17","179","Advanced Mazda MX-5 Cup Series","30","0"
"2","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","266258","266258","John C Seyerle","3","6","0","Running","-12.233","0","","1:57.370","1:55.835","3","13","5","81","8","6","42","DE-AT-CH","1555","1626","14","265","14","265","Advanced Mazda MX-5 Cup Series","30","0"
"3","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","285601","285601","Juan Jose Perez Martinez","6","7","0","Running","-15.106","0","","1:57.591","1:55.536","4","13","1","72","6","6","38","Iberia","1452","1509","18","203","18","217","Advanced Mazda MX-5 Cup Series","30","0"
"4","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","251063","251063","David Antequera","1","1","0","Running","-15.251","0","","1:57.602","1:55.175","2","13","7","63","4","3","38","Iberia","2101","2115","19","339","19","322","Advanced Mazda MX-5 Cup Series","30","0"
"5","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","249286","249286","Todd Trepess","8","10","0","Running","-38.867","0","","1:59.418","1:56.524","5","13","4","54","2","6","14","New York","1080","1119","15","344","15","345","Advanced Mazda MX-5 Cup Series","30","0"
"6","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","266188","266188","Daniel Ariel Muñoz","5","5","0","Running","-40.242","0","","1:59.524","1:56.644","3","13","16","45","0","3","24","Hispanoamérica","1669","1664","9","173","9","160","Advanced Mazda MX-5 Cup Series","30","0"
"7","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","316779","316779","Horst Henkler","7","11","0","Running","-43.130","0","","1:59.746","1:56.944","4","13","12","36","0","7","42","DE-AT-CH","825","842","15","374","15","345","Advanced Mazda MX-5 Cup Series","30","0"
"8","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","168313","168313","Laszlo Z Nagy","10","8","0","Running","-47.533","0","","2:00.085","1:57.423","2","13","6","27","0","5","46","Central-Eastern Europe","1362","1334","11","354","11","352","Advanced Mazda MX-5 Cup Series","30","0"
"9","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","235593","235593","Ramon Romero Crespo","9","2","29","Disqualified","-2 L","0","","1:59.822","1:58.068","9","11","17","18","0","3","38","Iberia","2057","1983","17","139","17","97","Advanced Mazda MX-5 Cup Series","30","0"
"10","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","281157","281157","Ran Tzioni","4","4","32","Disconnected","-11 L","0","","2:18.753","","","2","7","9","0","3","1","International Club","1870","1784","11","329","11","318","Advanced Mazda MX-5 Cup Series","30","0"
"11","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","38003","38003","PJ Salley","11","9","0","Running","-11 L","0","","2:11.957","","","2","3","4","0","5","32","West","1294","1214","19","347","19","336","Advanced Mazda MX-5 Cup Series","30","0"
