"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2018.04.07 6:15 PM GMT","Circuit de Spa-Francorchamps - Grand Prix Pits","Advanced Mazda MX-5 Cup Series","2018","2","N/A","4","2717"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","227024","227024","Koldo González Gomez","1","3","0","Running","-00.000","13","","2:50.229","2:46.849","2","16","3","162","16","2","38","Iberia","3879","3945","15","338","15","354","Advanced Mazda MX-5 Cup Series","30","0"
"2","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","220631","220631","Víctor Abellán","3","7","0","Running","-00.115","0","","2:50.237","2:47.421","7","16","4","151","14","2","38","Iberia","3053","3128","13","176","14","251","Advanced Mazda MX-5 Cup Series","30","0"
"3","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","272454","272454","Dino Filippa","13","2","0","Running","-03.695","0","","2:50.460","2:47.339","13","16","14","141","12","1","24","Hispanoamérica","4875","4898","14","250","14","241","Advanced Mazda MX-5 Cup Series","30","0"
"4","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","26823","26823","Carl Modoff","14","6","0","Running","-15.543","0","","2:51.200","2:47.460","3","16","13","131","10","1","32","West","3109","3159","14","246","14","238","Advanced Mazda MX-5 Cup Series","30","0"
"5","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","268244","268244","Joe Marlin","6","9","0","Running","-28.300","0","","2:51.998","2:47.201","7","16","8","121","8","2","23","Mid-South","2830","2876","18","252","18","250","Advanced Mazda MX-5 Cup Series","30","0"
"6","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","258491","258491","David Alessandrini","2","1","0","Running","-37.289","3","","2:50.467","2:47.673","11","16","9","111","6","1","20","Ohio","5037","5022","14","228","14","237","Advanced Mazda MX-5 Cup Series","30","0"
"7","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","273161","273161","Nick Carty","7","8","0","Running","-38.250","0","","2:52.620","2:49.035","13","16","4","101","4","2","32","West","3006","3024","18","288","18","296","Advanced Mazda MX-5 Cup Series","30","0"
"8","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","42535","42535","William Nowell","4","5","0","Running","-41.064","0","","2:52.796","2:47.096","6","16","6","91","2","2","17","Virginias","3506","3500","19","319","19","320","Advanced Mazda MX-5 Cup Series","30","0"
"9","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","218201","218201","Montserrat Cervera","9","11","0","Running","-42.399","0","","2:52.879","2:48.366","14","16","14","81","0","2","38","Iberia","2224","2241","15","313","15","303","Advanced Mazda MX-5 Cup Series","30","0"
"10","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","298234","298234","Joachim Sander","5","15","0","Running","-1:00.393","0","","2:54.004","2:48.852","2","16","7","70","0","3","42","DE-AT-CH","1921","1936","19","357","19","348","Advanced Mazda MX-5 Cup Series","30","0"
"11","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","98026","98026","Kevin Woods","11","16","0","Running","-1:00.965","0","","2:53.020","2:49.528","12","16","12","60","0","3","36","UK and I","1859","1864","15","317","15","310","Advanced Mazda MX-5 Cup Series","30","0"
"12","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","246292","246292","Aldis Polis","12","10","0","Running","-1:01.588","0","","2:54.078","2:49.826","13","16","8","50","0","3","36","UK and I","2373","2351","19","381","19","361","Advanced Mazda MX-5 Cup Series","30","0"
"13","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","275892","275892","Alberto Veiga","10","17","0","Running","-1:36.430","0","","2:56.256","2:49.723","12","16","4","40","0","5","38","Iberia","1802","1787","14","245","14","267","Advanced Mazda MX-5 Cup Series","30","0"
"14","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","302488","302488","Christopher Patterson4","16","13","0","Running","-2:37.968","0","","3:00.102","2:53.418","4","16","13","30","0","3","31","Great Plains","2124","2086","14","259","14","250","Advanced Mazda MX-5 Cup Series","30","0"
"15","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","218067","218067","Adri Durieux","8","4","0","Running","-13 L","0","","2:53.010","","","3","6","20","0","1","6","California Club","3594","3503","15","351","15","337","Advanced Mazda MX-5 Cup Series","30","0"
"16","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","286219","286219","Raul Acosta2","15","12","32","Disconnected","-13 L","0","","3:05.083","","","3","5","10","0","3","42","DE-AT-CH","2164","2103","11","343","11","333","Advanced Mazda MX-5 Cup Series","30","0"
"17","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","265075","265075","Raúl Suárez López","17","14","32","Disconnected","-14 L","0","","2:56.306","","","2","13","5","0","3","38","Iberia","1963","1896","13","140","13","111","Advanced Mazda MX-5 Cup Series","30","0"
