"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2018.05.13 6:15 PM GMT","Nürburgring Grand-Prix-Strecke - BES/WEC","Advanced Mazda MX-5 Cup Series","2018","2","N/A","9","3055"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","262367","262367","Anwar Beroual-Smith","3","4","0","Running","-00.000","2","","2:16.186","2:14.913","2","12","4","182","18","1","36","UK and I","4019","4093","11","321","11","327","Advanced Mazda MX-5 Cup Series","30","0"
"2","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","237221","237221","Brian J Holmes","1","2","0","Running","-00.704","8","","2:16.244","2:15.359","7","12","8","171","16","1","36","UK and I","5598","5631","18","254","18","239","Advanced Mazda MX-5 Cup Series","30","0"
"3","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","21190","21190","Jaime Ayres","4","8","0","Running","-00.786","0","","2:16.251","2:15.103","2","12","10","161","14","2","36","UK and I","3200","3273","18","284","18","253","Advanced Mazda MX-5 Cup Series","30","0"
"4","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","128517","128517","Richard Worth","2","1","0","Running","-00.962","2","","2:16.266","2:15.412","7","12","15","151","12","1","15","Canada","6308","6309","15","345","15","315","Advanced Mazda MX-5 Cup Series","30","0"
"5","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","162350","162350","Kenny Bairolle","6","13","0","Running","-20.206","0","","2:17.869","2:16.657","6","12","12","141","10","2","40","Benelux","2562","2632","18","234","18","209","Advanced Mazda MX-5 Cup Series","30","0"
"6","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","123035","123035","Steve Hefford","7","3","0","Running","-21.602","0","","2:17.985","2:16.869","6","12","10","131","8","1","36","UK and I","4826","4830","14","215","14","209","Advanced Mazda MX-5 Cup Series","30","0"
"7","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","100310","100310","Yoeri Flossie","9","6","0","Running","-24.709","0","","2:18.244","2:16.958","3","12","2","121","6","1","40","Benelux","3796","3812","19","372","19","376","Advanced Mazda MX-5 Cup Series","30","0"
"8","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","155580","155580","Kristo Chinmai","10","12","0","Running","-25.388","0","","2:18.301","2:15.710","2","12","6","111","4","3","47","Asia","2691","2725","14","235","14","237","Advanced Mazda MX-5 Cup Series","30","0"
"9","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","261289","261289","Hampus Baaz","8","9","0","Running","-26.008","0","","2:18.353","2:17.038","5","12","3","101","2","2","43","Scandinavia","3132","3144","19","332","19","335","Advanced Mazda MX-5 Cup Series","30","0"
"10","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","298234","298234","Joachim Sander","13","16","0","Running","-33.710","0","","2:18.994","2:17.360","7","12","6","91","0","3","42","DE-AT-CH","2322","2346","20","408","19","354","Advanced Mazda MX-5 Cup Series","30","0"
"11","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","88733","88733","Jose Caballero","11","5","0","Running","-33.969","0","","2:19.016","2:16.644","2","12","7","80","0","3","38","Iberia","3836","3810","14","260","14","257","Advanced Mazda MX-5 Cup Series","30","0"
"12","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","69997","69997","Ryan G Walker","15","7","0","Running","-38.039","0","","2:19.355","2:16.857","3","12","6","70","0","1","36","UK and I","3746","3712","19","351","19","338","Advanced Mazda MX-5 Cup Series","30","0"
"13","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","286219","286219","Raul Acosta2","14","19","0","Running","-38.679","0","","2:19.408","2:17.002","6","12","8","60","0","3","42","DE-AT-CH","1941","1945","14","204","14","205","Advanced Mazda MX-5 Cup Series","30","0"
"14","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","218201","218201","Montserrat Cervera","17","15","0","Running","-40.498","0","","2:19.559","2:17.771","2","12","5","50","0","2","38","Iberia","2366","2348","14","220","14","227","Advanced Mazda MX-5 Cup Series","30","0"
"15","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","98620","98620","Jose Brito","19","14","0","Running","-56.879","0","","2:20.924","2:17.003","6","12","14","40","0","2","45","Brazil","2432","2401","19","327","18","247","Advanced Mazda MX-5 Cup Series","30","0"
"16","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","98026","98026","Kevin Woods","18","18","0","Running","-57.149","0","","2:20.947","2:19.115","3","12","4","30","0","3","36","UK and I","1978","1950","15","333","15","335","Advanced Mazda MX-5 Cup Series","30","0"
"17","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","282196","282196","Yousephe Carrera","16","17","0","Running","-1:02.916","0","","2:21.427","2:19.617","10","12","7","20","0","4","38","Iberia","2253","2206","19","317","19","305","Advanced Mazda MX-5 Cup Series","30","0"
"18","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","221370","221370","Robert Wielinga","12","11","0","Running","-1:40.418","0","","2:21.160","2:18.311","4","12","5","10","0","2","40","Benelux","2831","2757","18","292","18","283","Advanced Mazda MX-5 Cup Series","30","0"
"19","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","275395","275395","Imanol Azurmendi","5","10","32","Disconnected","-6 L","0","","2:24.024","2:20.272","3","6","13","5","0","2","38","Iberia","2963","2876","15","318","14","249","Advanced Mazda MX-5 Cup Series","30","0"
