"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2018.05.14 8:15 PM GMT","N¸rburgring Grand-Prix-Strecke - BES/WEC","Advanced Mazda MX-5 Cup Series","2018","2","N/A","9","1827"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","60841","60841","Giuseppe Cantore","1","4","0","Running","-00.000","2","","2:17.921","2:16.909","3","11","1","114","26","2","41","Italy","3850","3896","15","382","15","391","Advanced Mazda MX-5 Cup Series","30","0"
"2","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","65554","65554","David Waters2","4","5","0","Running","-02.511","1","","2:18.341","2:17.511","9","11","12","109","24","2","36","UK and I","3338","3387","14","219","14","207","Advanced Mazda MX-5 Cup Series","30","0"
"3","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","155580","155580","Kristo Chinmai","8","7","0","Running","-05.271","0","","2:18.400","2:17.460","7","11","4","105","22","3","47","Asia","2725","2780","14","237","14","243","Advanced Mazda MX-5 Cup Series","30","0"
"4","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","82224","82224","Jean-FranÁois  Penot","3","6","0","Running","-09.472","8","","2:18.782","2:17.139","3","11","6","100","20","2","39","France","3302","3337","15","348","15","343","Advanced Mazda MX-5 Cup Series","30","0"
"5","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","311541","311541","Maks Bunevich3","22","2","0","Running","-11.577","0","","2:18.972","2:16.517","10","11","10","96","18","2","46","Central-Eastern Europe","4121","4133","17","123","17","112","Advanced Mazda MX-5 Cup Series","30","0"
"6","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","113811","113811","Johan Lespinasse","2","1","0","Running","-12.137","0","","2:19.024","2:17.266","10","11","7","92","16","1","39","France","4313","4314","17","151","17","147","Advanced Mazda MX-5 Cup Series","30","0"
"7","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","303165","303165","Mark Hellerich2","6","8","0","Running","-13.810","0","","2:19.176","2:17.661","4","11","5","87","14","3","42","DE-AT-CH","2409","2443","11","334","11","336","Advanced Mazda MX-5 Cup Series","30","0"
"8","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","173366","173366","Marcel Mˆller","13","15","0","Running","-21.772","0","","2:19.899","2:18.495","4","11","13","83","12","3","42","DE-AT-CH","1672","1723","11","351","11","335","Advanced Mazda MX-5 Cup Series","30","0"
"9","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","112475","112475","Maxime Durand","9","19","0","Running","-25.101","0","","2:20.202","2:18.925","2","11","9","78","10","5","39","France","1292","1350","10","237","10","235","Advanced Mazda MX-5 Cup Series","30","0"
"10","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","18538","18538","Scott Edwards","23","3","0","Running","-34.587","0","","2:21.063","2:18.320","5","11","3","74","8","1","36","UK and I","4045","4022","19","335","19","332","Advanced Mazda MX-5 Cup Series","30","0"
