"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2018.05.16 8:15 PM GMT","Circuit des 24 Heures du Mans - 24 Heures du Mans","Advanced Mazda MX-5 Cup Series","2018","2","N/A","10","2878"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","53101","53101","Robert R Hartley","8","1","0","Running","-00.000","4","","5:01.421","4:54.947","7","9","0","170","15","1","25","Carolina","9442","9450","19","352","19","375","Advanced Mazda MX-5 Cup Series","30","0"
"2","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","311541","311541","Maks Bunevich3","1","3","0","Running","-00.613","3","","5:01.490","4:55.824","8","9","3","158","13","2","46","Central-Eastern Europe","4211","4265","17","117","17","154","Advanced Mazda MX-5 Cup Series","30","0"
"3","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","271958","271958","Cail SanJorge2","6","12","0","Running","-43.440","0","","5:06.248","4:56.937","8","9","10","147","11","2","24","Hispanoamérica","2282","2371","17","196","17","187","Advanced Mazda MX-5 Cup Series","30","0"
"4","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","257447","257447","Marco Cadenazzi","11","7","0","Running","-44.442","0","","5:06.358","4:58.307","8","9","0","136","9","2","41","Italy","3126","3180","15","358","15","383","Advanced Mazda MX-5 Cup Series","30","0"
"5","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","261289","261289","Hampus Baaz","10","6","0","Running","-46.309","0","","5:06.566","4:58.446","8","9","6","124","7","2","43","Scandinavia","3106","3148","18","253","18","257","Advanced Mazda MX-5 Cup Series","30","0"
"6","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","82224","82224","Jean-François  Penot","4","5","0","Running","-54.246","1","","4:57.564","4:54.459","4","9","3","113","5","2","39","France","3337","3360","15","343","15","357","Advanced Mazda MX-5 Cup Series","30","0"
"7","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","249600","249600","Alejandro Yanes","15","14","0","Running","-56.189","0","","5:07.663","4:57.723","9","9","1","102","3","3","38","Iberia","1875","1927","15","350","15","372","Advanced Mazda MX-5 Cup Series","30","0"
"8","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","221370","221370","Robert Wielinga","3","9","0","Running","-1:05.018","0","","5:08.645","4:59.564","7","9","4","90","1","2","40","Benelux","2776","2789","18","287","18","299","Advanced Mazda MX-5 Cup Series","30","0"
"9","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","100220","100220","C Love","5","10","0","Running","-1:14.727","0","","5:09.724","5:01.124","7","9","6","79","0","2","36","UK and I","2712","2714","16","407","16","410","Advanced Mazda MX-5 Cup Series","30","0"
"10","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","290955","290955","Miquel Ramos","7","16","0","Running","-1:15.571","0","","5:09.818","5:02.167","3","9","9","68","0","3","38","Iberia","1816","1832","19","361","19","343","Advanced Mazda MX-5 Cup Series","30","0"
"11","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","100310","100310","Yoeri Flossie","9","4","0","Running","-1:15.809","0","","5:09.844","4:59.122","7","9","1","56","0","1","40","Benelux","3780","3731","20","417","20","431","Advanced Mazda MX-5 Cup Series","30","0"
"12","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","272625","272625","Michael Berg","14","13","0","Running","-2:31.486","0","","5:18.252","5:07.748","7","9","1","45","0","3","42","DE-AT-CH","1932","1921","18","234","18","262","Advanced Mazda MX-5 Cup Series","30","0"
"13","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","268288","268288","Niklas Wetzel","13","11","0","Running","-2 L","0","","5:03.420","4:57.625","3","7","8","34","0","3","42","DE-AT-CH","2497","2456","15","382","15","367","Advanced Mazda MX-5 Cup Series","30","0"
"14","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","152965","152965","Alan Chapman","2","2","0","Running","-3 L","1","","4:58.326","4:54.914","3","6","3","22","0","1","36","UK and I","5550","5432","15","370","15","375","Advanced Mazda MX-5 Cup Series","30","0"
"15","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","311360","311360","Jaime Fernandez","16","15","32","Disconnected","-7 L","0","","5:16.120","5:06.683","2","2","0","11","0","3","38","Iberia","1872","1825","18","242","18","251","Advanced Mazda MX-5 Cup Series","30","0"
"16","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","245397","245397","Adam McNally","12","8","32","Disconnected","-7 L","0","","5:30.053","","","2","1","5","0","1","36","UK and I","2837","2750","13","154","13","168","Advanced Mazda MX-5 Cup Series","30","0"
