"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2018.01.21 6:00 PM GMT","Mazda Raceway Laguna Seca - Full Course","Dallara Dash","2018","1","N/A","6","1349"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","29","Indycar Dallara circa 2011","26","Dallara IndyCar","255323","255323","Michael Kildevaeld","1","66","0","Running","-00.000","10","","1:13.078","1:11.930","3","10","1","0","0","0","12","New England","2143","2143","19","342","19","342","Dallara Dash","100","0"
"2","29","Indycar Dallara circa 2011","26","Dallara IndyCar","59850","59850","Mark Bartholomew","19","14","0","Running","-48.291","0","","1:17.905","1:14.593","5","10","17","0","0","0","14","New York","1304","1304","7","344","7","344","Dallara Dash","100","0"
"3","29","Indycar Dallara circa 2011","26","Dallara IndyCar","18034","18034","Kelly Thomas","12","26","0","Running","-48.601","0","","1:17.937","1:14.221","2","10","7","0","0","0","6","California Club","1794","1794","19","309","19","309","Dallara Dash","100","0"
"4","29","Indycar Dallara circa 2011","26","Dallara IndyCar","169151","169151","Joshua Lad","21","16","0","Running","-56.423","0","","1:18.718","1:12.078","4","10","33","0","0","0","36","UK and I","","","2","205","2","205","Dallara Dash","100","0"
"5","29","Indycar Dallara circa 2011","26","Dallara IndyCar","241374","241374","Scott Olson2","4","15","0","Running","-1:07.709","0","","1:18.113","1:13.385","9","10","8","0","0","0","20","Ohio","","","2","250","2","250","Dallara Dash","100","0"
"6","29","Indycar Dallara circa 2011","26","Dallara IndyCar","107184","107184","Drew Young","6","1","0","Running","-1:09.030","0","","1:19.981","1:15.242","2","10","10","0","0","0","16","Pennsylvania","1266","1266","10","264","10","264","Dallara Dash","100","0"
"7","29","Indycar Dallara circa 2011","26","Dallara IndyCar","309630","309630","Ain Ruiz Dorado","18","11","0","Running","-1:15.230","0","","1:20.599","1:17.482","9","10","24","0","0","0","24","Hispanoamérica","","","2","247","2","247","Dallara Dash","100","0"
"8","29","Indycar Dallara circa 2011","26","Dallara IndyCar","295419","295419","Tim Perez","2","10","0","Running","-1 L","0","","1:20.119","1:13.005","7","9","14","0","0","0","27","Indiana","","","2","250","2","250","Dallara Dash","100","0"
"9","29","Indycar Dallara circa 2011","26","Dallara IndyCar","299031","299031","Nicolas Cool","5","12","0","Running","-1 L","0","","1:17.099","1:14.182","5","9","9","0","0","0","15","Canada","","","2","237","2","237","Dallara Dash","100","0"
"10","29","Indycar Dallara circa 2011","26","Dallara IndyCar","295330","295330","Michael Carson","8","5","0","Running","-1 L","0","","1:20.383","1:14.752","2","9","14","0","0","0","27","Indiana","","","2","250","2","250","Dallara Dash","100","0"
"11","29","Indycar Dallara circa 2011","26","Dallara IndyCar","310456","310456","Erwan Woudstra","15","6","0","Running","-2 L","0","","1:18.496","1:14.723","5","8","24","0","0","0","40","Benelux","","","2","250","2","250","Dallara Dash","100","0"
"12","29","Indycar Dallara circa 2011","26","Dallara IndyCar","309464","309464","Han Nguyen","13","2","0","Running","-2 L","0","","1:20.871","1:17.400","6","8","16","0","0","0","30","Texas","","","2","250","2","250","Dallara Dash","100","0"
"13","29","Indycar Dallara circa 2011","26","Dallara IndyCar","310278","310278","Robert Haschner","14","3","0","Running","-2 L","0","","1:20.259","1:15.093","7","8","25","0","0","0","42","DE-AT-CH","","","2","250","2","250","Dallara Dash","100","0"
"14","29","Indycar Dallara circa 2011","26","Dallara IndyCar","165252","165252","Ray Cohen","11","25","0","Running","-3 L","0","","1:24.204","","","7","16","0","0","0","28","Michigan","2294","2294","15","376","15","376","Dallara Dash","100","0"
"15","29","Indycar Dallara circa 2011","26","Dallara IndyCar","301372","301372","Thomas Edwards5","20","13","0","Running","-4 L","0","","1:45.709","","","6","38","0","0","0","36","UK and I","","","2","231","2","231","Dallara Dash","100","0"
"16","29","Indycar Dallara circa 2011","26","Dallara IndyCar","52369","52369","Joe Marks","3","4","32","Disconnected","-6 L","0","","1:16.415","1:13.334","4","4","6","0","0","0","32","West","2783","2783","19","367","19","367","Dallara Dash","100","0"
"17","29","Indycar Dallara circa 2011","26","Dallara IndyCar","308082","308082","Gyorgy Hosszu","7","9","0","Running","-8 L","0","","1:26.045","","","2","8","0","0","0","42","DE-AT-CH","","","2","250","2","250","Dallara Dash","100","0"
"18","29","Indycar Dallara circa 2011","26","Dallara IndyCar","310479","310479","Amir Ghaffari","16","7","32","Disconnected","-8 L","0","","1:57.445","","","2","22","0","0","0","22","Florida","","","2","250","2","250","Dallara Dash","100","0"
"19","29","Indycar Dallara circa 2011","26","Dallara IndyCar","287068","287068","Davenee Dear","10","18","32","Disconnected","-9 L","0","","1:31.046","","","1","13","0","0","0","14","New York","","","1","147","1","147","Dallara Dash","100","0"
"20","29","Indycar Dallara circa 2011","26","Dallara IndyCar","304716","304716","Lisa Bates","9","34","32","Disconnected","-10 L","0","","00.000","","","0","8","0","0","0","29","Midwest","","","2","239","2","239","Dallara Dash","100","0"
"21","29","Indycar Dallara circa 2011","26","Dallara IndyCar","309990","309990","Alejandro Nicolas","17","8","32","Disconnected","-10 L","0","","00.000","","","0","6","0","0","0","38","Iberia","","","2","250","2","250","Dallara Dash","100","0"
"22","29","Indycar Dallara circa 2011","26","Dallara IndyCar","287611","287611","Robin Jerome","22","24","32","Disconnected","-10 L","0","","00.000","","","0","0","0","0","0","39","France","1428","1428","8","420","8","420","Dallara Dash","100","0"
"23","29","Indycar Dallara circa 2011","26","Dallara IndyCar","301400","301400","Jeff Harlan","23","17","32","Disconnected","-10 L","0","","00.000","","","0","0","0","0","0","6","California Club","","","2","210","2","210","Dallara Dash","100","0"
