"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2018.02.15 8:15 PM GMT","Las Vegas Motor Speedway - Oval","IndyCar Series - Oval - Fixed","2018","1","N/A","10","2373"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","57","Dallara DW12","63","Dallara DW12","28925","28925","Chad Osborn","3","4","0","Running","-00.000","18","","27.505","24.673","62","75","0","146","22","2","32","West","3262","3332","20","434","20","450","IndyCar Series - Oval - Fixed","100","0"
"2","57","Dallara DW12","63","Dallara DW12","228709","228709","Ben Wallace","8","11","0","Running","-00.693","0","","27.515","24.656","2","75","0","139","20","2","36","UK and I","2440","2525","19","363","19","386","IndyCar Series - Oval - Fixed","100","0"
"3","57","Dallara DW12","63","Dallara DW12","136835","136835","David Warhurst","1","1","0","Running","-01.818","45","","27.530","24.676","51","75","0","132","18","1","21","Georgia","3720","3762","20","493","20","499","IndyCar Series - Oval - Fixed","100","0"
"4","57","Dallara DW12","63","Dallara DW12","66011","66011","Alexander Khursanov","10","10","0","Running","-03.288","2","","27.549","24.609","14","75","0","126","16","2","46","Central-Eastern Europe","2599","2662","19","318","19","337","IndyCar Series - Oval - Fixed","100","0"
"5","57","Dallara DW12","63","Dallara DW12","38174","38174","Michael Duforest","23","7","0","Running","-03.364","0","","27.550","24.424","65","75","0","119","14","2","40","Benelux","2757","2807","18","248","18","280","IndyCar Series - Oval - Fixed","100","0"
"6","57","Dallara DW12","63","Dallara DW12","71917","71917","Brandon Jenkins","6","3","0","Running","-03.573","0","","27.553","24.432","65","75","0","112","12","2","25","Carolina","3379","3403","19","392","20","457","IndyCar Series - Oval - Fixed","100","0"
"7","57","Dallara DW12","63","Dallara DW12","190579","190579","Allan Moreira","9","5","0","Running","-06.382","7","","27.590","24.564","13","75","0","106","10","1","45","Brazil","3139","3161","18","252","18","283","IndyCar Series - Oval - Fixed","100","0"
"8","57","Dallara DW12","63","Dallara DW12","80597","80597","Marcel Gagne","20","8","0","Running","-09.563","0","","27.633","24.588","36","75","0","99","8","2","15","Canada","2753","2777","19","353","19","375","IndyCar Series - Oval - Fixed","100","0"
"9","57","Dallara DW12","63","Dallara DW12","295132","295132","Brandon Stephens","11","13","0","Running","-09.589","0","","27.633","24.491","14","75","0","92","6","3","27","Indiana","2162","2196","19","331","19","353","IndyCar Series - Oval - Fixed","100","0"
"10","57","Dallara DW12","63","Dallara DW12","194696","194696","Sylvain Moraine","15","16","0","Running","-11.990","3","","27.665","24.583","4","75","0","86","4","3","39","France","1999","2030","15","352","15","375","IndyCar Series - Oval - Fixed","100","0"
"11","57","Dallara DW12","63","Dallara DW12","236704","236704","Derek Hartford","21","21","0","Running","-12.372","0","","27.670","24.627","41","75","0","79","2","4","12","New England","1755","1786","18","235","18","265","IndyCar Series - Oval - Fixed","100","0"
