"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2017.12.22 6:45 PM GMT","Mazda Raceway Laguna Seca - Full Course","iRacing Formula Renault 2.0","2018","1","N/A","2","2883"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","74","Formula Renault 2.0","81","Formula Renault 2.0","250545","250545","Adam Tierney","1","1","0","Running","-00.000","23","","1:17.498","1:16.943","23","23","0","174","19","1","36","UK and I","4400","4457","19","350","19","368","iRacing Formula Renault 2.0","100","0"
"2","74","Formula Renault 2.0","81","Formula Renault 2.0","206611","206611","Carlos García Ramos de Lorenzo Cáceres","2","2","0","Running","-20.802","0","","1:18.403","1:17.633","13","23","0","164","17","1","38","Iberia","4125","4178","19","341","19","359","iRacing Formula Renault 2.0","100","0"
"3","74","Formula Renault 2.0","81","Formula Renault 2.0","46916","46916","Yannick Ongena","4","4","0","Running","-31.370","0","","1:18.862","1:17.539","22","23","2","155","15","2","40","Benelux","3534","3592","18","226","18","247","iRacing Formula Renault 2.0","100","0"
"4","74","Formula Renault 2.0","81","Formula Renault 2.0","90425","90425","Knut Martinsen","5","3","0","Running","-37.350","0","","1:19.122","1:18.045","15","23","3","146","13","1","43","Scandinavia","3782","3824","20","424","20","424","iRacing Formula Renault 2.0","100","0"
"5","74","Formula Renault 2.0","81","Formula Renault 2.0","141541","141541","Stephan Chantal","7","10","0","Running","-37.754","0","","1:19.140","1:18.045","20","23","3","137","11","2","15","Canada","2932","2987","17","165","17","182","iRacing Formula Renault 2.0","100","0"
"6","74","Formula Renault 2.0","81","Formula Renault 2.0","221395","221395","Matthew Woollett","10","7","0","Running","-43.647","0","","1:19.396","1:18.266","11","23","5","128","9","2","36","UK and I","3361","3394","15","339","15","342","iRacing Formula Renault 2.0","100","0"
"7","74","Formula Renault 2.0","81","Formula Renault 2.0","184419","184419","Jesus Manuel","8","6","0","Running","-49.142","0","","1:19.635","1:18.568","19","23","0","119","7","2","38","Iberia","3445","3466","19","356","19","373","iRacing Formula Renault 2.0","100","0"
"8","74","Formula Renault 2.0","81","Formula Renault 2.0","154266","154266","Stephan Roesgen","9","12","0","Running","-52.169","0","","1:19.766","1:18.137","17","23","1","109","5","2","42","DE-AT-CH","2860","2887","17","147","17","183","iRacing Formula Renault 2.0","100","0"
"9","74","Formula Renault 2.0","81","Formula Renault 2.0","298765","298765","Jordi Angrill Riera","12","16","0","Running","-1:01.149","0","","1:20.157","1:18.721","16","23","4","100","3","3","38","Iberia","2295","2329","19","330","19","332","iRacing Formula Renault 2.0","100","0"
"10","74","Formula Renault 2.0","81","Formula Renault 2.0","255380","255380","I.M Keeman","6","9","0","Running","-1:12.665","0","","1:20.658","1:18.460","3","23","10","91","1","2","40","Benelux","3092","3093","17","175","17","156","iRacing Formula Renault 2.0","100","0"
"11","74","Formula Renault 2.0","81","Formula Renault 2.0","288333","288333","Oier Jugo","13","15","0","Running","-1:15.383","0","","1:20.775","1:19.609","7","23","1","82","0","2","38","Iberia","2440","2450","15","334","15","344","iRacing Formula Renault 2.0","100","0"
"12","74","Formula Renault 2.0","81","Formula Renault 2.0","259083","259083","Michael Edens","16","8","0","Running","-1 L","0","","1:21.663","1:19.967","10","22","0","73","0","2","36","UK and I","3162","3141","20","446","20","456","iRacing Formula Renault 2.0","100","0"
"13","74","Formula Renault 2.0","81","Formula Renault 2.0","50401","50401","Robert Plumley","14","5","0","Running","-1 L","0","","1:21.919","1:19.597","22","22","7","64","0","1","36","UK and I","3517","3477","13","172","13","188","iRacing Formula Renault 2.0","100","0"
"14","74","Formula Renault 2.0","81","Formula Renault 2.0","104246","104246","Andreas Nilsson","18","19","0","Running","-1 L","0","","1:22.382","1:20.181","21","22","4","54","0","3","43","Scandinavia","2031","2025","20","407","20","402","iRacing Formula Renault 2.0","100","0"
"15","74","Formula Renault 2.0","81","Formula Renault 2.0","265220","265220","Rafael Serna","19","20","0","Running","-1 L","0","","1:22.258","1:20.599","18","22","4","45","0","3","38","Iberia","2015","1999","18","234","18","241","iRacing Formula Renault 2.0","100","0"
"16","74","Formula Renault 2.0","81","Formula Renault 2.0","220631","220631","Víctor Abellán","15","14","0","Running","-1 L","0","","1:23.322","1:19.115","11","22","5","36","0","3","38","Iberia","2447","2407","11","350","11","358","iRacing Formula Renault 2.0","100","0"
"17","74","Formula Renault 2.0","81","Formula Renault 2.0","227024","227024","Koldo González Gomez","17","11","0","Running","-2 L","0","","1:25.290","1:21.613","10","21","2","27","0","2","38","Iberia","2927","2863","11","345","11","358","iRacing Formula Renault 2.0","100","0"
"18","74","Formula Renault 2.0","81","Formula Renault 2.0","159911","159911","Binesh Lad","11","17","32","Disconnected","-9 L","0","","1:23.186","1:21.159","9","14","6","18","0","3","36","UK and I","2260","2206","15","373","15","364","iRacing Formula Renault 2.0","100","0"
"19","74","Formula Renault 2.0","81","Formula Renault 2.0","112051","112051","Tye Macleod","3","13","32","Disconnected","-20 L","0","","1:20.497","1:19.141","2","3","1","9","0","2","36","UK and I","2826","2745","15","337","15","333","iRacing Formula Renault 2.0","100","0"
"20","74","Formula Renault 2.0","81","Formula Renault 2.0","266454","266454","Sergio Almela Jr","20","18","32","Disconnected","-23 L","0","","00.000","","","0","0","0","0","3","38","Iberia","2122","2053","14","270","14","270","iRacing Formula Renault 2.0","100","0"
