"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2017.12.31 4:45 PM GMT","Donington Park Racing Circuit - National","iRacing Formula Renault 2.0","2018","1","N/A","3","2885"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","74","Formula Renault 2.0","81","Formula Renault 2.0","255997","255997","Richard ARNAUD","1","3","0","Running","-00.000","30","","1:02.082","1:01.471","24","30","1","174","19","1","39","France","4513","4570","19","329","19","345","iRacing Formula Renault 2.0","100","0"
"2","74","Formula Renault 2.0","81","Formula Renault 2.0","263262","263262","Anthony Wynne","5","20","0","Running","-18.000","0","","1:02.682","1:01.665","28","30","1","164","17","3","36","UK and I","1882","2000","13","125","13","165","iRacing Formula Renault 2.0","100","0"
"3","74","Formula Renault 2.0","81","Formula Renault 2.0","220596","220596","Rudolf Nagel","4","8","0","Running","-19.404","0","","1:02.729","1:01.940","28","30","7","155","15","2","42","DE-AT-CH","3126","3196","18","218","18","224","iRacing Formula Renault 2.0","100","0"
"4","74","Formula Renault 2.0","81","Formula Renault 2.0","255380","255380","I.M Keeman","6","7","0","Running","-27.691","0","","1:03.013","1:02.188","9","30","8","146","13","2","40","Benelux","3135","3195","17","114","17","126","iRacing Formula Renault 2.0","100","0"
"5","74","Formula Renault 2.0","81","Formula Renault 2.0","121700","121700","David Gimeno Bou","8","10","0","Running","-33.107","0","","1:03.185","1:02.449","17","30","2","137","11","2","38","Iberia","3012","3065","17","163","17","193","iRacing Formula Renault 2.0","100","0"
"6","74","Formula Renault 2.0","81","Formula Renault 2.0","53721","53721","Lubomir Moric","7","4","0","Running","-34.237","0","","1:03.223","1:02.029","29","30","3","128","9","1","46","Central-Eastern Europe","4346","4357","20","454","20","455","iRacing Formula Renault 2.0","100","0"
"7","74","Formula Renault 2.0","81","Formula Renault 2.0","305207","305207","Greg Daven","9","12","0","Running","-41.915","0","","1:03.479","1:02.067","14","30","9","119","7","4","39","France","2976","3010","15","355","15","347","iRacing Formula Renault 2.0","100","0"
"8","74","Formula Renault 2.0","81","Formula Renault 2.0","67395","67395","Nikolay Andreev","12","14","0","Running","-44.451","0","","1:03.563","1:02.157","26","30","5","109","5","2","46","Central-Eastern Europe","2555","2592","11","330","11","340","iRacing Formula Renault 2.0","100","0"
"9","74","Formula Renault 2.0","81","Formula Renault 2.0","214757","214757","Frederic Sbardellini","13","13","0","Running","-45.839","0","","1:03.610","1:02.374","29","30","6","100","3","2","39","France","2826","2845","17","109","17","131","iRacing Formula Renault 2.0","100","0"
"10","74","Formula Renault 2.0","81","Formula Renault 2.0","267422","267422","Edward Raprager","10","17","0","Running","-51.094","0","","1:03.785","1:02.653","25","30","2","91","1","3","36","UK and I","2056","2088","18","246","18","268","iRacing Formula Renault 2.0","100","0"
"11","74","Formula Renault 2.0","81","Formula Renault 2.0","62957","62957","David Roberts2","11","19","0","Running","-51.633","0","","1:03.803","1:02.668","28","30","1","82","0","3","36","UK and I","2004","2028","15","353","15","372","iRacing Formula Renault 2.0","100","0"
"12","74","Formula Renault 2.0","81","Formula Renault 2.0","230861","230861","Kim Koch","15","15","0","Running","-1 L","0","","1:04.390","1:02.943","17","29","6","73","0","2","42","DE-AT-CH","2295","2300","18","243","18","246","iRacing Formula Renault 2.0","100","0"
"13","74","Formula Renault 2.0","81","Formula Renault 2.0","164517","164517","David Porcelli","3","2","0","Running","-1 L","0","","1:05.248","1:02.355","2","29","10","64","0","1","19","New Jersey","4543","4481","18","248","18","232","iRacing Formula Renault 2.0","100","0"
"14","74","Formula Renault 2.0","81","Formula Renault 2.0","31118","31118","Daniel Buck","18","6","0","Running","-1 L","0","","1:05.747","1:03.364","18","29","4","54","0","2","45","Brazil","3151","3112","19","316","19","318","iRacing Formula Renault 2.0","100","0"
"15","74","Formula Renault 2.0","81","Formula Renault 2.0","166764","166764","Alexander Porcelli","20","18","0","Running","-1 L","0","","1:06.127","1:02.797","25","29","11","45","0","3","19","New Jersey","2041","2025","14","252","14","240","iRacing Formula Renault 2.0","100","0"
"16","74","Formula Renault 2.0","81","Formula Renault 2.0","224623","224623","Leonard O Cheri","19","16","32","Disconnected","-23 L","0","","1:13.340","1:03.661","2","7","8","36","0","3","43","Scandinavia","2103","2075","14","206","13","142","iRacing Formula Renault 2.0","100","0"
"17","74","Formula Renault 2.0","81","Formula Renault 2.0","124239","124239","J Martinez","2","1","32","Disconnected","-26 L","0","","1:09.429","1:02.329","2","4","2","27","0","1","38","Iberia","4983","4872","20","499","20","497","iRacing Formula Renault 2.0","100","0"
"18","74","Formula Renault 2.0","81","Formula Renault 2.0","40722","40722","Mansuet Grasser","14","9","32","Disconnected","-27 L","0","","1:10.139","","","3","7","18","0","2","42","DE-AT-CH","3032","2956","19","329","19","305","iRacing Formula Renault 2.0","100","0"
"19","74","Formula Renault 2.0","81","Formula Renault 2.0","154266","154266","Stephan Roesgen","16","11","32","Disconnected","-27 L","0","","1:12.369","","","3","9","9","0","2","42","DE-AT-CH","3005","2920","18","248","18","215","iRacing Formula Renault 2.0","100","0"
"20","74","Formula Renault 2.0","81","Formula Renault 2.0","189577","189577","Nicol Foggie","17","5","32","Disconnected","-28 L","0","","1:11.010","","","2","10","4","0","2","36","UK and I","3293","3190","11","362","11","339","iRacing Formula Renault 2.0","100","0"
