"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2018.01.05 8:45 PM GMT","Silverstone Circuit - Historical Grand Prix","iRacing Formula Renault 2.0","2018","1","N/A","4","2425"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","74","Formula Renault 2.0","81","Formula Renault 2.0","139837","139837","Tom van Doorn","1","1","0","Running","-00.000","15","","1:37.436","1:36.665","11","15","0","147","18","1","40","Benelux","3804","3860","14","259","14","282","iRacing Formula Renault 2.0","100","0"
"2","74","Formula Renault 2.0","81","Formula Renault 2.0","220691","220691","Gerard Ocariz","3","11","0","Running","-07.642","0","","1:37.946","1:37.239","8","15","0","138","16","2","38","Iberia","2448","2531","15","358","15","377","iRacing Formula Renault 2.0","100","0"
"3","74","Formula Renault 2.0","81","Formula Renault 2.0","177502","177502","David Rey","4","4","0","Running","-07.903","0","","1:37.963","1:36.893","13","15","0","130","14","2","36","UK and I","2866","2927","15","356","15","374","iRacing Formula Renault 2.0","100","0"
"4","74","Formula Renault 2.0","81","Formula Renault 2.0","304788","304788","Alexey Sirotkin","5","14","0","Running","-15.350","0","","1:38.459","1:37.301","6","15","0","122","12","3","46","Central-Eastern Europe","2148","2221","19","362","19","377","iRacing Formula Renault 2.0","100","0"
"5","74","Formula Renault 2.0","81","Formula Renault 2.0","102607","102607","Robert De-Souza","9","3","0","Running","-16.203","0","","1:38.584","1:37.407","9","15","2","114","10","2","36","UK and I","3036","3071","18","269","18","284","iRacing Formula Renault 2.0","100","0"
"6","74","Formula Renault 2.0","81","Formula Renault 2.0","200241","200241","Cris Higgs","11","16","0","Running","-17.679","0","","1:38.614","1:37.320","13","15","3","106","8","4","36","UK and I","1827","1890","15","336","15","346","iRacing Formula Renault 2.0","100","0"
"7","74","Formula Renault 2.0","81","Formula Renault 2.0","67395","67395","Nikolay Andreev","2","9","0","Running","-17.726","0","","1:38.618","1:37.007","13","15","2","98","6","2","46","Central-Eastern Europe","2573","2600","15","343","15","355","iRacing Formula Renault 2.0","100","0"
"8","74","Formula Renault 2.0","81","Formula Renault 2.0","256498","256498","David Buitelaar","8","8","0","Running","-20.675","0","","1:38.814","1:37.649","9","15","1","89","4","2","39","France","2577","2594","15","346","15","362","iRacing Formula Renault 2.0","100","0"
"9","74","Formula Renault 2.0","81","Formula Renault 2.0","120570","120570","Matt Malone","14","2","0","Running","-33.608","0","","1:39.676","1:37.989","8","15","1","81","2","2","26","Illinois","3466","3448","17","121","17","154","iRacing Formula Renault 2.0","100","0"
"10","74","Formula Renault 2.0","81","Formula Renault 2.0","21371","21371","Albert de Neeling","6","10","0","Running","-33.872","0","","1:39.694","1:37.916","6","15","2","73","0","2","40","Benelux","2525","2523","19","342","19","350","iRacing Formula Renault 2.0","100","0"
"11","74","Formula Renault 2.0","81","Formula Renault 2.0","60791","60791","Kristof De Busser","19","7","0","Running","-39.904","0","","1:40.095","1:38.359","14","15","0","65","0","2","40","Benelux","2593","2579","20","499","20","499","iRacing Formula Renault 2.0","100","0"
"12","74","Formula Renault 2.0","81","Formula Renault 2.0","220631","220631","Víctor Abellán","18","12","0","Running","-41.792","0","","1:40.221","1:37.355","14","15","4","57","0","3","38","Iberia","2394","2375","14","290","15","343","iRacing Formula Renault 2.0","100","0"
"13","74","Formula Renault 2.0","81","Formula Renault 2.0","154829","154829","Peter Boege","10","13","0","Running","-47.775","0","","1:40.621","1:39.359","11","15","9","49","0","2","42","DE-AT-CH","2153","2132","19","340","19","321","iRacing Formula Renault 2.0","100","0"
"14","74","Formula Renault 2.0","81","Formula Renault 2.0","226859","226859","Tomás Agustín Lanús","15","17","0","Running","-52.211","0","","1:40.916","1:38.675","3","15","13","40","0","3","24","Hispanoamérica","1819","1799","15","353","15","331","iRacing Formula Renault 2.0","100","0"
"15","74","Formula Renault 2.0","81","Formula Renault 2.0","223598","223598","Cristian Otarola","12","6","0","Running","-52.388","0","","1:40.928","1:37.822","6","15","3","32","0","2","24","Hispanoamérica","2633","2575","15","342","15","351","iRacing Formula Renault 2.0","100","0"
"16","74","Formula Renault 2.0","81","Formula Renault 2.0","173575","173575","David Santana Herrera","17","18","0","Running","-56.111","0","","1:41.176","1:38.579","12","15","5","24","0","3","38","Iberia","1812","1771","18","248","18","251","iRacing Formula Renault 2.0","100","0"
"17","74","Formula Renault 2.0","81","Formula Renault 2.0","224623","224623","Leonard O Cheri","7","15","0","Running","-1 L","0","","1:45.751","1:37.261","9","14","15","16","0","3","43","Scandinavia","1978","1921","13","140","13","127","iRacing Formula Renault 2.0","100","0"
"18","74","Formula Renault 2.0","81","Formula Renault 2.0","77452","77452","Yohann Margot","16","19","32","Disconnected","-5 L","0","","1:41.971","1:38.604","6","10","4","8","0","3","39","France","1798","1737","18","228","18","225","iRacing Formula Renault 2.0","100","0"
"19","74","Formula Renault 2.0","81","Formula Renault 2.0","249603","249603","Stephane Balouka","13","5","32","Disconnected","-14 L","0","","1:51.261","","","1","5","4","0","2","39","France","2774","2670","20","424","20","402","iRacing Formula Renault 2.0","100","0"
