"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2018.07.14 7:00 PM GMT","Summit Point Raceway - Jefferson Circuit","Global Mazda MX-5 Cup","2018","3","A","5","701"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","331701","331701","Erik Hardy","1","4","0","Running","-00.000","15","","56.720","55.576","3","15","3","41","0","0","28","Michigan","","","2","290","3","340","Global Mazda MX-5 Cup","100","0"
"2","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","204417","204417","Adam Robinson3","5","1","0","Running","-22.718","0","","58.235","56.367","4","15","9","36","0","0","36","UK and I","","","2","243","2","247","Global Mazda MX-5 Cup","100","0"
"3","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","186537","186537","Clay Erickson","4","9","0","Running","-28.711","0","","58.634","56.846","3","15","1","31","0","0","32","West","419","494","6","208","6","220","Global Mazda MX-5 Cup","100","0"
"4","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","275264","275264","James Cole5","3","3","0","Running","-28.765","0","","58.638","56.916","3","15","1","27","0","0","21","Georgia","764","787","6","247","6","260","Global Mazda MX-5 Cup","100","0"
"5","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","321114","321114","Richard McMahon","6","5","0","Running","-47.795","0","","59.906","58.229","6","15","1","22","0","0","36","UK and I","702","710","6","260","6","273","Global Mazda MX-5 Cup","100","0"
"6","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","164952","164952","Robert Smith18","9","10","0","Running","-1 L","0","","1:03.496","59.449","2","14","3","18","0","0","27","Indiana","","","2","237","2","248","Global Mazda MX-5 Cup","100","0"
"7","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","330914","330914","LEE Choong-Han","2","2","0","Running","-2 L","0","","58.523","56.933","2","13","9","13","0","0","14","New York","","","2","234","2","236","Global Mazda MX-5 Cup","100","0"
"8","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","328140","328140","Johannes Gerich","10","8","0","Running","-5 L","0","","58.753","57.408","3","10","2","9","0","0","42","DE-AT-CH","484","453","5","166","5","175","Global Mazda MX-5 Cup","100","0"
"9","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","324048","324048","Ricardo Tatiyama","7","7","32","Disconnected","-8 L","0","","1:04.711","58.048","2","7","5","4","0","0","45","Brazil","","","2","219","2","220","Global Mazda MX-5 Cup","100","0"
"10","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","331793","331793","Ivan Sotelo Marchante","8","6","32","Disconnected","-8 L","0","","58.388","56.099","2","7","4","2","0","0","38","Iberia","","","2","225","2","226","Global Mazda MX-5 Cup","100","0"
