"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2018.07.15 2:00 AM GMT","Summit Point Raceway - Jefferson Circuit","Global Mazda MX-5 Cup","2018","3","A","5","2080"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","177917","177917","Matt Heywood","1","2","0","Running","-00.000","15","","55.547","54.747","3","15","0","120","0","0","34","Australia/NZ","3631","3680","16","451","16","457","Global Mazda MX-5 Cup","100","0"
"2","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","134353","134353","Matthew A Vince","2","7","0","Running","-03.342","0","","55.822","54.859","4","15","1","108","0","0","34","Australia/NZ","1828","1910","7","337","7","345","Global Mazda MX-5 Cup","100","0"
"3","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","178008","178008","Ryan Jerrick","5","1","0","Running","-03.817","0","","55.457","54.884","3","15","2","96","0","0","34","Australia/NZ","3639","3652","19","360","19","351","Global Mazda MX-5 Cup","100","0"
"4","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","249754","249754","Alexandre Crespo","4","3","0","Running","-04.122","0","","55.822","55.092","4","15","0","84","0","0","45","Brazil","2678","2696","18","258","18","269","Global Mazda MX-5 Cup","100","0"
"5","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","266103","266103","Christopher Potter","3","4","0","Running","-06.266","0","","55.965","55.036","2","15","4","72","0","0","26","Illinois","2513","2518","19","329","19","319","Global Mazda MX-5 Cup","100","0"
"6","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","309535","309535","Zixi Lu","11","6","0","Running","-11.818","0","","56.335","55.199","5","15","0","60","0","0","14","New York","1967","1972","7","349","7","358","Global Mazda MX-5 Cup","100","0"
"7","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","223812","223812","Dyson Freeman2","9","10","0","Running","-22.331","0","","57.036","56.078","10","15","2","48","0","0","34","Australia/NZ","1465","1471","6","291","7","335","Global Mazda MX-5 Cup","100","0"
"8","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","328098","328098","Paulo Miranda","7","9","0","Running","-22.796","0","","57.067","55.988","10","15","0","36","0","0","38","Iberia","1470","1458","11","351","11","360","Global Mazda MX-5 Cup","100","0"
"9","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","249752","249752","Sandro Vilas Boas","10","11","0","Running","-23.858","0","","57.137","55.488","3","15","0","24","0","0","45","Brazil","1462","1432","11","383","11","390","Global Mazda MX-5 Cup","100","0"
"10","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","325886","325886","Chris Herrera","8","8","0","Running","-33.544","0","","57.783","55.823","6","15","3","12","0","0","6","California Club","1510","1461","6","245","6","252","Global Mazda MX-5 Cup","100","0"
"11","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","320686","320686","Roman Paerschke","6","5","0","Running","-1 L","0","","56.257","55.123","2","14","1","6","0","0","42","DE-AT-CH","2042","1955","10","235","10","244","Global Mazda MX-5 Cup","100","0"
