"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2018.04.20 8:00 PM GMT","Charlotte Motor Speedway - Road Course","Global Mazda MX-5 Cup","2018","2","A","6","2284"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","175256","175256","Garrett Griffin","1","3","0","Running","-00.000","10","","1:22.307","1:20.704","2","10","3","131","0","0","32","West","3458","3516","13","137","13","147","Global Mazda MX-5 Cup","100","0"
"2","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","303986","303986","Kike Ming2","3","2","0","Running","-05.971","0","","1:22.904","1:21.382","4","10","10","117","0","0","38","Iberia","3544","3582","15","344","15","323","Global Mazda MX-5 Cup","100","0"
"3","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","100407","100407","Timo Kulju","5","5","0","Running","-06.044","0","","1:22.911","1:20.959","6","10","9","104","0","0","44","Finland","2429","2480","13","149","13","140","Global Mazda MX-5 Cup","100","0"
"4","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","198695","198695","Mirek Balaz","6","6","0","Running","-06.136","0","","1:22.920","1:21.290","2","10","1","91","0","0","46","Central-Eastern Europe","2137","2179","19","317","19","323","Global Mazda MX-5 Cup","100","0"
"5","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","284039","284039","Alan Degasis","7","10","0","Running","-08.871","0","","1:23.194","1:22.046","2","10","0","78","0","0","6","California Club","1593","1637","8","418","8","427","Global Mazda MX-5 Cup","100","0"
"6","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","146593","146593","Wolfgang Woehl","2","1","0","Running","-15.780","0","","1:23.885","1:21.415","4","10","5","65","0","0","42","DE-AT-CH","3602","3568","11","348","11","347","Global Mazda MX-5 Cup","100","0"
"7","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","320670","320670","Felix Luding","8","7","0","Running","-16.779","0","","1:23.985","1:21.203","2","10","9","52","0","0","42","DE-AT-CH","1907","1904","7","370","7","360","Global Mazda MX-5 Cup","100","0"
"8","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","320318","320318","Tiago Melo","11","8","0","Running","-22.404","0","","1:24.547","1:23.053","9","10","1","39","0","0","38","Iberia","1899","1878","11","369","11","375","Global Mazda MX-5 Cup","100","0"
"9","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","321183","321183","Luke King","9","11","0","Running","-22.582","0","","1:24.565","1:22.545","3","10","1","26","0","0","1","International Club","1584","1556","7","379","7","388","Global Mazda MX-5 Cup","100","0"
"10","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","102640","102640","Gareth Brocklesby2","4","4","0","Running","-32.354","0","","1:25.424","1:22.179","9","10","1","13","0","0","36","UK and I","2654","2572","9","180","9","198","Global Mazda MX-5 Cup","100","0"
"11","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","289008","289008","Facundo Garrote","10","9","0","Running","-44.131","0","","1:26.720","1:24.092","6","10","5","6","0","0","24","Hispanoamérica","1618","1553","10","252","10","255","Global Mazda MX-5 Cup","100","0"
