"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2018.04.25 9:00 PM GMT","Phoenix International Raceway - 2008 - Road Course","Global Mazda MX-5 Cup","2018","2","A","7","2476"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","321134","321134","Bruno Gordinho Fernandes","1","2","0","Running","-00.000","15","","1:08.746","1:07.890","2","15","0","141","0","0","45","Brazil","2715","2799","14","296","15","360","Global Mazda MX-5 Cup","100","0"
"2","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","245562","245562","Sam Roselaar","2","6","0","Running","-02.944","0","","1:08.942","1:08.016","6","15","3","126","0","0","40","Benelux","2576","2646","19","336","19","338","Global Mazda MX-5 Cup","100","0"
"3","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","182312","182312","Chinmai Kristo Punukollu","5","1","0","Running","-10.769","0","","1:09.463","1:08.501","4","15","0","112","0","0","47","Asia","4582","4586","18","290","19","354","Global Mazda MX-5 Cup","100","0"
"4","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","313799","313799","Renan Machado","6","10","0","Running","-15.990","0","","1:09.853","1:08.231","3","15","6","98","0","0","45","Brazil","1963","2017","10","256","10","264","Global Mazda MX-5 Cup","100","0"
"5","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","292879","292879","Neil Andrews3","9","5","0","Running","-20.357","0","","1:10.102","1:08.859","6","15","8","84","0","0","36","UK and I","2614","2628","8","471","8","465","Global Mazda MX-5 Cup","100","0"
"6","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","279811","279811","Stacy Chandler","7","3","0","Running","-21.997","0","","1:10.212","1:08.940","5","15","16","70","0","0","36","UK and I","2691","2686","18","243","18","203","Global Mazda MX-5 Cup","100","0"
"7","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","265220","265220","Rafa Serna","4","4","0","Running","-22.839","0","","1:10.268","1:08.509","3","15","5","56","0","0","38","Iberia","2670","2647","19","318","19","313","Global Mazda MX-5 Cup","100","0"
"8","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","318733","318733","Roberto Roza","3","11","0","Running","-26.496","0","","1:10.512","1:08.765","3","15","8","42","0","0","38","Iberia","1888","1873","11","327","11","325","Global Mazda MX-5 Cup","100","0"
"9","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","316408","316408","Andrea Cini","8","7","0","Running","-27.529","0","","1:10.580","1:08.522","4","15","9","28","0","0","41","Italy","2320","2272","8","478","8","470","Global Mazda MX-5 Cup","100","0"
"10","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","317634","317634","Gabriel Santos","10","9","0","Running","-56.568","0","","1:12.516","1:09.187","3","15","4","14","0","0","45","Brazil","1986","1931","7","379","7","386","Global Mazda MX-5 Cup","100","0"
"11","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","215789","215789","Cedric Gibrat","11","8","0","Running","-1 L","0","","1:15.828","1:08.897","7","14","5","7","0","0","39","France","2215","2135","15","380","15","374","Global Mazda MX-5 Cup","100","0"
