"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2018.05.13 6:00 PM GMT","Lime Rock Park - Chicane","Global Mazda MX-5 Cup","2018","2","A","9","2065"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","25211","25211","Drew Eckels","2","2","0","Running","-00.000","12","","1:01.129","59.453","3","20","4","120","0","0","23","Mid-South","2586","2661","13","176","13","182","Global Mazda MX-5 Cup","100","0"
"2","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","313069","313069","Tarifa Pino","7","7","0","Running","-16.046","0","","1:01.883","1:00.493","5","20","6","109","0","0","38","Iberia","1967","2045","13","191","13","186","Global Mazda MX-5 Cup","100","0"
"3","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","301708","301708","Daan O. Vrielink","4","4","0","Running","-24.995","0","","1:02.330","1:00.259","6","20","10","98","0","0","40","Benelux","2255","2307","11","328","11","318","Global Mazda MX-5 Cup","100","0"
"4","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","311167","311167","Shoichi Ishimaru","3","6","0","Running","-26.676","0","","1:02.414","1:00.435","8","20","14","87","0","0","47","Asia","2172","2210","6","258","6","248","Global Mazda MX-5 Cup","100","0"
"5","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","197873","197873","Satoshi Tanaka","12","5","0","Running","-33.769","0","","1:02.769","59.785","4","20","4","76","0","0","47","Asia","2252","2270","7","372","7","375","Global Mazda MX-5 Cup","100","0"
"6","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","321523","321523","Pascal Hoffmann","8","9","0","Running","-33.794","0","","1:02.770","1:01.183","6","20","4","65","0","0","42","DE-AT-CH","1750","1770","7","366","7","370","Global Mazda MX-5 Cup","100","0"
"7","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","322646","322646","Adrian Pomar Maseda","9","11","0","Running","-1 L","0","","1:05.770","1:02.579","18","19","11","54","0","0","38","Iberia","1535","1547","7","362","7","351","Global Mazda MX-5 Cup","100","0"
"8","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","258665","258665","Huseyin Cetmen","1","1","0","Running","-1 L","8","","1:01.589","59.790","3","19","11","43","0","0","1","International Club","3600","3533","10","253","10","242","Global Mazda MX-5 Cup","100","0"
"9","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","317411","317411","Javi Guerrero","5","8","0","Running","-1 L","0","","1:02.437","1:00.971","19","19","6","32","0","0","38","Iberia","1816","1784","7","399","7","395","Global Mazda MX-5 Cup","100","0"
"10","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","287818","287818","Russell Aplin","6","10","29","Disqualified","-2 L","0","","1:02.445","1:00.821","5","18","18","21","0","0","36","UK and I","1734","1689","7","360","7","337","Global Mazda MX-5 Cup","100","0"
"11","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","256310","256310","Matthew Roca2","10","12","32","Disconnected","-7 L","0","","1:03.440","1:01.015","5","13","9","10","0","0","19","New Jersey","1495","1443","18","203","17","133","Global Mazda MX-5 Cup","100","0"
"12","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","285643","285643","IM JeoHeouck","11","3","32","Disconnected","-18 L","0","","1:11.532","","","2","8","5","0","0","47","Asia","2283","2186","17","177","17","139","Global Mazda MX-5 Cup","100","0"
