"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2018.05.18 9:00 PM GMT","Summit Point Raceway - Jefferson Reverse","Global Mazda MX-5 Cup","2018","2","A","10","2156"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","170472","170472","Michele Ricci","2","1","0","Running","-00.000","10","","55.929","54.709","3","15","8","125","0","0","41","Italy","4689","4724","17","143","17","127","Global Mazda MX-5 Cup","100","0"
"2","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","61469","61469","Scott Edbrooke","3","6","0","Running","-02.803","0","","56.116","55.121","3","15","0","113","0","0","36","UK and I","2119","2197","15","359","15","367","Global Mazda MX-5 Cup","100","0"
"3","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","56475","56475","Siarhei Pakhodnia","11","2","0","Running","-02.894","0","","56.121","54.826","3","15","6","102","0","0","46","Central-Eastern Europe","4160","4171","19","307","18","249","Global Mazda MX-5 Cup","100","0"
"4","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","169887","169887","Graham Quinn","1","3","0","Running","-04.379","5","","56.221","54.723","2","15","12","90","0","0","27","Indiana","3596","3601","17","177","17","135","Global Mazda MX-5 Cup","100","0"
"5","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","300384","300384","Marcos Tissera","4","5","0","Running","-08.144","0","","56.472","55.310","2","15","5","79","0","0","24","Hispanoamérica","2220","2244","11","333","11","331","Global Mazda MX-5 Cup","100","0"
"6","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","323388","323388","Daniel ML Patterson","6","10","0","Running","-08.264","0","","56.480","55.401","2","15","0","68","0","0","36","UK and I","1564","1595","6","294","7","345","Global Mazda MX-5 Cup","100","0"
"7","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","238912","238912","Rui Rocha3","9","9","0","Running","-15.859","0","","56.986","56.277","7","15","0","56","0","0","40","Benelux","1564","1578","11","346","11","355","Global Mazda MX-5 Cup","100","0"
"8","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","308768","308768","Alejandro Inestal","8","11","0","Running","-16.403","0","","57.022","55.892","7","15","0","45","0","0","36","UK and I","1555","1554","19","302","19","308","Global Mazda MX-5 Cup","100","0"
"9","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","320318","320318","Tiago Melo","10","4","0","Running","-16.681","0","","57.041","55.929","11","15","1","34","0","0","38","Iberia","2238","2196","11","341","11","348","Global Mazda MX-5 Cup","100","0"
"10","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","298918","298918","Peter Veselý3","5","8","0","Running","-17.089","0","","57.068","55.477","2","15","2","22","0","0","46","Central-Eastern Europe","1593","1557","6","296","7","341","Global Mazda MX-5 Cup","100","0"
"11","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","286262","286262","Hessel Boschma","12","12","0","Running","-34.308","0","","58.216","56.399","2","15","6","11","0","0","40","Benelux","1473","1425","10","230","10","227","Global Mazda MX-5 Cup","100","0"
"12","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","320299","320299","Sándor Szalai2","7","7","32","Disconnected","-11 L","0","","59.777","55.226","2","4","6","5","0","0","46","Central-Eastern Europe","1641","1570","7","345","7","338","Global Mazda MX-5 Cup","100","0"
