"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2018.05.20 6:00 PM GMT","Summit Point Raceway - Jefferson Reverse","Global Mazda MX-5 Cup","2018","2","A","10","2037"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","127759","127759","Christopher Henn","1","1","0","Running","-00.000","15","","55.786","54.557","3","15","0","118","0","0","14","New York","5940","5957","14","226","14","238","Global Mazda MX-5 Cup","100","0"
"2","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","250445","250445","Brandon Hyde","5","2","0","Running","-06.808","0","","56.240","55.036","5","15","1","106","0","0","23","Mid-South","2361","2424","10","210","10","221","Global Mazda MX-5 Cup","100","0"
"3","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","323897","323897","André Rafael","2","11","0","Running","-08.007","0","","56.320","55.308","2","15","1","94","0","0","38","Iberia","1593","1665","6","260","6","272","Global Mazda MX-5 Cup","100","0"
"4","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","322356","322356","Sheldon Craig","7","5","0","Running","-12.241","0","","56.602","55.427","2","15","1","82","0","0","15","Canada","1912","1953","7","377","7","386","Global Mazda MX-5 Cup","100","0"
"5","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","177279","177279","Jose Antonio Yañez Buron","10","8","0","Running","-13.400","0","","56.679","55.524","3","15","1","70","0","0","38","Iberia","1663","1695","11","350","11","357","Global Mazda MX-5 Cup","100","0"
"6","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","323160","323160","Cristina Martin Freile","11","9","0","Running","-15.685","0","","56.831","55.559","2","15","0","59","0","0","38","Iberia","1640","1655","6","278","6","294","Global Mazda MX-5 Cup","100","0"
"7","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","324557","324557","Daniel Bufton2","3","4","0","Running","-16.365","0","","56.877","55.466","7","15","4","47","0","0","36","UK and I","2156","2135","7","352","7","355","Global Mazda MX-5 Cup","100","0"
"8","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","308050","308050","Kiku Torres","9","10","0","Running","-25.032","0","","57.454","55.587","3","15","7","35","0","0","38","Iberia","1607","1588","9","163","9","161","Global Mazda MX-5 Cup","100","0"
"9","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","313069","313069","Tarifa Pino","6","3","0","Running","-38.314","0","","58.340","57.023","4","15","10","23","0","0","38","Iberia","2272","2211","15","321","15","304","Global Mazda MX-5 Cup","100","0"
"10","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","305179","305179","Adam Mariak","8","6","0","Running","-1 L","0","","59.950","55.378","7","14","9","11","0","0","12","New England","1812","1749","7","350","7","341","Global Mazda MX-5 Cup","100","0"
"11","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","324720","324720","Monteza Gustavo","4","7","0","Running","-2 L","0","","57.271","55.664","6","13","5","5","0","0","24","Hispanoamérica","1706","1630","6","260","6","263","Global Mazda MX-5 Cup","100","0"
