"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2018.06.24 9:00 PM GMT","Mazda Raceway Laguna Seca - Full Course","Radical Racing Challenge C","2018","3","N/A","2","986"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","13","Radical SR8","15","Radical SR8","64816","64816","Nick Crawford","1","7","0","Running","-00.000","17","","1:20.982","1:19.552","8","19","7","61","17","8","32","West","1107","1193","16","453","16","439","Radical Racing Challenge C","100","0"
"2","13","Radical SR8","15","Radical SR8","213048","213048","Mark Travner2","4","4","0","Running","-31.869","0","","1:22.659","1:20.389","10","19","6","57","15","6","46","Central-Eastern Europe","1189","1260","11","356","11","359","Radical Racing Challenge C","100","0"
"3","13","Radical SR8","15","Radical SR8","282735","282735","Joao P Brito","3","11","0","Running","-33.962","2","","1:22.769","1:20.757","8","19","8","53","13","8","38","Iberia","1016","1086","18","222","18","215","Radical Racing Challenge C","100","0"
"4","13","Radical SR8","15","Radical SR8","314589","314589","Dylan Hale2","10","12","0","Running","-48.549","0","","1:23.537","1:21.658","17","19","5","50","11","7","20","Ohio","966","1028","11","309","11","317","Radical Racing Challenge C","100","0"
"5","13","Radical SR8","15","Radical SR8","177596","177596","Jean Francois Soucy","2","9","0","Running","-52.678","0","","1:23.755","1:20.340","4","19","9","46","9","7","15","Canada","1030","1076","10","241","10","247","Radical Racing Challenge C","100","0"
"6","13","Radical SR8","15","Radical SR8","280978","280978","Dave Peterson2","16","14","0","Running","-53.454","0","","1:23.795","1:20.750","14","19","6","43","7","8","36","UK and I","886","930","18","263","18","256","Radical Racing Challenge C","100","0"
"7","13","Radical SR8","15","Radical SR8","283661","283661","Fatih Caglayan","5","6","0","Running","-58.848","0","","1:24.079","1:21.247","8","19","8","39","5","6","1","International Club","1113","1132","14","233","14","232","Radical Racing Challenge C","100","0"
"8","13","Radical SR8","15","Radical SR8","261757","261757","Matthew Hibbard2","6","1","0","Running","-1:18.231","0","","1:25.099","1:23.297","13","19","3","35","3","5","14","New York","1289","1288","15","348","15","355","Radical Racing Challenge C","100","0"
"9","13","Radical SR8","15","Radical SR8","113119","113119","Frode S Andreassen","15","13","0","Running","-1 L","0","","1:26.021","1:23.137","9","18","6","32","1","8","43","Scandinavia","892","903","14","254","14","256","Radical Racing Challenge C","100","0"
"10","13","Radical SR8","15","Radical SR8","324011","324011","Cesar De los Santos","7","17","0","Running","-1 L","0","","1:26.169","1:23.261","11","18","5","28","0","8","24","Hispanoamérica","685","700","11","359","11","361","Radical Racing Challenge C","100","0"
"11","13","Radical SR8","15","Radical SR8","19262","19262","Michael Peters","8","16","0","Running","-1 L","0","","1:26.217","1:23.390","17","18","14","25","0","9","27","Indiana","742","741","14","240","14","221","Radical Racing Challenge C","100","0"
"12","13","Radical SR8","15","Radical SR8","325746","325746","Jose Federico Gomez","9","15","0","Running","-1 L","0","","1:27.202","1:24.015","11","18","3","21","0","7","24","Hispanoamérica","742","731","11","345","11","354","Radical Racing Challenge C","100","0"
"13","13","Radical SR8","15","Radical SR8","293867","293867","Daniel Nowak","14","8","32","Disconnected","-5 L","0","","1:25.219","1:21.175","12","14","9","17","0","7","19","New Jersey","1042","1000","11","342","11","335","Radical Racing Challenge C","100","0"
"14","13","Radical SR8","15","Radical SR8","99838","99838","Skirmantas Stankevicius","12","2","32","Disconnected","-10 L","0","","2:11.129","1:19.477","6","9","8","14","0","6","46","Central-Eastern Europe","1218","1155","11","350","11","341","Radical Racing Challenge C","100","0"
"15","13","Radical SR8","15","Radical SR8","258181","258181","Daniel Perní?ek","11","10","32","Disconnected","-12 L","0","","1:56.958","1:28.340","5","7","16","10","0","7","46","Central-Eastern Europe","1028","965","10","264","10","232","Radical Racing Challenge C","100","0"
"16","13","Radical SR8","15","Radical SR8","276868","276868","Mark Edwards3","13","5","0","Running","-14 L","0","","1:29.453","1:23.314","4","5","7","7","0","7","17","Virginias","1132","1051","10","227","10","220","Radical Racing Challenge C","100","0"
"17","13","Radical SR8","15","Radical SR8","68213","68213","Thomas Stowers","17","3","32","Disconnected","-19 L","0","","00.000","","","0","0","0","0","9","21","Georgia","1190","1093","10","245","10","245","Radical Racing Challenge C","100","0"
"18","13","Radical SR8","15","Radical SR8","93164","93164","Daniel M Murphy","18","18","32","Disconnected","-19 L","0","","00.000","","","0","0","0","0","9","14","New York","639","574","14","280","14","280","Radical Racing Challenge C","100","0"
