"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2018.06.30 7:00 PM GMT","Road Atlanta - Full Course","Radical Racing Challenge C","2018","3","N/A","3","1093"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","13","Radical SR8","15","Radical SR8","321191","321191","Bernd Halang","2","7","0","Running","-00.000","13","","1:18.873","1:17.490","11","20","4","67","14","7","42","DE-AT-CH","1157","1245","11","344","11","352","Radical Racing Challenge C","100","0"
"2","13","Radical SR8","15","Radical SR8","320798","320798","Robert Zocher","1","8","0","Running","-17.364","2","","1:19.742","1:17.749","11","20","2","62","12","6","42","DE-AT-CH","1131","1208","11","344","11","352","Radical Racing Challenge C","100","0"
"3","13","Radical SR8","15","Radical SR8","218696","218696","Esa Nummi","4","4","0","Running","-38.769","0","","1:20.812","1:18.848","17","20","6","57","10","4","44","Finland","1307","1361","15","328","15","329","Radical Racing Challenge C","100","0"
"4","13","Radical SR8","15","Radical SR8","21816","21816","Ben Summers","6","2","0","Running","-49.364","0","","1:21.341","1:18.997","5","20","8","52","8","4","36","UK and I","1491","1524","17","154","17","152","Radical Racing Challenge C","100","0"
"5","13","Radical SR8","15","Radical SR8","117512","117512","Steven Southwell","12","12","0","Running","-52.055","0","","1:21.476","1:20.004","19","20","4","47","6","8","30","Texas","886","937","10","242","10","257","Radical Racing Challenge C","100","0"
"6","13","Radical SR8","15","Radical SR8","291748","291748","Javier Alemparte Gomez","8","5","0","Running","-59.246","0","","1:21.835","1:19.538","5","20","7","43","4","5","38","Iberia","1284","1300","17","120","17","130","Radical Racing Challenge C","100","0"
"7","13","Radical SR8","15","Radical SR8","65389","65389","Gerry Dawn","11","11","0","Running","-1:02.159","0","","1:21.981","1:19.147","18","20","14","38","2","7","15","Canada","950","971","13","143","13","135","Radical Racing Challenge C","100","0"
"8","13","Radical SR8","15","Radical SR8","284156","284156","Sven Ruchert","7","9","0","Running","-1:10.385","0","","1:22.392","1:18.528","5","20","9","33","0","6","42","DE-AT-CH","1111","1110","13","187","13","184","Radical Racing Challenge C","100","0"
"9","13","Radical SR8","15","Radical SR8","263060","263060","Andrew Ellsom","13","14","0","Running","-1 L","0","","1:24.352","1:20.284","14","19","15","28","0","8","21","Georgia","744","752","10","241","10","233","Radical Racing Challenge C","100","0"
"10","13","Radical SR8","15","Radical SR8","16614","16614","Andy LaRoe","5","6","0","Running","-1 L","0","","1:24.063","1:19.296","14","19","1","23","0","6","14","New York","1279","1242","19","347","19","360","Radical Racing Challenge C","100","0"
"11","13","Radical SR8","15","Radical SR8","191443","191443","Franklin L Ashe","10","10","0","Running","-1 L","0","","1:24.965","1:21.837","12","19","7","19","0","7","23","Mid-South","965","932","15","354","15","344","Radical Racing Challenge C","100","0"
"12","13","Radical SR8","15","Radical SR8","324652","324652","Simon Poschung","14","15","0","Running","-8 L","0","","1:27.649","1:22.842","9","12","13","14","0","9","42","DE-AT-CH","498","487","10","216","10","208","Radical Racing Challenge C","100","0"
"13","13","Radical SR8","15","Radical SR8","275952","275952","David Andres Tovar","3","3","32","Disconnected","-9 L","5","","1:19.423","1:17.691","11","11","3","9","0","4","24","Hispanoamérica","1463","1378","15","342","15","345","Radical Racing Challenge C","100","0"
"14","13","Radical SR8","15","Radical SR8","42250","42250","Tom Kotowski","9","1","0","Running","-13 L","0","","1:23.079","1:19.701","5","7","7","4","0","4","46","Central-Eastern Europe","1534","1433","17","147","17","131","Radical Racing Challenge C","100","0"
"15","13","Radical SR8","15","Radical SR8","132293","132293","Mauricio Moreno2","15","13","32","Disconnected","-20 L","0","","00.000","","","0","0","0","0","5","24","Hispanoamérica","874","794","10","226","10","226","Radical Racing Challenge C","100","0"
