"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2018.07.05 9:00 PM GMT","Circuit de Spa-Francorchamps - Classic Pits","Radical Racing Challenge C","2018","3","N/A","4","2812"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","13","Radical SR8","15","Radical SR8","204100","204100","David Cámara","2","3","0","Running","-00.000","2","","2:14.969","2:13.593","2","12","9","169","18","1","38","Iberia","4239","4300","18","249","18","236","Radical Racing Challenge C","100","0"
"2","13","Radical SR8","15","Radical SR8","107016","107016","Stephane Gamblin","4","6","0","Running","-00.276","0","","2:14.992","2:13.815","9","12","8","159","16","2","39","France","3603","3668","18","264","18","252","Radical Racing Challenge C","100","0"
"3","13","Radical SR8","15","Radical SR8","169947","169947","Jason Stehney","1","2","0","Running","-08.973","10","","2:15.717","2:13.614","8","12","10","150","14","1","23","Mid-South","4678","4709","14","273","14","265","Radical Racing Challenge C","100","0"
"4","13","Radical SR8","15","Radical SR8","60840","60840","Chris Atherton","3","4","0","Running","-09.514","0","","2:15.762","2:14.116","5","12","9","140","12","1","36","UK and I","3763","3803","19","306","18","249","Radical Racing Challenge C","100","0"
"5","13","Radical SR8","15","Radical SR8","84121","84121","Mick Carr","5","5","0","Running","-13.170","0","","2:16.067","2:14.517","2","12","12","131","10","2","36","UK and I","3754","3784","18","220","18","204","Radical Racing Challenge C","100","0"
"6","13","Radical SR8","15","Radical SR8","66241","66241","Mario Vlasic","7","7","0","Running","-20.279","0","","2:16.659","2:14.840","2","12","11","122","8","1","46","Central-Eastern Europe","3569","3593","18","218","18","204","Radical Racing Challenge C","100","0"
"7","13","Radical SR8","15","Radical SR8","182312","182312","Chinmai Kristo Punukollu","8","1","0","Running","-22.397","0","","2:16.835","2:13.744","6","12","11","112","6","1","47","Asia","4823","4810","19","375","19","340","Radical Racing Challenge C","100","0"
"8","13","Radical SR8","15","Radical SR8","310206","310206","Sergio Bianco","10","18","0","Running","-24.555","0","","2:17.015","2:14.907","4","12","4","103","4","3","41","Italy","2084","2129","19","377","19","372","Radical Racing Challenge C","100","0"
"9","13","Radical SR8","15","Radical SR8","222326","222326","Jay Stone","9","9","0","Running","-27.574","0","","2:17.267","2:14.933","3","12","8","93","2","2","36","UK and I","2783","2796","10","223","10","234","Radical Racing Challenge C","100","0"
"10","13","Radical SR8","15","Radical SR8","169697","169697","Raffaele Gammone","17","15","0","Running","-33.883","0","","2:17.792","2:15.269","4","12","4","84","0","3","41","Italy","2172","2193","15","308","15","315","Radical Racing Challenge C","100","0"
"11","13","Radical SR8","15","Radical SR8","21863","21863","Stephen Bair","14","16","0","Running","-39.436","0","","2:18.255","2:14.982","2","12","13","75","0","3","32","West","2120","2133","18","201","17","140","Radical Racing Challenge C","100","0"
"12","13","Radical SR8","15","Radical SR8","213242","213242","David Raber","12","14","0","Running","-40.706","0","","2:18.361","2:16.472","9","12","12","65","0","3","29","Midwest","2176","2177","14","212","14","210","Radical Racing Challenge C","100","0"
"13","13","Radical SR8","15","Radical SR8","254881","254881","Danilo A Sanfilippo","11","13","0","Running","-41.257","0","","2:18.407","2:15.202","6","12","10","56","0","3","41","Italy","2270","2258","15","320","15","312","Radical Racing Challenge C","100","0"
"14","13","Radical SR8","15","Radical SR8","203536","203536","Ian Haycox","13","12","0","Running","-46.326","0","","2:18.829","2:15.899","6","12","7","46","0","3","36","UK and I","2284","2261","15","354","15","348","Radical Racing Challenge C","100","0"
"15","13","Radical SR8","15","Radical SR8","259769","259769","Josh Brain","19","19","0","Running","-54.424","0","","2:19.503","2:15.343","4","12","15","37","0","4","36","UK and I","2063","2036","14","281","14","249","Radical Racing Challenge C","100","0"
"16","13","Radical SR8","15","Radical SR8","43970","43970","Daniel Clarke","16","11","0","Running","-1 L","0","","2:17.968","2:14.415","6","11","15","28","0","3","36","UK and I","2448","2399","11","333","11","320","Radical Racing Challenge C","100","0"
"17","13","Radical SR8","15","Radical SR8","297304","297304","Marco Sanfilippo","18","17","0","Running","-1 L","0","","2:18.311","2:15.236","6","11","16","18","0","3","41","Italy","2110","2061","14","251","14","226","Radical Racing Challenge C","100","0"
"18","13","Radical SR8","15","Radical SR8","301737","301737","Sietse Boersma","6","8","29","Disqualified","-1 L","0","","2:18.593","2:14.116","4","11","18","9","0","2","40","Benelux","2951","2866","10","257","10","240","Radical Racing Challenge C","100","0"
"19","13","Radical SR8","15","Radical SR8","326217","326217","Wouter M Merks","15","10","32","Disconnected","-9 L","0","","2:28.907","","","3","3","4","0","3","40","Benelux","2601","2515","11","382","11","379","Radical Racing Challenge C","100","0"
