"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2018.07.15 7:00 PM GMT","Silverstone Circuit - Historical Grand Prix","Radical Racing Challenge C","2018","3","N/A","5","2869"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","13","Radical SR8","15","Radical SR8","16880","16880","Darren Seal","3","2","0","Running","-00.000","7","","1:36.074","1:34.942","4","15","2","167","13","1","36","UK and I","4262","4324","19","307","19","318","Radical Racing Challenge C","100","0"
"2","13","Radical SR8","15","Radical SR8","154418","154418","Janne Hautamäki","2","3","0","Running","-00.190","6","","1:36.086","1:35.017","10","15","2","154","11","1","44","Finland","4130","4181","15","362","15","371","Radical Racing Challenge C","100","0"
"3","13","Radical SR8","15","Radical SR8","16529","16529","Adam Parle","6","4","0","Running","-06.550","0","","1:36.510","1:35.124","12","15","3","141","9","1","36","UK and I","3797","3841","19","372","19","374","Radical Racing Challenge C","100","0"
"4","13","Radical SR8","15","Radical SR8","210895","210895","Marcel Brunschwiler","9","14","0","Running","-15.188","0","","1:37.086","1:35.634","7","15","3","128","7","7","42","DE-AT-CH","1923","2004","15","382","15","389","Radical Racing Challenge C","100","0"
"5","13","Radical SR8","15","Radical SR8","22485","22485","Will Zoeller","4","13","0","Running","-20.938","0","","1:37.470","1:35.521","10","15","7","115","5","4","19","New Jersey","1989","2054","18","246","18","242","Radical Racing Challenge C","100","0"
"6","13","Radical SR8","15","Radical SR8","177043","177043","Paul Poley","10","10","0","Running","-23.020","0","","1:37.608","1:35.969","6","15","4","102","3","2","30","Texas","2249","2292","19","330","19","332","Radical Racing Challenge C","100","0"
"7","13","Radical SR8","15","Radical SR8","117001","117001","Emmanuel Ijere","13","11","0","Running","-30.537","0","","1:38.109","1:36.748","5","15","0","89","1","3","28","Michigan","2067","2101","20","412","20","424","Radical Racing Challenge C","100","0"
"8","13","Radical SR8","15","Radical SR8","39047","39047","Angelo Carlos","11","9","0","Running","-39.521","0","","1:38.708","1:36.606","8","15","3","77","0","3","45","Brazil","2342","2353","10","278","10","296","Radical Racing Challenge C","100","0"
"9","13","Radical SR8","15","Radical SR8","287736","287736","Lucas Campos","14","12","0","Running","-1:05.112","0","","1:40.414","1:37.196","7","15","9","64","0","2","38","Iberia","2033","2039","11","334","11","331","Radical Racing Challenge C","100","0"
"10","13","Radical SR8","15","Radical SR8","22899","22899","David Scott2","7","7","32","Disconnected","-9 L","0","","1:40.790","1:36.063","5","6","3","51","0","2","6","California Club","2988","2953","19","343","19","339","Radical Racing Challenge C","100","0"
"11","13","Radical SR8","15","Radical SR8","55441","55441","Mark Ussher","1","1","32","Disconnected","-13 L","2","","1:38.465","1:34.696","2","2","1","38","0","1","36","UK and I","6640","6523","14","242","14","243","Radical Racing Challenge C","100","0"
"12","13","Radical SR8","15","Radical SR8","50401","50401","Robert Plumley","12","8","32","Disconnected","-14 L","0","","00.000","","","1","4","25","0","2","36","UK and I","2757","2700","18","246","18","232","Radical Racing Challenge C","100","0"
"13","13","Radical SR8","15","Radical SR8","84121","84121","Mick Carr","8","5","32","Disconnected","-14 L","0","","00.000","","","1","2","12","0","2","36","UK and I","3763","3666","19","309","19","302","Radical Racing Challenge C","100","0"
"14","13","Radical SR8","15","Radical SR8","247183","247183","Aitor Mediavilla","5","6","32","Disconnected","-15 L","0","","00.000","","","0","4","0","0","2","38","Iberia","3006","2915","17","113","17","97","Radical Racing Challenge C","100","0"
