"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2018.07.18 7:00 PM GMT","Oulton Park Circuit - Intl w/no Chicanes","Radical Racing Challenge C","2018","3","N/A","6","1407"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","13","Radical SR8","15","Radical SR8","287888","287888","Istvan Fodor","1","2","0","Running","-00.000","14","","1:21.662","1:20.582","4","20","1","85","14","4","46","Central-Eastern Europe","1869","1943","14","248","14","269","Radical Racing Challenge C","100","0"
"2","13","Radical SR8","15","Radical SR8","94329","94329","Alex Payne","5","9","0","Running","-35.436","0","","1:23.433","1:21.739","2","20","5","78","12","4","36","UK and I","1407","1486","10","231","10","246","Radical Racing Challenge C","100","0"
"3","13","Radical SR8","15","Radical SR8","211063","211063","Oscar Mardones","8","4","0","Running","-52.358","0","","1:24.279","1:22.616","17","20","8","72","10","3","38","Iberia","1675","1729","15","357","15","343","Radical Racing Challenge C","100","0"
"4","13","Radical SR8","15","Radical SR8","204385","204385","Diego Oliveri","4","7","0","Running","-55.366","0","","1:24.430","1:22.222","17","20","9","66","8","4","24","Hispanoamérica","1585","1630","14","239","14","236","Radical Racing Challenge C","100","0"
"5","13","Radical SR8","15","Radical SR8","296880","296880","Jason Cimarusti","11","6","0","Running","-1:02.053","0","","1:24.764","1:22.485","16","20","6","60","6","3","6","California Club","1646","1675","18","219","18","216","Radical Racing Challenge C","100","0"
"6","13","Radical SR8","15","Radical SR8","298292","298292","Felix Streifeneder","14","14","0","Running","-1:16.539","0","","1:25.488","1:23.216","7","20","5","54","4","8","42","DE-AT-CH","924","975","20","479","20","462","Radical Racing Challenge C","100","0"
"7","13","Radical SR8","15","Radical SR8","65552","65552","Andrea Girella","10","5","0","Running","-1 L","0","","1:25.610","1:23.807","5","19","4","48","2","5","41","Italy","1663","1664","19","331","19","330","Radical Racing Challenge C","100","0"
"8","13","Radical SR8","15","Radical SR8","268479","268479","PEREZ laurent","15","15","0","Running","-1 L","0","","1:27.343","1:24.390","16","19","5","42","0","8","39","France","755","790","11","333","11","339","Radical Racing Challenge C","100","0"
"9","13","Radical SR8","15","Radical SR8","156651","156651","Mickey Kern","12","11","32","Disconnected","-3 L","0","","1:25.346","1:23.408","12","17","4","36","0","8","17","Virginias","1228","1224","17","164","17","174","Radical Racing Challenge C","100","0"
"10","13","Radical SR8","15","Radical SR8","291582","291582","Marc Phobos","2","8","32","Disconnected","-4 L","6","","1:22.174","1:20.808","4","16","12","30","0","5","43","Scandinavia","1467","1438","9","142","9","144","Radical Racing Challenge C","100","0"
"11","13","Radical SR8","15","Radical SR8","277034","277034","Georgios Kakaletris","13","13","32","Disconnected","-14 L","0","","1:28.593","1:25.232","6","6","6","24","0","5","1","International Club","1041","1020","11","366","11","354","Radical Racing Challenge C","100","0"
"12","13","Radical SR8","15","Radical SR8","171132","171132","Simon Jackson2","7","12","0","Running","-14 L","0","","5:17.759","1:24.994","3","6","6","18","0","6","36","UK and I","1166","1125","18","249","18","221","Radical Racing Challenge C","100","0"
"13","13","Radical SR8","15","Radical SR8","16813","16813","Miro Hrazsky","6","10","29","Disqualified","-15 L","0","","00.000","","","5","2","12","0","7","46","Central-Eastern Europe","1346","1282","18","243","18","237","Radical Racing Challenge C","100","0"
"14","13","Radical SR8","15","Radical SR8","134304","134304","Thomas Westerwald","3","1","32","Disconnected","-19 L","0","","00.000","","","1","8","6","0","3","42","DE-AT-CH","1880","1781","13","148","13","128","Radical Racing Challenge C","100","0"
"15","13","Radical SR8","15","Radical SR8","53681","53681","Joost van der Stoep","9","3","32","Disconnected","-19 L","0","","00.000","","","1","5","3","0","3","40","Benelux","1811","1701","14","258","14","239","Radical Racing Challenge C","100","0"
