"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2018.03.21 11:00 PM GMT","Road Atlanta - Full Course","Ruf GT3 Challenge","2018","2","N/A","2","1494"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","50","Ruf RT 12R Track","55","Ruf RT 12R Track","59178","59178","Claudiu Clima","1","1","0","Running","-00.000","23","","1:20.630","1:19.728","9","23","0","91","16","1","46","Central-Eastern Europe","5415","5430","26","223","26","253","Ruf GT3 Challenge","100","0"
"2","50","Ruf RT 12R Track","55","Ruf RT 12R Track","264233","264233","Alan Pereira","6","4","0","Running","-21.710","0","","1:21.574","1:20.766","19","23","6","85","14","2","45","Brazil","2282","2337","19","357","19","347","Ruf GT3 Challenge","100","0"
"3","50","Ruf RT 12R Track","55","Ruf RT 12R Track","143417","143417","David Corpas Benitez","2","2","0","Running","-22.648","0","","1:21.615","1:20.878","22","23","4","79","12","2","38","Iberia","2424","2463","14","277","14","291","Ruf GT3 Challenge","100","0"
"4","50","Ruf RT 12R Track","55","Ruf RT 12R Track","169697","169697","Raffaele Gammone","7","6","0","Running","-54.637","0","","1:23.005","1:21.669","9","23","4","73","10","3","41","Italy","1831","1876","15","373","15","378","Ruf GT3 Challenge","100","0"
"5","50","Ruf RT 12R Track","55","Ruf RT 12R Track","215823","215823","Vincenzo Pariante","16","9","0","Running","-55.037","0","","1:23.022","1:21.387","14","23","2","68","8","6","41","Italy","1302","1356","18","251","18","269","Ruf GT3 Challenge","100","0"
"6","50","Ruf RT 12R Track","55","Ruf RT 12R Track","240290","240290","Roberto Simonetta","4","8","0","Running","-1:01.407","0","","1:23.300","1:21.482","3","23","3","62","6","4","41","Italy","1342","1383","14","253","14","271","Ruf GT3 Challenge","100","0"
"7","50","Ruf RT 12R Track","55","Ruf RT 12R Track","131474","131474","Jesse Lynch","9","12","0","Running","-1 L","0","","1:23.249","1:22.054","10","22","4","56","4","6","15","Canada","1223","1257","20","490","20","479","Ruf GT3 Challenge","100","0"
"8","50","Ruf RT 12R Track","55","Ruf RT 12R Track","295578","295578","Dilieth A Ruiz","5","3","0","Running","-1 L","0","","1:23.200","1:20.876","16","22","4","51","2","2","24","Hispanoamérica","2316","2300","19","373","19","371","Ruf GT3 Challenge","100","0"
"9","50","Ruf RT 12R Track","55","Ruf RT 12R Track","244937","244937","Pablo Varela","13","13","0","Running","-1 L","0","","1:24.741","1:22.727","8","22","1","45","0","8","38","Iberia","1217","1228","11","366","11","385","Ruf GT3 Challenge","100","0"
"10","50","Ruf RT 12R Track","55","Ruf RT 12R Track","275892","275892","Alberto Veiga","15","10","0","Running","-1 L","0","","1:24.997","1:21.969","9","22","11","39","0","5","38","Iberia","1251","1250","13","138","13","145","Ruf GT3 Challenge","100","0"
"11","50","Ruf RT 12R Track","55","Ruf RT 12R Track","231759","231759","Joseph Wheatley","17","14","0","Running","-1 L","0","","1:26.259","1:23.960","19","22","0","34","0","7","27","Indiana","1145","1137","20","499","20","499","Ruf GT3 Challenge","100","0"
"12","50","Ruf RT 12R Track","55","Ruf RT 12R Track","253880","253880","Howard Warren","12","11","0","Running","-1 L","0","","1:27.334","1:23.224","18","22","4","28","0","6","19","New Jersey","1225","1201","10","262","10","280","Ruf GT3 Challenge","100","0"
"13","50","Ruf RT 12R Track","55","Ruf RT 12R Track","308072","308072","Robin Leve","8","15","0","Running","-2 L","0","","1:28.368","1:22.975","7","21","6","22","0","8","42","DE-AT-CH","922","902","14","272","14","275","Ruf GT3 Challenge","100","0"
"14","50","Ruf RT 12R Track","55","Ruf RT 12R Track","289127","289127","Josi Varela","14","16","0","Running","-2 L","0","","1:28.880","1:24.296","6","21","5","17","0","8","38","Iberia","839","811","14","207","14","220","Ruf GT3 Challenge","100","0"
"15","50","Ruf RT 12R Track","55","Ruf RT 12R Track","260668","260668","Neil Dawkins","11","7","0","Running","-3 L","0","","1:24.676","1:22.486","16","20","9","11","0","3","36","UK and I","1508","1437","12","452","12","442","Ruf GT3 Challenge","100","0"
"16","50","Ruf RT 12R Track","55","Ruf RT 12R Track","284180","284180","André Gomes2","3","5","32","Disconnected","-15 L","0","","1:22.338","1:21.066","4","8","10","5","0","3","38","Iberia","2222","2115","14","209","13","153","Ruf GT3 Challenge","100","0"
"17","50","Ruf RT 12R Track","55","Ruf RT 12R Track","200243","200243","Lucas Hoffmann","10","17","32","Disconnected","-21 L","0","","1:29.666","1:24.714","2","2","3","2","0","10","43","Scandinavia","231","212","6","223","6","224","Ruf GT3 Challenge","100","0"
