"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2018.03.30 11:00 PM GMT","Canadian Tire Motorsports Park","Ruf GT3 Challenge","2018","2","N/A","3","1384"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","50","Ruf RT 12R Track","55","Ruf RT 12R Track","203339","203339","Jose Del Arco Castello","1","1","0","Running","-00.000","23","","1:19.197","1:18.331","2","23","3","85","17","1","38","Iberia","3924","3952","25","196","26","243","Ruf GT3 Challenge","100","0"
"2","50","Ruf RT 12R Track","55","Ruf RT 12R Track","149874","149874","Giovanni Castiglione","2","4","0","Running","-13.905","0","","1:19.801","1:18.995","5","23","1","80","15","4","36","UK and I","1845","1909","14","273","14","288","Ruf GT3 Challenge","100","0"
"3","50","Ruf RT 12R Track","55","Ruf RT 12R Track","314471","314471","Maurizio Cheli","5","3","0","Running","-16.209","0","","1:19.901","1:19.069","18","23","4","75","13","4","42","DE-AT-CH","1898","1949","11","349","11","357","Ruf GT3 Challenge","100","0"
"4","50","Ruf RT 12R Track","55","Ruf RT 12R Track","36698","36698","Darren Maguire","3","6","0","Running","-23.429","0","","1:20.215","1:18.843","16","23","6","70","11","4","34","Australia/NZ","1605","1656","11","346","11","350","Ruf GT3 Challenge","100","0"
"5","50","Ruf RT 12R Track","55","Ruf RT 12R Track","279414","279414","Wojtek Koppel","4","2","0","Running","-29.810","0","","1:20.493","1:19.011","6","23","6","65","9","3","42","DE-AT-CH","2198","2217","14","235","14","241","Ruf GT3 Challenge","100","0"
"6","50","Ruf RT 12R Track","55","Ruf RT 12R Track","192561","192561","Joanmi Marzo Gil","14","5","0","Running","-44.276","0","","1:21.121","1:19.578","15","23","1","60","7","4","38","Iberia","1690","1715","19","344","19","354","Ruf GT3 Challenge","100","0"
"7","50","Ruf RT 12R Track","55","Ruf RT 12R Track","297839","297839","Juan Hernandez2","17","15","0","Running","-1:05.065","0","","1:22.025","1:19.953","7","23","12","55","5","8","38","Iberia","1026","1070","7","327","7","327","Ruf GT3 Challenge","100","0"
"8","50","Ruf RT 12R Track","55","Ruf RT 12R Track","310858","310858","Onur Ozben","9","7","0","Running","-1 L","0","","1:23.392","1:20.078","6","22","9","50","3","4","1","International Club","1500","1511","10","225","10","232","Ruf GT3 Challenge","100","0"
"9","50","Ruf RT 12R Track","55","Ruf RT 12R Track","50353","50353","George Poitou","16","11","0","Running","-1 L","0","","1:23.677","1:21.065","17","22","7","45","1","5","6","California Club","1196","1209","13","153","13","161","Ruf GT3 Challenge","100","0"
"10","50","Ruf RT 12R Track","55","Ruf RT 12R Track","310243","310243","Kenneth Carlson","10","12","0","Running","-1 L","0","","1:24.423","1:20.448","17","22","5","40","0","5","25","Carolina","1181","1184","11","350","11","354","Ruf GT3 Challenge","100","0"
"11","50","Ruf RT 12R Track","55","Ruf RT 12R Track","263992","263992","Gabor Budahazi2","7","14","0","Running","-1 L","0","","1:23.964","1:20.232","15","22","10","35","0","8","32","West","1079","1077","14","232","14","227","Ruf GT3 Challenge","100","0"
"12","50","Ruf RT 12R Track","55","Ruf RT 12R Track","316724","316724","Chris Renova","13","13","0","Running","-2 L","0","","1:29.264","1:26.052","14","21","5","30","0","R","22","Florida","1130","1114","7","368","7","377","Ruf GT3 Challenge","100","0"
"13","50","Ruf RT 12R Track","55","Ruf RT 12R Track","293898","293898","Juan E Peña Hidalgo","18","16","0","Running","-3 L","0","","1:24.861","1:22.006","4","20","5","25","0","8","38","Iberia","799","791","17","175","17","172","Ruf GT3 Challenge","100","0"
"14","50","Ruf RT 12R Track","55","Ruf RT 12R Track","243620","243620","Robert Holmes","8","10","32","Disconnected","-12 L","0","","1:23.756","1:20.531","4","11","8","20","0","5","15","Canada","1253","1209","18","225","18","205","Ruf GT3 Challenge","100","0"
"15","50","Ruf RT 12R Track","55","Ruf RT 12R Track","73862","73862","Matthew Allingham","12","18","0","Running","-12 L","0","","1:26.952","1:23.139","7","11","8","15","0","9","36","UK and I","690","667","6","253","6","250","Ruf GT3 Challenge","100","0"
"16","50","Ruf RT 12R Track","55","Ruf RT 12R Track","310509","310509","Pepe Rodriguez","11","17","29","Disqualified","-13 L","0","","2:16.115","1:23.268","10","10","18","10","0","8","38","Iberia","700","665","10","277","10","241","Ruf GT3 Challenge","100","0"
"17","50","Ruf RT 12R Track","55","Ruf RT 12R Track","138768","138768","Steve Beattie","6","8","32","Disconnected","-22 L","0","","00.000","","","1","4","5","0","5","15","Canada","1490","1402","19","366","19","348","Ruf GT3 Challenge","100","0"
"18","50","Ruf RT 12R Track","55","Ruf RT 12R Track","77490","77490","Paul A Nelson","15","9","32","Disconnected","-23 L","0","","00.000","","","0","0","0","0","6","34","Australia/NZ","1380","1287","15","301","15","301","Ruf GT3 Challenge","100","0"
