"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2018.04.14 7:00 PM GMT","Okayama International Circuit - Full Course","Ruf GT3 Challenge","2018","2","N/A","5","1030"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","50","Ruf RT 12R Track","55","Ruf RT 12R Track","302887","302887","Jonas Kofoed2","10","9","0","Running","-00.000","8","","1:32.739","1:31.643","14","20","2","63","16","6","43","Scandinavia","1023","1117","15","325","15","333","Ruf GT3 Challenge","100","0"
"2","50","Ruf RT 12R Track","55","Ruf RT 12R Track","305502","305502","Peter Scheufen","4","1","0","Running","-16.099","0","","1:33.544","1:31.549","2","20","4","59","14","6","42","DE-AT-CH","1305","1372","7","385","7","396","Ruf GT3 Challenge","100","0"
"3","50","Ruf RT 12R Track","55","Ruf RT 12R Track","316591","316591","Maor Gueta","7","6","0","Running","-21.314","0","","1:33.805","1:32.378","5","20","2","55","12","R","1","International Club","1091","1157","7","369","7","385","Ruf GT3 Challenge","100","0"
"4","50","Ruf RT 12R Track","55","Ruf RT 12R Track","134126","134126","Alex Martens","9","4","0","Running","-21.577","0","","1:33.818","1:31.740","15","20","9","51","10","6","42","DE-AT-CH","1220","1268","14","283","14","266","Ruf GT3 Challenge","100","0"
"5","50","Ruf RT 12R Track","55","Ruf RT 12R Track","310547","310547","Daniel Pinkosky","5","3","0","Running","-33.013","0","","1:34.390","1:32.513","5","20","3","47","8","5","6","California Club","1274","1307","7","359","7","372","Ruf GT3 Challenge","100","0"
"6","50","Ruf RT 12R Track","55","Ruf RT 12R Track","314589","314589","Dylan Hale2","13","5","0","Running","-45.549","0","","1:35.068","1:32.858","18","20","9","43","6","5","20","Ohio","1220","1244","6","292","6","298","Ruf GT3 Challenge","100","0"
"7","50","Ruf RT 12R Track","55","Ruf RT 12R Track","308740","308740","Chris Sewell","15","12","0","Running","-46.223","0","","1:35.050","1:32.610","11","20","5","39","4","7","22","Florida","914","944","7","364","7","373","Ruf GT3 Challenge","100","0"
"8","50","Ruf RT 12R Track","55","Ruf RT 12R Track","73862","73862","Matthew Allingham","17","15","0","Running","-47.559","0","","1:35.117","1:33.045","9","20","14","35","2","9","36","UK and I","847","870","7","387","7","374","Ruf GT3 Challenge","100","0"
"9","50","Ruf RT 12R Track","55","Ruf RT 12R Track","306166","306166","Régis BAUDOUIN","11","14","0","Running","-53.793","0","","1:35.429","1:34.153","9","20","10","31","0","8","39","France","879","888","14","271","14","259","Ruf GT3 Challenge","100","0"
"10","50","Ruf RT 12R Track","55","Ruf RT 12R Track","297839","297839","Juan Hernandez2","1","2","0","Running","-1:05.382","9","","1:36.009","1:31.036","5","20","7","27","0","8","38","Iberia","1295","1269","7","320","7","329","Ruf GT3 Challenge","100","0"
"11","50","Ruf RT 12R Track","55","Ruf RT 12R Track","151930","151930","Artem Kulyaev","16","13","0","Running","-1:25.983","0","","1:37.038","1:34.626","18","20","3","23","0","8","46","Central-Eastern Europe","907","891","10","257","10","271","Ruf GT3 Challenge","100","0"
"12","50","Ruf RT 12R Track","55","Ruf RT 12R Track","310534","310534","Wolfgang Schnalzger","8","8","0","Running","-1 L","0","","1:34.267","1:32.513","13","19","10","19","0","R","42","DE-AT-CH","1061","1024","11","368","11","358","Ruf GT3 Challenge","100","0"
"13","50","Ruf RT 12R Track","55","Ruf RT 12R Track","289021","289021","Cemil Okan Kuzey","2","11","29","Disqualified","-3 L","2","","1:33.049","1:31.937","5","17","17","15","0","7","1","International Club","935","894","7","349","7","335","Ruf GT3 Challenge","100","0"
"14","50","Ruf RT 12R Track","55","Ruf RT 12R Track","295803","295803","Alwin Reid","14","17","0","Running","-3 L","0","","1:38.032","1:35.840","11","17","6","11","0","5","15","Canada","767","726","7","356","7","357","Ruf GT3 Challenge","100","0"
"15","50","Ruf RT 12R Track","55","Ruf RT 12R Track","269515","269515","Kevin Heerdink","3","7","32","Disconnected","-5 L","1","","1:39.482","1:31.658","9","15","8","7","0","7","27","Indiana","1082","1009","6","281","6","286","Ruf GT3 Challenge","100","0"
"16","50","Ruf RT 12R Track","55","Ruf RT 12R Track","302352","302352","Adrian Reeves","12","16","32","Disconnected","-15 L","0","","1:37.799","1:34.164","2","5","7","3","0","9","30","Texas","817","749","10","265","10","255","Ruf GT3 Challenge","100","0"
"17","50","Ruf RT 12R Track","55","Ruf RT 12R Track","310094","310094","Jonathan Leiva","6","10","32","Disconnected","-20 L","0","","00.000","","","0","4","0","0","6","24","Hispanoamérica","994","902","6","255","6","248","Ruf GT3 Challenge","100","0"
