"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2018.04.16 5:00 PM GMT","Okayama International Circuit - Full Course","Ruf GT3 Challenge","2018","2","N/A","5","2715"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","50","Ruf RT 12R Track","55","Ruf RT 12R Track","79495","79495","Gerardo Babio Ramos","1","1","0","Running","-00.000","21","","1:30.021","1:29.056","2","21","0","161","15","1","38","Iberia","8318","8329","20","491","20","499","Ruf GT3 Challenge","100","0"
"2","50","Ruf RT 12R Track","55","Ruf RT 12R Track","239399","239399","Damian Fernandez Perez","4","5","0","Running","-13.596","0","","1:30.669","1:29.517","2","21","0","150","13","2","38","Iberia","3182","3254","19","332","19","348","Ruf GT3 Challenge","100","0"
"3","50","Ruf RT 12R Track","55","Ruf RT 12R Track","244739","244739","Afonso Caetano","2","3","0","Running","-16.366","0","","1:30.801","1:30.163","4","21","4","139","11","1","38","Iberia","3857","3900","20","416","20","412","Ruf GT3 Challenge","100","0"
"4","50","Ruf RT 12R Track","55","Ruf RT 12R Track","210987","210987","Diego Suarez","3","2","0","Running","-25.397","0","","1:31.231","1:30.660","5","21","9","128","9","1","38","Iberia","4652","4667","17","137","17","134","Ruf GT3 Challenge","100","0"
"5","50","Ruf RT 12R Track","55","Ruf RT 12R Track","279414","279414","Wojtek Koppel","8","10","0","Running","-37.566","0","","1:31.810","1:30.606","3","21","5","118","7","3","42","DE-AT-CH","2226","2287","14","284","14","286","Ruf GT3 Challenge","100","0"
"6","50","Ruf RT 12R Track","55","Ruf RT 12R Track","210826","210826","Magnus Asp","7","6","0","Running","-38.202","0","","1:31.840","1:30.329","3","21","10","107","5","2","43","Scandinavia","3176","3198","16","430","16","414","Ruf GT3 Challenge","100","0"
"7","50","Ruf RT 12R Track","55","Ruf RT 12R Track","284186","284186","Ferran Serra Cercos","10","16","0","Running","-39.552","0","","1:31.904","1:30.750","5","21","12","96","3","3","38","Iberia","1779","1830","14","265","14","248","Ruf GT3 Challenge","100","0"
"8","50","Ruf RT 12R Track","55","Ruf RT 12R Track","228983","228983","Paolo Zeni","15","12","0","Running","-39.883","0","","1:31.920","1:30.795","4","21","0","85","1","3","38","Iberia","2102","2130","20","442","20","455","Ruf GT3 Challenge","100","0"
"9","50","Ruf RT 12R Track","55","Ruf RT 12R Track","264741","264741","Jesus Menendez","13","7","0","Running","-47.875","0","","1:32.300","1:31.071","5","21","1","75","0","2","38","Iberia","2908","2900","18","242","18","262","Ruf GT3 Challenge","100","0"
"10","50","Ruf RT 12R Track","55","Ruf RT 12R Track","163403","163403","Oleg Varfolomeev","12","9","0","Running","-50.546","0","","1:32.428","1:31.129","4","21","8","64","0","3","46","Central-Eastern Europe","2391","2386","18","254","18","242","Ruf GT3 Challenge","100","0"
"11","50","Ruf RT 12R Track","55","Ruf RT 12R Track","314471","314471","Maurizio Cheli","9","13","0","Running","-56.195","0","","1:32.697","1:30.451","3","21","16","53","0","4","42","DE-AT-CH","1932","1928","15","312","14","246","Ruf GT3 Challenge","100","0"
"12","50","Ruf RT 12R Track","55","Ruf RT 12R Track","180797","180797","Matt Allen","14","11","0","Running","-58.313","0","","1:32.797","1:31.822","5","21","0","42","0","3","36","UK and I","2130","2108","11","358","11","376","Ruf GT3 Challenge","100","0"
"13","50","Ruf RT 12R Track","55","Ruf RT 12R Track","265017","265017","Patrik Stollhof","11","15","0","Running","-1 L","0","","1:35.583","1:30.519","2","20","10","32","0","4","42","DE-AT-CH","1893","1866","15","319","15","307","Ruf GT3 Challenge","100","0"
"14","50","Ruf RT 12R Track","55","Ruf RT 12R Track","42830","42830","Jaroslav Polma","6","4","0","Running","-1 L","0","","1:34.190","1:30.189","4","20","7","21","0","1","46","Central-Eastern Europe","3789","3697","20","412","19","357","Ruf GT3 Challenge","100","0"
"15","50","Ruf RT 12R Track","55","Ruf RT 12R Track","226861","226861","Javi Murgui Albir","5","8","32","Disconnected","-8 L","0","","1:31.492","1:30.419","3","13","7","10","0","2","38","Iberia","2799","2719","18","239","18","227","Ruf GT3 Challenge","100","0"
"16","50","Ruf RT 12R Track","55","Ruf RT 12R Track","71443","71443","Dwayne Stoddart","16","14","32","Disconnected","-21 L","0","","00.000","","","0","0","0","0","4","36","UK and I","1922","1857","17","151","17","151","Ruf GT3 Challenge","100","0"
