"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2018.04.23 9:00 PM GMT","Donington Park Racing Circuit - National","Ruf GT3 Challenge","2018","2","N/A","6","1909"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","50","Ruf RT 12R Track","55","Ruf RT 12R Track","180840","180840","Alessandro Fantinati","1","7","0","Running","-00.000","28","","1:05.491","1:04.786","4","28","3","116","17","5","41","Italy","2137","2224","11","368","11","381","Ruf GT3 Challenge","100","0"
"2","50","Ruf RT 12R Track","55","Ruf RT 12R Track","193141","193141","John Manley","4","3","0","Running","-03.171","0","","1:05.604","1:04.913","4","28","8","109","15","2","36","UK and I","3008","3059","20","449","20","427","Ruf GT3 Challenge","100","0"
"3","50","Ruf RT 12R Track","55","Ruf RT 12R Track","161240","161240","Jacob Grube","3","1","0","Running","-20.448","0","","1:06.221","1:05.135","13","28","4","102","13","1","23","Mid-South","4291","4305","20","487","20","473","Ruf GT3 Challenge","100","0"
"4","50","Ruf RT 12R Track","55","Ruf RT 12R Track","99804","99804","Jose Borges","7","6","0","Running","-22.190","0","","1:06.301","1:05.400","5","28","3","95","11","3","38","Iberia","2209","2260","20","455","20","450","Ruf GT3 Challenge","100","0"
"5","50","Ruf RT 12R Track","55","Ruf RT 12R Track","213870","213870","Michael Smith41","9","5","0","Running","-23.989","0","","1:06.347","1:05.526","7","28","6","88","9","3","6","California Club","2221","2261","18","260","18","258","Ruf GT3 Challenge","100","0"
"6","50","Ruf RT 12R Track","55","Ruf RT 12R Track","317911","317911","Asier Gonzalez Fueyo","8","12","0","Running","-36.715","0","","1:06.802","1:06.145","19","28","5","81","7","5","38","Iberia","1459","1515","7","384","7","396","Ruf GT3 Challenge","100","0"
"7","50","Ruf RT 12R Track","55","Ruf RT 12R Track","192816","192816","David Wattecamps","14","9","0","Running","-46.726","0","","1:07.159","1:05.856","7","28","4","75","5","5","40","Benelux","1696","1732","18","205","18","220","Ruf GT3 Challenge","100","0"
"8","50","Ruf RT 12R Track","55","Ruf RT 12R Track","302192","302192","Ruben Olivares","10","15","0","Running","-50.188","0","","1:07.283","1:06.095","21","28","16","68","3","5","38","Iberia","1349","1388","10","234","10","231","Ruf GT3 Challenge","100","0"
"9","50","Ruf RT 12R Track","55","Ruf RT 12R Track","318087","318087","David Tenschert","5","10","0","Running","-52.133","0","","1:07.353","1:05.388","26","28","7","61","1","4","42","DE-AT-CH","1645","1661","7","385","7","393","Ruf GT3 Challenge","100","0"
"10","50","Ruf RT 12R Track","55","Ruf RT 12R Track","289242","289242","Xavier Baboulaz","6","4","0","Running","-57.707","0","","1:07.552","1:06.078","13","28","16","54","0","3","39","France","2769","2738","18","263","18","223","Ruf GT3 Challenge","100","0"
"11","50","Ruf RT 12R Track","55","Ruf RT 12R Track","196762","196762","Eric Gomez Torres","12","11","0","Running","-1:01.812","0","","1:07.698","1:06.303","18","28","15","47","0","4","38","Iberia","1564","1562","7","325","7","325","Ruf GT3 Challenge","100","0"
"12","50","Ruf RT 12R Track","55","Ruf RT 12R Track","196569","196569","Pedro Rahn","2","2","0","Running","-1:02.845","0","","1:06.942","1:05.088","20","28","16","40","0","1","38","Iberia","4100","4019","19","330","18","248","Ruf GT3 Challenge","100","0"
"13","50","Ruf RT 12R Track","55","Ruf RT 12R Track","169930","169930","Orlando Herrell","18","17","0","Running","-1 L","0","","1:08.114","1:06.032","17","27","5","34","0","7","23","Mid-South","1254","1243","15","317","15","324","Ruf GT3 Challenge","100","0"
"14","50","Ruf RT 12R Track","55","Ruf RT 12R Track","297839","297839","Juan Hernandez2","13","14","0","Running","-1 L","0","","1:09.082","1:05.801","18","27","12","27","0","8","38","Iberia","1329","1303","7","365","7","364","Ruf GT3 Challenge","100","0"
"15","50","Ruf RT 12R Track","55","Ruf RT 12R Track","283248","283248","Ralph Cummins","17","16","0","Running","-2 L","0","","1:10.836","1:06.340","15","26","12","20","0","4","36","UK and I","1281","1246","7","330","7","332","Ruf GT3 Challenge","100","0"
"16","50","Ruf RT 12R Track","55","Ruf RT 12R Track","315776","315776","Miguel Angel Martinez Diaz","11","18","0","Running","-6 L","0","","1:15.242","1:07.076","2","22","10","13","0","6","38","Iberia","1247","1203","7","363","7","362","Ruf GT3 Challenge","100","0"
"17","50","Ruf RT 12R Track","55","Ruf RT 12R Track","181723","181723","Stephen Jones5","16","8","32","Disconnected","-16 L","0","","1:12.856","1:06.864","4","12","6","6","0","4","36","UK and I","1951","1867","20","453","20","429","Ruf GT3 Challenge","100","0"
"18","50","Ruf RT 12R Track","55","Ruf RT 12R Track","220356","220356","Luis Toledo","15","13","0","Running","-20 L","0","","1:16.787","1:06.841","2","8","6","3","0","7","38","Iberia","1455","1379","11","352","11","344","Ruf GT3 Challenge","100","0"
