"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2018.01.09 9:15 PM GMT","Virginia International Raceway - Grand West","Skip Barber Race Series","2018","1","N/A","5","1119"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","1","Skip Barber Formula 2000","1","Skip Barber Race Series","300338","300338","Damian V.A Hall","1","3","0","Running","-00.000","9","","2:58.229","2:56.443","9","9","6","67","12","6","1","International Club","1360","1439","7","398","8","452","Skip Barber Race Series","100","0"
"2","1","Skip Barber Formula 2000","1","Skip Barber Race Series","293794","293794","Robert Barnes4","9","11","0","Running","-27.290","0","","3:01.260","2:57.625","7","9","4","61","10","7","36","UK and I","926","1014","15","319","15","330","Skip Barber Race Series","100","0"
"3","1","Skip Barber Formula 2000","1","Skip Barber Race Series","45802","45802","Jean Etienne Lamoureux","11","13","0","Running","-29.210","0","","3:01.473","2:57.251","4","9","5","55","8","8","39","France","813","893","7","353","7","371","Skip Barber Race Series","100","0"
"4","1","Skip Barber Formula 2000","1","Skip Barber Race Series","289928","289928","Juan A. Escobar","4","1","0","Running","-30.842","0","","3:01.655","2:57.930","4","9","5","50","6","5","38","Iberia","1443","1472","18","231","18","238","Skip Barber Race Series","100","0"
"5","1","Skip Barber Formula 2000","1","Skip Barber Race Series","237083","237083","William Marshall","5","2","0","Running","-55.120","0","","3:04.353","3:01.462","5","9","0","44","4","6","16","Pennsylvania","1363","1381","18","245","18","276","Skip Barber Race Series","100","0"
"6","1","Skip Barber Formula 2000","1","Skip Barber Race Series","305402","305402","Laurens Rouw","6","4","0","Running","-55.476","0","","3:04.392","2:59.371","5","9","11","39","2","6","40","Benelux","1269","1276","7","344","7","348","Skip Barber Race Series","100","0"
"7","1","Skip Barber Formula 2000","1","Skip Barber Race Series","299011","299011","Daniel Nadal Mayorgas","3","5","0","Running","-1:11.243","0","","3:05.740","3:00.800","4","9","9","33","0","R","38","Iberia","1210","1205","7","336","7","347","Skip Barber Race Series","100","0"
"8","1","Skip Barber Formula 2000","1","Skip Barber Race Series","66053","66053","Robert Levy","7","7","0","Running","-2:05.596","0","","3:12.183","3:04.005","9","9","8","27","0","9","14","New York","1146","1129","7","360","7","369","Skip Barber Race Series","100","0"
"9","1","Skip Barber Formula 2000","1","Skip Barber Race Series","59245","59245","Ken Phan","8","10","0","Running","-2:18.088","0","","3:00.385","2:58.118","7","9","2","22","0","7","15","Canada","927","908","11","343","11","358","Skip Barber Race Series","100","0"
"10","1","Skip Barber Formula 2000","1","Skip Barber Race Series","308420","308420","Kristian Jakobsen","10","12","0","Running","-2:50.567","0","","3:17.180","3:09.383","6","9","12","16","0","7","43","Scandinavia","908","875","6","265","6","276","Skip Barber Race Series","100","0"
"11","1","Skip Barber Formula 2000","1","Skip Barber Race Series","281372","281372","Patrick Hingston2","2","9","0","Running","-3 L","0","","5:02.296","2:58.611","3","6","14","11","0","6","17","Virginias","1027","971","10","210","10","207","Skip Barber Race Series","100","0"
"12","1","Skip Barber Formula 2000","1","Skip Barber Race Series","299994","299994","Paul A Sternig","12","6","32","Disconnected","-9 L","0","","00.000","","","0","0","0","0","6","29","Midwest","1165","1078","7","333","7","333","Skip Barber Race Series","100","0"
"13","1","Skip Barber Formula 2000","1","Skip Barber Race Series","25245","25245","Claudio Cavalli","13","8","32","Disconnected","-9 L","0","","00.000","","","0","0","0","0","7","41","Italy","1101","1017","10","205","10","205","Skip Barber Race Series","100","0"
