"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2018.01.23 9:15 PM GMT","Snetterton Circuit - 200","Skip Barber Race Series","2018","1","N/A","7","1979"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","1","Skip Barber Formula 2000","1","Skip Barber Race Series","253111","253111","Federico Montini","1","1","0","Running","-00.000","18","","1:21.525","1:20.780","11","18","3","121","18","2","24","Hispanoamérica","3636","3684","17","136","17","142","Skip Barber Race Series","100","0"
"2","1","Skip Barber Formula 2000","1","Skip Barber Race Series","267133","267133","Mark Bresnan","4","2","0","Running","-03.288","0","","1:21.708","1:20.741","9","18","4","114","16","2","36","UK and I","2529","2595","19","330","19","324","Skip Barber Race Series","100","0"
"3","1","Skip Barber Formula 2000","1","Skip Barber Race Series","215219","215219","Kevin Croswhite","2","5","0","Running","-06.885","0","","1:21.908","1:20.702","16","18","3","107","14","3","29","Midwest","2245","2309","15","306","15","310","Skip Barber Race Series","100","0"
"4","1","Skip Barber Formula 2000","1","Skip Barber Race Series","295521","295521","Christian Novak","3","6","0","Running","-11.547","0","","1:22.167","1:20.826","9","18","5","100","12","3","36","UK and I","2049","2109","11","317","11","318","Skip Barber Race Series","100","0"
"5","1","Skip Barber Formula 2000","1","Skip Barber Race Series","81085","81085","Chris Hellier","8","12","0","Running","-21.854","0","","1:22.739","1:21.384","13","18","5","94","10","3","36","UK and I","1829","1887","12","429","12","426","Skip Barber Race Series","100","0"
"6","1","Skip Barber Formula 2000","1","Skip Barber Race Series","32772","32772","Thibaut Lefevre","11","15","0","Running","-26.661","0","","1:23.006","1:20.763","9","18","4","87","8","4","39","France","1675","1729","10","274","10","278","Skip Barber Race Series","100","0"
"7","1","Skip Barber Formula 2000","1","Skip Barber Race Series","294186","294186","Wisse Raaijmakers2","12","19","0","Running","-28.559","0","","1:23.111","1:20.802","16","18","8","80","6","4","40","Benelux","1566","1614","11","344","11","338","Skip Barber Race Series","100","0"
"8","1","Skip Barber Formula 2000","1","Skip Barber Race Series","149911","149911","Herve Boyard","18","9","0","Running","-34.242","0","","1:23.427","1:21.701","17","18","3","73","4","3","39","France","1974","1995","19","390","19","381","Skip Barber Race Series","100","0"
"9","1","Skip Barber Formula 2000","1","Skip Barber Race Series","221041","221041","Hans Heuer","15","3","0","Running","-37.081","0","","1:23.585","1:21.241","6","18","7","67","2","2","42","DE-AT-CH","2470","2465","14","249","14","241","Skip Barber Race Series","100","0"
"10","1","Skip Barber Formula 2000","1","Skip Barber Race Series","305630","305630","Romain Vandebogarde2","16","17","0","Running","-37.783","0","","1:23.623","1:21.643","18","18","7","60","0","3","39","France","1626","1640","10","258","10","256","Skip Barber Race Series","100","0"
"11","1","Skip Barber Formula 2000","1","Skip Barber Race Series","283068","283068","Marko Hyypia","9","10","0","Running","-46.566","0","","1:24.112","1:21.318","11","18","1","53","0","3","36","UK and I","1958","1949","19","354","19","360","Skip Barber Race Series","100","0"
"12","1","Skip Barber Formula 2000","1","Skip Barber Race Series","295269","295269","Martin Hoehn","17","16","0","Running","-1:14.089","0","","1:25.640","1:21.599","9","18","7","47","0","5","42","DE-AT-CH","1653","1645","11","338","11","331","Skip Barber Race Series","100","0"
"13","1","Skip Barber Formula 2000","1","Skip Barber Race Series","280272","280272","Charles-Eric Lemelin","13","13","0","Running","-1 L","0","","1:26.359","1:21.883","9","17","8","40","0","3","15","Canada","1704","1684","15","300","14","247","Skip Barber Race Series","100","0"
"14","1","Skip Barber Formula 2000","1","Skip Barber Race Series","32773","32773","Olivier Vinot","5","7","0","Running","-1 L","0","","1:22.558","1:20.637","6","17","4","33","0","5","39","France","2017","1974","11","337","11","338","Skip Barber Race Series","100","0"
"15","1","Skip Barber Formula 2000","1","Skip Barber Race Series","298329","298329","Javier Quilón","10","14","0","Running","-1 L","0","","1:23.428","1:21.553","16","17","5","26","0","5","38","Iberia","1699","1658","11","373","11","369","Skip Barber Race Series","100","0"
"16","1","Skip Barber Formula 2000","1","Skip Barber Race Series","148182","148182","Jose Carlos Navarro Durango","14","18","0","Running","-1 L","0","","1:26.053","1:22.102","8","17","15","20","0","4","38","Iberia","1585","1538","17","145","17","105","Skip Barber Race Series","100","0"
"17","1","Skip Barber Formula 2000","1","Skip Barber Race Series","92477","92477","Michael Weddell","6","8","32","Disconnected","-2 L","0","","1:22.462","1:21.118","13","16","6","13","0","3","36","UK and I","1982","1909","10","250","10","250","Skip Barber Race Series","100","0"
"18","1","Skip Barber Formula 2000","1","Skip Barber Race Series","292835","292835","Michael Scurlock","7","11","0","Running","-2 L","0","","1:22.487","1:21.117","13","16","8","6","0","4","34","Australia/NZ","1915","1834","15","344","15","330","Skip Barber Race Series","100","0"
"19","1","Skip Barber Formula 2000","1","Skip Barber Race Series","287356","287356","Kevin Botelho","19","4","32","Disconnected","-11 L","0","","1:25.279","1:22.189","5","7","3","3","0","3","22","Florida","2316","2210","13","177","13","175","Skip Barber Race Series","100","0"
