"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2018.02.06 8:15 PM GMT","Mazda Raceway Laguna Seca - Full Course","Skip Barber Race Series","2018","1","N/A","9","1198"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","1","Skip Barber Formula 2000","1","Skip Barber Race Series","280412","280412","Eugenio Stanislav","14","6","0","Running","-00.000","5","","1:40.310","1:38.529","3","14","2","73","15","6","38","Iberia","1250","1340","7","374","7","384","Skip Barber Race Series","100","0"
"2","1","Skip Barber Formula 2000","1","Skip Barber Race Series","161308","161308","Andrew Hughson","4","16","0","Running","-05.192","2","","1:40.681","1:39.050","4","14","1","68","13","8","14","New York","1063","1151","14","290","15","348","Skip Barber Race Series","100","0"
"3","1","Skip Barber Formula 2000","1","Skip Barber Race Series","210895","210895","Marcel Brunschwiler","7","15","0","Running","-23.488","0","","1:41.988","1:39.483","14","14","6","63","11","6","42","DE-AT-CH","1096","1170","6","287","6","296","Skip Barber Race Series","100","0"
"4","1","Skip Barber Formula 2000","1","Skip Barber Race Series","133730","133730","Nicola Scheller","11","11","0","Running","-40.441","0","","1:43.199","1:40.763","14","14","6","58","9","6","42","DE-AT-CH","1171","1228","11","356","11","355","Skip Barber Race Series","100","0"
"5","1","Skip Barber Formula 2000","1","Skip Barber Race Series","293712","293712","Oskar Solé","10","12","0","Running","-43.685","0","","1:43.431","1:41.039","13","14","0","53","7","5","38","Iberia","1153","1199","14","270","14","289","Skip Barber Race Series","100","0"
"6","1","Skip Barber Formula 2000","1","Skip Barber Race Series","207532","207532","Aser Sebastian","3","3","0","Running","-48.171","5","","1:42.916","1:38.546","5","14","1","48","5","5","38","Iberia","1264","1291","10","260","10","277","Skip Barber Race Series","100","0"
"7","1","Skip Barber Formula 2000","1","Skip Barber Race Series","249258","249258","Jorge Quesada","1","7","0","Running","-1:13.146","2","","1:39.554","1:37.934","14","14","8","43","3","4","38","Iberia","1226","1243","7","352","7","351","Skip Barber Race Series","100","0"
"8","1","Skip Barber Formula 2000","1","Skip Barber Race Series","304429","304429","David Lanchas","12","1","0","Running","-1 L","0","","1:44.262","1:40.724","9","13","7","38","1","7","38","Iberia","1286","1287","11","324","11","320","Skip Barber Race Series","100","0"
"9","1","Skip Barber Formula 2000","1","Skip Barber Race Series","173030","173030","Cristobal Rodriguez","6","13","0","Running","-1 L","0","","1:42.165","1:39.771","6","13","2","34","0","7","18","Atlantic","1142","1139","6","262","6","278","Skip Barber Race Series","100","0"
"10","1","Skip Barber Formula 2000","1","Skip Barber Race Series","286855","286855","Javier Lázaro","9","4","0","Running","-2 L","0","","1:42.941","1:40.394","6","12","10","29","0","6","38","Iberia","1259","1238","11","332","11","323","Skip Barber Race Series","100","0"
"11","1","Skip Barber Formula 2000","1","Skip Barber Race Series","308884","308884","Robert Picho","15","8","0","Running","-4 L","0","","2:22.286","1:41.286","6","10","8","24","0","5","40","Benelux","1226","1194","7","336","7","333","Skip Barber Race Series","100","0"
"12","1","Skip Barber Formula 2000","1","Skip Barber Race Series","268116","268116","Carlos Gabotto","16","9","29","Disqualified","-5 L","0","","1:42.993","1:39.989","6","9","17","19","0","10","24","Hispanoamérica","1218","1174","11","364","11","333","Skip Barber Race Series","100","0"
"13","1","Skip Barber Formula 2000","1","Skip Barber Race Series","221786","221786","Scott Kirchner","5","14","32","Disconnected","-8 L","0","","1:42.734","1:39.658","5","6","2","14","0","9","27","Indiana","1120","1069","7","375","7","378","Skip Barber Race Series","100","0"
"14","1","Skip Barber Formula 2000","1","Skip Barber Race Series","268140","268140","Neil A. Jackson","13","5","32","Disconnected","-8 L","0","","1:44.509","1:40.686","2","6","9","9","0","5","36","UK and I","1250","1179","14","273","14","249","Skip Barber Race Series","100","0"
"15","1","Skip Barber Formula 2000","1","Skip Barber Race Series","223223","223223","Roel ter Maat2","8","10","32","Disconnected","-13 L","0","","1:57.310","","","1","6","4","0","5","40","Benelux","1203","1122","13","186","13","164","Skip Barber Race Series","100","0"
"16","1","Skip Barber Formula 2000","1","Skip Barber Race Series","311711","311711","Moises Garcia García","2","2","32","Disconnected","-14 L","0","","00.000","","","0","1","0","0","6","38","Iberia","1273","1176","7","344","7","344","Skip Barber Race Series","100","0"
