"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field","Special Event Type"
"2019.03.13 6:15 PM GMT","Auto Club Speedway - Oval","NASCAR iRacing Class C Fixed","2019","2","N/A","1","3607",""

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)","Agg Pts"
"1","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","292589","292589","Ryan Haartz","4","3","0","Running","-00.000","24","","48.146","41.715","2","30","0","214","19","1","12","New England","5902","5953","20","470","20","476","NASCAR iRacing Class C Fixed","100","0","214"
"2","62","NASCAR Camping World Toyota Tundra","71","Camping World Series","329967","329967","Matthew W Bell","1","5","0","Running","-00.160","6","","48.151","41.600","2","30","0","202","17","1","15","Canada","5328","5379","18","263","18","276","NASCAR iRacing Class C Fixed","100","0","202"
"3","62","NASCAR Camping World Toyota Tundra","71","Camping World Series","179346","179346","Justin Botelho","8","4","0","Running","-00.257","0","","48.154","41.830","2","30","0","191","15","1","25","Carolina","5450","5489","19","352","19","358","NASCAR iRacing Class C Fixed","100","0","191"
"4","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","119966","119966","Derek Justis","16","2","0","Running","-00.441","0","","48.160","41.899","3","30","0","180","13","1","23","Mid-South","6326","6340","20","468","20","474","NASCAR iRacing Class C Fixed","100","0","180"
"5","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","211161","211161","Colby Blouin","3","8","0","Running","-00.806","0","","48.173","41.883","2","30","0","168","11","1","12","New England","4037","4086","19","356","19","365","NASCAR iRacing Class C Fixed","100","0","168"
"6","62","NASCAR Camping World Toyota Tundra","71","Camping World Series","130982","130982","Erik Roice","5","15","0","Running","-01.227","0","","48.187","41.875","2","30","4","157","9","2","31","Great Plains","2947","3013","19","348","19","336","NASCAR iRacing Class C Fixed","100","0","157"
"7","62","NASCAR Camping World Toyota Tundra","71","Camping World Series","227568","227568","Harrison Le","11","18","0","Running","-01.304","0","","48.189","42.030","3","30","0","146","7","2","32","West","2712","2774","17","168","17","187","NASCAR iRacing Class C Fixed","100","0","146"
"8","62","NASCAR Camping World Toyota Tundra","71","Camping World Series","341846","341846","Chandler Parsons","12","19","0","Running","-01.370","0","","48.191","42.153","4","30","0","135","5","2","25","Carolina","2529","2586","17","162","17","181","NASCAR iRacing Class C Fixed","100","0","135"
"9","62","NASCAR Camping World Toyota Tundra","71","Camping World Series","42354","42354","Sean Lovio","2","10","0","Running","-01.605","0","","48.199","41.695","2","30","4","123","3","2","6","California Club","3351","3377","18","228","18","225","NASCAR iRacing Class C Fixed","100","0","123"
"10","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","260736","260736","Tyson Palmquist","14","14","0","Running","-02.980","0","","48.245","41.993","3","30","4","112","1","2","31","Great Plains","3044","3068","14","281","14","278","NASCAR iRacing Class C Fixed","100","0","112"
