"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field","Special Event Type"
"2019.03.15 7:15 AM GMT","Auto Club Speedway - Oval","NASCAR iRacing Class C Fixed","2019","2","N/A","1","2322",""

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)","Agg Pts"
"1","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","164288","164288","Anthony Emery","1","1","0","Running","-00.000","30","","57.681","41.686","2","30","0","139","15","1","30","Texas","5031","5067","18","250","18","263","NASCAR iRacing Class C Fixed","100","0","139"
"2","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","221475","221475","Scott McClendon","13","4","0","Running","-00.456","0","","57.696","41.789","23","30","0","129","13","2","31","Great Plains","3435","3488","19","317","19","326","NASCAR iRacing Class C Fixed","100","0","129"
"3","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","363789","363789","D Alexander","4","6","0","Running","-01.082","0","","57.717","41.868","2","30","0","120","11","2","22","Florida","2560","2624","15","332","15","340","NASCAR iRacing Class C Fixed","100","0","120"
"4","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","45352","45352","Bjoern Reddehase","7","5","0","Running","-04.101","0","","57.817","41.882","2","30","8","111","9","2","42","DE-AT-CH","3293","3325","20","458","20","426","NASCAR iRacing Class C Fixed","100","0","111"
"5","62","NASCAR Camping World Toyota Tundra","71","Camping World Series","230147","230147","Cory Armstrong","14","8","0","Running","-04.303","0","","56.396","41.914","23","30","4","101","7","2","33","Northwest","2357","2402","20","441","20","429","NASCAR iRacing Class C Fixed","100","0","101"
"6","62","NASCAR Camping World Toyota Tundra","71","Camping World Series","142174","142174","Paul Morgan Jr","12","2","0","Running","-04.521","0","","57.831","41.881","23","30","4","92","5","1","16","Pennsylvania","3947","3940","19","333","19","325","NASCAR iRacing Class C Fixed","100","0","92"
"7","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","337640","337640","Mark Krinke","16","14","0","Running","-49.867","0","","56.410","41.896","23","30","0","83","3","5","29","Midwest","1373","1427","10","271","10","284","NASCAR iRacing Class C Fixed","100","0","83"
"8","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","331818","331818","Dennie Klucarich","5","7","0","Running","-50.906","0","","56.369","41.951","2","30","4","74","1","2","17","Virginias","2540","2542","15","359","15","354","NASCAR iRacing Class C Fixed","100","0","74"
"9","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","336623","336623","Taylor Krug","9","10","0","Running","-50.912","0","","56.424","42.239","2","30","9","64","0","3","23","Mid-South","2128","2130","10","270","10","261","NASCAR iRacing Class C Fixed","100","0","64"
"10","62","NASCAR Camping World Toyota Tundra","71","Camping World Series","261000","261000","Timothy T Wright","8","11","0","Running","-55.213","0","","56.427","42.423","2","30","1","55","0","3","25","Carolina","1922","1919","19","322","19","327","NASCAR iRacing Class C Fixed","100","0","55"
"11","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","289809","289809","Ben Pusateri","11","15","0","Running","-1 L","0","","57.713","42.267","2","29","4","46","0","6","20","Ohio","1259","1267","15","366","15","359","NASCAR iRacing Class C Fixed","100","0","46"
"12","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","328789","328789","Herman Hart","2","12","32","Disconnected","-3 L","0","","56.391","41.825","2","27","4","37","0","7","31","Great Plains","1885","1859","16","432","16","426","NASCAR iRacing Class C Fixed","100","0","37"
"13","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","297829","297829","Jackson Van Volkinburg","15","13","32","Disconnected","-3 L","0","","56.394","41.811","23","27","4","27","0","4","6","California Club","1582","1554","18","260","18","252","NASCAR iRacing Class C Fixed","100","0","27"
"14","62","NASCAR Camping World Toyota Tundra","71","Camping World Series","178485","178485","Trevor Haley","6","9","32","Disconnected","-7 L","0","","49.580","42.045","3","23","4","18","0","3","27","Indiana","2179","2118","18","234","18","228","NASCAR iRacing Class C Fixed","100","0","18"
"15","62","NASCAR Camping World Toyota Tundra","71","Camping World Series","73242","73242","Chase Raudman","10","3","32","Disconnected","-7 L","0","","49.650","41.946","3","23","6","9","0","1","6","California Club","3889","3771","10","239","10","236","NASCAR iRacing Class C Fixed","100","0","9"
"16","62","NASCAR Camping World Toyota Tundra","71","Camping World Series","355824","355824","Chad Grider2","3","16","0","Running","-9 L","0","","49.576","41.916","2","21","4","4","0","5","6","California Club","1245","1192","14","270","14","263","NASCAR iRacing Class C Fixed","100","0","4"
