"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field","Special Event Type"
"2019.03.20 2:15 PM GMT","Martinsville Speedway","NASCAR iRacing Class C Fixed","2019","2","N/A","2","2459",""

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)","Agg Pts"
"1","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","224057","224057","Matt Danson","2","2","0","Running","-00.000","17","","21.474","20.667","2","70","0","143","12","1","34","Australia/NZ","4964","5003","19","375","19","397","NASCAR iRacing Class C Fixed","100","0","143"
"2","62","NASCAR Camping World Toyota Tundra","71","Camping World Series","167601","167601","Scott Patten2","1","1","0","Running","-02.348","53","","21.507","20.603","2","70","0","131","10","1","12","New England","5066","5088","19","338","19","359","NASCAR iRacing Class C Fixed","100","0","131"
"3","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","126733","126733","Wade Poole","4","3","0","Running","-03.322","0","","21.521","20.866","4","70","0","119","8","2","15","Canada","4195","4217","16","489","16","499","NASCAR iRacing Class C Fixed","100","0","119"
"4","62","NASCAR Camping World Toyota Tundra","71","Camping World Series","62077","62077","Kelvin van der Linde","5","4","0","Running","-04.092","0","","21.532","20.923","4","70","0","107","6","2","1","International Club","3287","3313","17","179","18","264","NASCAR iRacing Class C Fixed","100","0","107"
"5","62","NASCAR Camping World Toyota Tundra","71","Camping World Series","71427","71427","Tom Berendsen","3","7","0","Running","-05.751","0","","21.556","20.796","3","70","0","95","4","3","40","Benelux","2275","2314","15","335","15","357","NASCAR iRacing Class C Fixed","100","0","95"
"6","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","87526","87526","Ronald Williams","11","12","0","Running","-06.247","0","","21.563","20.882","3","70","0","83","2","3","15","Canada","1715","1757","18","260","18","289","NASCAR iRacing Class C Fixed","100","0","83"
"7","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","21220","21220","Mark Nadeau","6","6","0","Running","-12.668","0","","21.655","20.924","2","70","0","71","0","2","30","Texas","2337","2343","19","329","19","350","NASCAR iRacing Class C Fixed","100","0","71"
"8","62","NASCAR Camping World Toyota Tundra","71","Camping World Series","205700","205700","Dominic Bégin","8","5","0","Running","-16.037","0","","21.703","20.988","3","70","2","59","0","2","15","Canada","2395","2385","11","363","11","378","NASCAR iRacing Class C Fixed","100","0","59"
"9","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","167647","167647","Mark Murphy4","9","10","0","Running","-1 L","0","","21.786","20.914","2","69","4","47","0","3","36","UK and I","1798","1792","18","234","18","246","NASCAR iRacing Class C Fixed","100","0","47"
"10","62","NASCAR Camping World Toyota Tundra","71","Camping World Series","30245","30245","Christopher Williamson","12","13","0","Running","-1 L","0","","21.978","21.034","2","69","0","35","0","4","22","Florida","1713","1694","17","151","17","192","NASCAR iRacing Class C Fixed","100","0","35"
"11","62","NASCAR Camping World Toyota Tundra","71","Camping World Series","315448","315448","James Rutherford","10","11","0","Running","-1 L","0","","21.999","21.255","5","69","2","23","0","3","36","UK and I","1754","1719","18","252","18","271","NASCAR iRacing Class C Fixed","100","0","23"
"12","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","32656","32656","Ray B.","7","8","0","Running","-2 L","0","","22.393","21.339","4","68","4","11","0","3","31","Great Plains","1996","1937","20","495","20","483","NASCAR iRacing Class C Fixed","100","0","11"
"13","62","NASCAR Camping World Toyota Tundra","71","Camping World Series","247688","247688","Scott Caron","13","9","32","Disconnected","-70 L","0","","00.000","","","0","0","0","0","3","12","New England","1800","1733","18","263","18","263","NASCAR iRacing Class C Fixed","100","0","0"
