"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field","Special Event Type"
"2019.04.10 2:15 AM GMT","Bristol Motor Speedway","NASCAR iRacing Class C Fixed","2019","2","N/A","5","2450",""

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)","Agg Pts"
"1","62","NASCAR Camping World Toyota Tundra","71","Camping World Series","366314","366314","Donovan Strauss","1","18","0","Running","-00.000","74","","24.702","15.378","2","75","0","151","22","R","22","Florida","2231","2333","14","266","14","297","NASCAR iRacing Class C Fixed","100","0","151"
"2","62","NASCAR Camping World Toyota Tundra","71","Camping World Series","296128","296128","Matthew Tyrrell","3","5","0","Running","-00.285","1","","24.706","15.465","47","75","0","144","20","2","33","Northwest","2762","2838","19","329","19","352","NASCAR iRacing Class C Fixed","100","0","144"
"3","62","NASCAR Camping World Toyota Tundra","71","Camping World Series","336860","336860","Michael Kline","11","3","0","Running","-01.675","0","","24.724","15.662","47","75","0","137","18","2","29","Midwest","2881","2945","17","155","18","244","NASCAR iRacing Class C Fixed","100","0","137"
"4","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","344572","344572","Nate S Stewart","2","16","0","Running","-02.556","0","","24.736","15.472","2","75","12","130","16","2","23","Mid-South","2257","2332","18","208","17","155","NASCAR iRacing Class C Fixed","100","0","130"
"5","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","185008","185008","Austin Nielsen","12","10","0","Running","-02.709","0","","24.738","15.668","47","75","10","123","14","2","26","Illinois","2503","2562","17","173","17","167","NASCAR iRacing Class C Fixed","100","0","123"
"6","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","346391","346391","Nicholas Sacco","9","8","0","Running","-02.811","0","","24.739","15.709","47","75","10","116","12","2","22","Florida","2598","2645","18","287","18","264","NASCAR iRacing Class C Fixed","100","0","116"
"7","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","347531","347531","Brian Dickson2","8","14","0","Running","-03.977","0","","24.755","15.722","47","75","6","109","10","2","6","California Club","2305","2353","18","250","18","255","NASCAR iRacing Class C Fixed","100","0","109"
"8","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","98262","98262","Gabe Herschel","21","22","0","Running","-04.359","0","","24.760","15.867","9","75","0","102","8","3","19","New Jersey","2095","2142","19","355","19","374","NASCAR iRacing Class C Fixed","100","0","102"
"9","62","NASCAR Camping World Toyota Tundra","71","Camping World Series","331025","331025","Billy Bumgarner","16","4","0","Running","-05.357","0","","24.773","15.804","17","75","0","96","6","2","25","Carolina","2867","2880","19","350","19","373","NASCAR iRacing Class C Fixed","100","0","96"
"10","62","NASCAR Camping World Toyota Tundra","71","Camping World Series","25172","25172","Tyler Packer","18","11","0","Running","-05.604","0","","24.776","15.876","62","75","0","89","4","2","32","West","2485","2501","18","275","19","350","NASCAR iRacing Class C Fixed","100","0","89"
"11","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","33263","33263","Britt Vanmeter","10","21","0","Running","-05.646","0","","24.777","15.672","47","75","4","82","2","3","20","Ohio","2171","2189","20","463","20","458","NASCAR iRacing Class C Fixed","100","0","82"
"12","62","NASCAR Camping World Toyota Tundra","71","Camping World Series","112392","112392","Chris Catalano","13","19","0","Running","-05.875","0","","24.780","15.775","9","75","8","75","0","2","12","New England","2220","2228","14","239","14","247","NASCAR iRacing Class C Fixed","100","0","75"
"13","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","21318","21318","Derek Rouse","14","13","0","Running","-06.099","0","","24.783","15.808","47","75","0","68","0","2","23","Mid-South","2400","2394","20","428","20","444","NASCAR iRacing Class C Fixed","100","0","68"
"14","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","352676","352676","Alexander Krahnke","7","17","0","Running","-06.410","0","","24.787","15.796","9","75","4","61","0","3","28","Michigan","2237","2228","15","355","15","364","NASCAR iRacing Class C Fixed","100","0","61"
"15","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","319069","319069","Dave Hunt2","20","20","0","Running","-08.851","0","","24.820","15.943","18","75","8","54","0","3","6","California Club","2183","2167","18","281","18","269","NASCAR iRacing Class C Fixed","100","0","54"
"16","62","NASCAR Camping World Toyota Tundra","71","Camping World Series","43796","43796","Matt DeLuca","5","12","0","Running","-09.170","0","","24.824","15.998","17","75","8","48","0","2","17","Virginias","2412","2379","19","362","19","345","NASCAR iRacing Class C Fixed","100","0","48"
"17","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","334044","334044","Jesse Cottrell","22","23","0","Running","-1 L","0","","25.165","15.746","62","74","10","41","0","3","17","Virginias","2029","2001","19","358","19","334","NASCAR iRacing Class C Fixed","100","0","41"
"18","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","254228","254228","George Fehrenbacher","17","7","0","Running","-1 L","0","","25.095","15.747","9","74","8","34","0","2","27","Indiana","2668","2610","18","240","18","235","NASCAR iRacing Class C Fixed","100","0","34"
"19","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","98642","98642","Dennis Nicoll","6","6","32","Disconnected","-17 L","0","","25.874","15.717","47","58","16","27","0","2","16","Pennsylvania","2749","2679","17","165","17","130","NASCAR iRacing Class C Fixed","100","0","27"
"20","62","NASCAR Camping World Toyota Tundra","71","Camping World Series","106668","106668","Justin Egan","15","1","32","Disconnected","-65 L","0","","27.605","15.745","9","10","4","20","0","2","25","Carolina","2909","2826","18","217","18","207","NASCAR iRacing Class C Fixed","100","0","20"
"21","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","270795","270795","Matt Wallin","19","15","32","Disconnected","-65 L","0","","27.632","15.853","9","10","4","13","0","2","29","Midwest","2268","2197","17","147","17","139","NASCAR iRacing Class C Fixed","100","0","13"
"22","62","NASCAR Camping World Toyota Tundra","71","Camping World Series","140820","140820","Derek Kraus","4","2","32","Disconnected","-74 L","0","","18.465","","","1","6","6","0","2","29","Midwest","2908","2808","10","254","10","243","NASCAR iRacing Class C Fixed","100","0","6"
"23","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","151338","151338","Christopher Main","23","9","32","Disconnected","-75 L","0","","00.000","","","0","0","0","0","2","25","Carolina","2588","2489","19","321","19","321","NASCAR iRacing Class C Fixed","100","0","0"
