"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field","Special Event Type"
"2019.04.13 8:15 PM GMT","Bristol Motor Speedway","NASCAR iRacing Class C Fixed","2019","2","N/A","5","1613",""

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)","Agg Pts"
"1","62","NASCAR Camping World Toyota Tundra","71","Camping World Series","371232","371232","Mark Blessing","3","4","0","Running","-00.000","35","","27.202","15.374","2","75","4","100","20","3","1","International Club","1811","1898","11","397","12","451","NASCAR iRacing Class C Fixed","100","0","100"
"2","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","285766","285766","Jake Froemke","17","11","0","Running","-00.515","13","","27.209","15.478","2","75","12","95","18","3","29","Midwest","1584","1670","11","343","11","333","NASCAR iRacing Class C Fixed","100","0","95"
"3","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","300623","300623","John Blalock Jr","2","2","0","Running","-00.742","22","","27.212","15.405","2","75","8","90","16","3","23","Mid-South","1887","1952","11","369","11","367","NASCAR iRacing Class C Fixed","100","0","90"
"4","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","316488","316488","Jonathan Cramer","12","20","0","Running","-01.876","0","","27.227","15.838","55","75","8","85","14","5","12","New England","1383","1460","15","330","15","330","NASCAR iRacing Class C Fixed","100","0","85"
"5","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","314225","314225","Alex Manhatten","5","10","0","Running","-02.457","0","","27.235","15.530","3","75","12","80","12","5","19","New Jersey","1626","1682","10","277","10","277","NASCAR iRacing Class C Fixed","100","0","80"
"6","62","NASCAR Camping World Toyota Tundra","71","Camping World Series","181600","181600","Paul Hendrix","14","6","0","Running","-03.752","0","","27.252","15.670","2","75","8","75","10","3","40","Benelux","1775","1815","15","374","15","366","NASCAR iRacing Class C Fixed","100","0","75"
"7","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","332478","332478","Blake Kelley","15","8","0","Running","-04.358","0","","25.658","15.892","5","75","10","70","8","3","23","Mid-South","1666","1701","14","262","14","260","NASCAR iRacing Class C Fixed","100","0","70"
"8","62","NASCAR Camping World Toyota Tundra","71","Camping World Series","234000","234000","Endrigo de Castro","20","16","0","Running","-05.440","0","","27.275","15.826","55","75","6","65","6","4","45","Brazil","1500","1533","19","309","19","310","NASCAR iRacing Class C Fixed","100","0","65"
"9","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","84469","84469","Jonathan N Gomez","1","1","0","Running","-07.432","5","","27.301","15.510","2","75","8","60","4","3","12","New England","1945","1950","11","353","11","356","NASCAR iRacing Class C Fixed","100","0","60"
"10","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","358640","358640","Austin Gaccione2","19","13","29","Disqualified","-2 L","0","","27.307","15.756","3","73","20","55","2","3","12","New England","1522","1535","14","229","14","203","NASCAR iRacing Class C Fixed","100","0","55"
"11","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","77376","77376","Justin Bailey","7","21","29","Disqualified","-2 L","0","","27.330","15.783","3","73","18","50","0","5","18","Atlantic","1368","1379","15","331","15","306","NASCAR iRacing Class C Fixed","100","0","50"
