"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field","Special Event Type"
"2019.04.15 4:15 PM GMT","Bristol Motor Speedway","NASCAR iRacing Class C Fixed","2019","2","N/A","5","2144",""

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)","Agg Pts"
"1","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","83035","83035","Jake Potak","2","2","0","Running","-00.000","38","","27.908","15.442","38","75","0","129","16","2","25","Carolina","3410","3469","19","348","19","371","NASCAR iRacing Class C Fixed","100","0","129"
"2","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","54614","54614","Bryan Narducci","4","3","0","Running","-00.719","31","","27.918","15.509","37","75","4","120","14","1","12","New England","3365","3413","14","275","14","291","NASCAR iRacing Class C Fixed","100","0","120"
"3","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","122460","122460","Gerard Fedak","9","8","0","Running","-01.235","0","","27.925","15.648","37","75","12","112","12","3","21","Georgia","1939","2017","19","340","19","310","NASCAR iRacing Class C Fixed","100","0","112"
"4","62","NASCAR Camping World Toyota Tundra","71","Camping World Series","197648","197648","Kenny Brady","1","1","0","Running","-02.097","6","","27.936","15.442","37","75","4","104","10","1","21","Georgia","4374","4378","18","203","18","220","NASCAR iRacing Class C Fixed","100","0","104"
"5","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","224976","224976","Brandon Milligan","16","6","0","Running","-03.167","0","","27.950","15.711","37","75","14","96","8","3","25","Carolina","2209","2254","14","263","14","246","NASCAR iRacing Class C Fixed","100","0","96"
"6","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","329564","329564","Justin Lewis2","3","14","0","Running","-03.617","0","","27.957","15.552","2","75","0","88","6","3","27","Indiana","1706","1758","18","256","18","284","NASCAR iRacing Class C Fixed","100","0","88"
"7","62","NASCAR Camping World Toyota Tundra","71","Camping World Series","260821","260821","Rachel Hunt","10","4","0","Running","-04.096","0","","27.963","15.569","2","75","6","80","4","2","22","Florida","2972","2971","20","475","20","458","NASCAR iRacing Class C Fixed","100","0","80"
"8","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","292321","292321","Benjamin Miles2","17","11","0","Running","-04.959","0","","27.974","15.734","37","75","8","72","2","4","14","New York","1805","1829","15","393","15","381","NASCAR iRacing Class C Fixed","100","0","72"
"9","62","NASCAR Camping World Toyota Tundra","71","Camping World Series","364158","364158","Kyle Moellering","11","7","0","Running","-05.888","0","","27.987","15.639","37","75","2","64","0","4","32","West","2082","2085","15","392","16","450","NASCAR iRacing Class C Fixed","100","0","64"
"10","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","342866","342866","George DeFelice","13","17","0","Running","-06.867","0","","28.000","15.655","37","75","10","56","0","4","15","Canada","1608","1616","15","382","15","367","NASCAR iRacing Class C Fixed","100","0","56"
"11","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","141154","141154","Gábor Triaska","6","10","0","Running","-07.399","0","","28.007","15.620","2","75","12","48","0","3","46","Central-Eastern Europe","1806","1796","18","232","18","218","NASCAR iRacing Class C Fixed","100","0","48"
"12","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","237818","237818","Steven Grant Caron","8","15","0","Running","-2 L","0","","28.795","15.490","13","73","12","40","0","3","32","West","1699","1681","15","334","15","322","NASCAR iRacing Class C Fixed","100","0","40"
"13","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","92321","92321","Joe Hernandez","12","9","0","Running","-18 L","0","","36.854","15.789","2","57","12","32","0","3","30","Texas","1876","1840","18","275","18","241","NASCAR iRacing Class C Fixed","100","0","32"
"14","62","NASCAR Camping World Toyota Tundra","71","Camping World Series","254929","254929","Brandon Grilley","14","16","32","Disconnected","-27 L","0","","27.354","15.996","13","48","10","24","0","4","31","Great Plains","1617","1579","19","336","19","306","NASCAR iRacing Class C Fixed","100","0","24"
"15","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","256704","256704","Mark Bell2","15","5","32","Disconnected","-34 L","0","","24.717","15.759","37","41","4","16","0","4","18","Atlantic","2358","2283","15","375","15","372","NASCAR iRacing Class C Fixed","100","0","16"
"16","62","NASCAR Camping World Toyota Tundra","71","Camping World Series","210447","210447","Dalton Smith3","5","13","32","Disconnected","-46 L","0","","23.509","15.625","2","29","4","8","0","4","22","Florida","1736","1671","14","245","14","246","NASCAR iRacing Class C Fixed","100","0","8"
"17","62","NASCAR Camping World Toyota Tundra","71","Camping World Series","301190","301190","JR Weidman","7","12","32","Disconnected","-51 L","0","","1:09.462","15.805","2","24","8","4","0","7","25","Carolina","1771","1693","14","221","14","211","NASCAR iRacing Class C Fixed","100","0","4"
