"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field","Special Event Type"
"2019.04.21 10:15 AM GMT","Richmond Raceway","NASCAR iRacing Class C Fixed","2019","2","N/A","6","1688",""

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)","Agg Pts"
"1","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","37921","37921","Tony Repussard","1","1","0","Running","-00.000","48","","32.226","21.896","2","60","0","102","14","1","39","France","5100","5122","20","485","20","499","NASCAR iRacing Class C Fixed","100","0","102"
"2","62","NASCAR Camping World Toyota Tundra","71","Camping World Series","178485","178485","Trevor Haley","5","5","0","Running","-07.183","0","","32.346","22.188","18","60","0","94","12","3","27","Indiana","2210","2272","18","242","18","267","NASCAR iRacing Class C Fixed","100","0","94"
"3","62","NASCAR Camping World Toyota Tundra","71","Camping World Series","185068","185068","Nathan Carter","10","8","0","Running","-15.666","0","","32.487","22.646","35","60","4","87","10","5","17","Virginias","1703","1769","19","309","19","312","NASCAR iRacing Class C Fixed","100","0","87"
"4","62","NASCAR Camping World Toyota Tundra","71","Camping World Series","334451","334451","Gareth Anderson","7","12","0","Running","-22.316","8","","32.590","22.704","33","60","0","80","8","7","34","Australia/NZ","1073","1153","19","331","19","349","NASCAR iRacing Class C Fixed","100","0","80"
"5","62","NASCAR Camping World Toyota Tundra","71","Camping World Series","356357","356357","Xavierr Mamucha","11","13","0","Running","-1 L","0","","32.603","22.247","2","59","8","72","6","R","42","DE-AT-CH","1003","1073","13","105","13","118","NASCAR iRacing Class C Fixed","100","0","72"
"6","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","369838","369838","Lloyd Lovett","14","14","0","Running","-1 L","0","","32.838","22.886","34","59","8","65","4","7","30","Texas","991","1048","18","225","18","216","NASCAR iRacing Class C Fixed","100","0","65"
"7","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","342556","342556","Cale Bowden","15","15","0","Running","-1 L","4","","33.010","22.941","17","59","12","58","2","5","34","Australia/NZ","975","1020","11","342","11","334","NASCAR iRacing Class C Fixed","100","0","58"
"8","62","NASCAR Camping World Toyota Tundra","71","Camping World Series","110974","110974","Nicholas Parker","4","4","0","Running","-2 L","0","","32.012","22.104","2","58","4","51","0","4","6","California Club","2307","2287","19","313","19","313","NASCAR iRacing Class C Fixed","100","0","51"
"9","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","345037","345037","Doug Kinrade","9","10","0","Running","-13 L","0","","41.441","22.272","2","47","0","43","0","5","36","UK and I","1169","1177","14","211","14","230","NASCAR iRacing Class C Fixed","100","0","43"
"10","62","NASCAR Camping World Toyota Tundra","71","Camping World Series","157489","157489","Alex Williams2","13","11","32","Disconnected","-19 L","0","","37.490","22.502","2","41","6","36","0","7","34","Australia/NZ","1098","1097","14","219","14","220","NASCAR iRacing Class C Fixed","100","0","36"
"11","62","NASCAR Camping World Toyota Tundra","71","Camping World Series","331661","331661","Stefan Lobenz","8","9","32","Disconnected","-41 L","0","","39.034","22.268","3","19","8","29","0","6","42","DE-AT-CH","1170","1153","10","246","10","237","NASCAR iRacing Class C Fixed","100","0","29"
"12","62","NASCAR Camping World Toyota Tundra","71","Camping World Series","256046","256046","Borja Zazo","3","2","32","Disconnected","-48 L","0","","36.769","22.498","3","12","12","21","0","2","38","Iberia","2947","2858","15","349","15","317","NASCAR iRacing Class C Fixed","100","0","21"
"13","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","301710","301710","Brien Walters","12","7","32","Disconnected","-50 L","0","","36.658","22.226","2","10","4","14","0","3","30","Texas","1761","1693","11","353","11","345","NASCAR iRacing Class C Fixed","100","0","14"
"14","62","NASCAR Camping World Toyota Tundra","71","Camping World Series","347888","347888","Patrick Orr","6","6","32","Disconnected","-55 L","0","","23.654","22.229","2","5","4","7","0","3","25","Carolina","2084","1991","20","427","20","411","NASCAR iRacing Class C Fixed","100","0","7"
"15","62","NASCAR Camping World Toyota Tundra","71","Camping World Series","371232","371232","Mark Blessing","2","3","32","Disconnected","-57 L","0","","23.307","22.130","2","3","8","3","0","3","1","International Club","2637","2515","15","381","15","353","NASCAR iRacing Class C Fixed","100","0","3"
