"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field","Special Event Type"
"2019.04.21 3:15 PM GMT","Richmond Raceway","NASCAR iRacing Class C Fixed","2019","2","N/A","6","2487",""

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)","Agg Pts"
"1","62","NASCAR Camping World Toyota Tundra","71","Camping World Series","91492","91492","Don Stephenson","2","1","0","Running","-00.000","15","","30.871","21.958","27","60","0","151","19","1","22","Florida","5770","5801","20","464","20","473","NASCAR iRacing Class C Fixed","100","0","151"
"2","62","NASCAR Camping World Toyota Tundra","71","Camping World Series","105232","105232","Jared Turnbull","10","7","0","Running","-01.724","0","","30.900","22.187","51","60","0","143","17","2","15","Canada","2959","3033","19","330","19","344","NASCAR iRacing Class C Fixed","100","0","143"
"3","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","126733","126733","Wade Poole","3","3","0","Running","-02.146","4","","30.907","22.016","7","60","0","135","15","2","15","Canada","4486","4516","19","372","19","389","NASCAR iRacing Class C Fixed","100","0","135"
"4","62","NASCAR Camping World Toyota Tundra","71","Camping World Series","203548","203548","James B Young","8","6","0","Running","-02.318","0","","30.910","22.100","28","60","4","127","13","1","34","Australia/NZ","3127","3177","19","373","19","370","NASCAR iRacing Class C Fixed","100","0","127"
"5","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","344634","344634","Jade Bell","6","12","0","Running","-03.021","0","","30.922","22.280","51","60","6","119","11","3","17","Virginias","2118","2187","18","287","18","278","NASCAR iRacing Class C Fixed","100","0","119"
"6","62","NASCAR Camping World Toyota Tundra","71","Camping World Series","88496","88496","Jason Gargac","16","5","0","Running","-03.031","0","","30.922","22.084","27","60","10","111","9","2","31","Great Plains","3342","3366","17","175","17","159","NASCAR iRacing Class C Fixed","100","0","111"
"7","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","17963","17963","James Barber","5","16","0","Running","-03.818","4","","30.935","22.245","7","60","6","103","7","4","29","Midwest","1782","1842","19","343","19","335","NASCAR iRacing Class C Fixed","100","0","103"
"8","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","94239","94239","Brandon Chubirko","15","4","0","Running","-06.041","4","","30.972","21.976","16","60","14","95","5","1","25","Carolina","3711","3708","17","146","17","124","NASCAR iRacing Class C Fixed","100","0","95"
"9","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","41335","41335","Stephen Evans","13","15","0","Running","-06.567","0","","30.981","22.302","27","60","8","87","3","4","12","New England","1849","1887","19","347","19","327","NASCAR iRacing Class C Fixed","100","0","87"
"10","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","178125","178125","Robert Telfair","9","13","0","Running","-06.715","0","","30.983","22.275","8","60","8","79","1","3","17","Virginias","2015","2037","18","237","18","230","NASCAR iRacing Class C Fixed","100","0","79"
