"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field","Special Event Type"
"2019.03.13 1:00 AM GMT","WeatherTech Raceway at Laguna Seca - Full Course","Radical Racing Challenge C","2019","2","N/A","1","2394",""

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)","Agg Pts"
"1","13","Radical SR8","15","Radical SR8","351001","351001","Mike Cleary","1","3","0","Running","-00.000","19","","1:18.860","1:17.864","14","19","3","142","14","1","12","New England","3865","3921","18","249","18","256","Radical Racing Challenge C","40","0","142"
"2","13","Radical SR8","15","Radical SR8","308605","308605","Erik Luke2","6","9","0","Running","-22.328","0","","1:20.035","1:19.145","4","19","2","131","12","3","22","Florida","2094","2185","19","359","19","360","Radical Racing Challenge C","40","0","131"
"3","13","Radical SR8","15","Radical SR8","141390","141390","Brett Mitchell","5","2","0","Running","-27.152","0","","1:20.289","1:19.120","4","19","2","121","10","1","30","Texas","3970","3998","19","363","19","370","Radical Racing Challenge C","40","0","121"
"4","13","Radical SR8","15","Radical SR8","182312","182312","Chinmai Kristo Punukollu","4","1","0","Running","-35.374","0","","1:20.722","1:19.550","15","19","10","111","8","1","47","Asia","4534","4537","18","268","18","241","Radical Racing Challenge C","40","0","111"
"5","13","Radical SR8","15","Radical SR8","23724","23724","Montxo Gandia","2","5","0","Running","-43.435","0","","1:21.147","1:18.972","17","19","14","101","6","2","38","Iberia","2998","3022","19","354","19","312","Radical Racing Challenge C","40","0","101"
"6","13","Radical SR8","15","Radical SR8","285358","285358","Tyler Frederick","7","7","0","Running","-45.989","0","","1:21.281","1:19.478","4","19","8","91","4","3","12","New England","2220","2254","18","239","18","229","Radical Racing Challenge C","40","0","91"
"7","13","Radical SR8","15","Radical SR8","31474","31474","Bruce Funderburg","8","8","0","Running","-49.479","0","","1:21.464","1:19.856","17","19","5","81","2","3","23","Mid-South","2211","2232","19","337","19","333","Radical Racing Challenge C","40","0","81"
"8","13","Radical SR8","15","Radical SR8","106242","106242","Keith Wheeler","10","11","0","Running","-1:07.649","0","","1:22.420","1:20.352","13","19","3","71","0","3","34","Australia/NZ","2027","2040","18","239","18","247","Radical Racing Challenge C","40","0","71"
"9","13","Radical SR8","15","Radical SR8","277948","277948","Phil Kewitz","14","15","0","Running","-1 L","0","","1:23.882","1:20.275","13","18","8","60","0","4","26","Illinois","1528","1546","10","285","10","285","Radical Racing Challenge C","40","0","60"
"10","13","Radical SR8","15","Radical SR8","293794","293794","Robert Barnes4","9","13","0","Running","-1 L","0","","1:25.346","1:22.794","15","18","5","50","0","3","36","UK and I","1773","1770","19","333","19","327","Radical Racing Challenge C","40","0","50"
"11","13","Radical SR8","15","Radical SR8","258486","258486","Cade Mckee","12","12","32","Disconnected","-8 L","0","","1:24.408","1:22.465","8","11","8","40","0","3","30","Texas","1776","1759","14","240","14","230","Radical Racing Challenge C","40","0","40"
"12","13","Radical SR8","15","Radical SR8","258210","258210","Pablo Delrivo2","3","10","32","Disconnected","-15 L","0","","1:21.408","1:19.631","2","4","3","30","0","3","24","Hispanoamérica","2061","2021","10","292","10","290","Radical Racing Challenge C","40","0","30"
"13","13","Radical SR8","15","Radical SR8","357700","357700","Scott Bedard","13","14","29","Disqualified","-18 L","0","","00.000","","","1","0","20","0","4","14","New York","1600","1563","14","243","14","241","Radical Racing Challenge C","40","0","20"
"14","13","Radical SR8","15","Radical SR8","284384","284384","Rui Coimbra","11","4","32","Disconnected","-19 L","0","","00.000","","","0","3","0","0","1","14","New York","3221","3115","10","206","10","200","Radical Racing Challenge C","40","0","0"
"15","13","Radical SR8","15","Radical SR8","332316","332316","Herminio Cobiella","15","6","32","Disconnected","-19 L","0","","00.000","","","0","0","0","0","2","38","Iberia","2412","2327","16","415","16","415","Radical Racing Challenge C","40","0","0"
