"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field","Special Event Type"
"2019.03.22 9:00 PM GMT","Road Atlanta - Full Course","Radical Racing Challenge C","2019","2","N/A","2","2006",""

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)","Agg Pts"
"1","13","Radical SR8","15","Radical SR8","61947","61947","Audrius Valantiejus","1","1","0","Running","-00.000","17","","1:16.669","1:15.637","10","20","1","121","15","1","46","Central-Eastern Europe","5598","5623","19","362","19","367","Radical Racing Challenge C","40","0","121"
"2","13","Radical SR8","15","Radical SR8","84121","84121","Mick Carr","2","2","0","Running","-06.080","3","","1:16.973","1:15.756","6","20","0","112","13","1","36","UK and I","4191","4223","20","445","20","454","Radical Racing Challenge C","40","0","112"
"3","13","Radical SR8","15","Radical SR8","263054","263054","Paul G Crabb","5","3","0","Running","-11.010","0","","1:17.219","1:15.910","3","20","4","104","11","2","36","UK and I","3365","3400","15","346","15","351","Radical Racing Challenge C","40","0","104"
"4","13","Radical SR8","15","Radical SR8","35627","35627","Johannes Hestermann","3","4","0","Running","-27.381","0","","1:18.038","1:16.865","7","20","0","96","9","2","42","DE-AT-CH","3344","3367","20","444","20","457","Radical Racing Challenge C","40","0","96"
"5","13","Radical SR8","15","Radical SR8","223866","223866","John Morgan3","10","7","0","Running","-41.072","0","","1:18.722","1:17.642","9","20","0","88","7","2","22","Florida","2312","2348","16","495","16","499","Radical Racing Challenge C","40","0","88"
"6","13","Radical SR8","15","Radical SR8","110341","110341","Ben Meredith","4","6","0","Running","-46.825","0","","1:19.010","1:17.502","12","20","2","80","5","3","36","UK and I","2415","2436","19","379","19","383","Radical Racing Challenge C","40","0","80"
"7","13","Radical SR8","15","Radical SR8","173088","173088","James Webb6","7","8","0","Running","-1:02.604","0","","1:18.672","1:17.208","5","20","8","72","3","3","36","UK and I","1998","2019","14","209","14","207","Radical Racing Challenge C","40","0","72"
"8","13","Radical SR8","15","Radical SR8","350141","350141","Steven Espaillat","13","14","0","Running","-1:19.997","0","","1:20.668","1:17.600","18","20","11","64","1","6","14","New York","1266","1301","9","156","9","157","Radical Racing Challenge C","40","0","64"
"9","13","Radical SR8","15","Radical SR8","255361","255361","C. Jackson","6","11","0","Running","-1:40.965","0","","1:20.485","1:17.229","9","20","9","56","0","3","32","West","1555","1566","17","151","17","146","Radical Racing Challenge C","40","0","56"
"10","13","Radical SR8","15","Radical SR8","357700","357700","Scott Bedard","9","10","32","Disconnected","-4 L","0","","1:20.781","1:17.429","11","16","7","48","0","4","14","New York","1741","1734","14","270","14","264","Radical Racing Challenge C","40","0","48"
"11","13","Radical SR8","15","Radical SR8","233806","233806","Derek Macdonald","8","9","32","Disconnected","-8 L","0","","1:21.315","1:17.552","11","12","7","40","0","3","36","UK and I","1955","1928","14","275","14","262","Radical Racing Challenge C","40","0","40"
"12","13","Radical SR8","15","Radical SR8","349959","349959","Lucas Debelder","14","13","32","Disconnected","-8 L","0","","1:24.637","1:19.530","10","12","14","32","0","4","40","Benelux","1495","1472","10","229","10","214","Radical Racing Challenge C","40","0","32"
"13","13","Radical SR8","15","Radical SR8","341596","341596","Sebastiano Sommariva","15","12","0","Running","-8 L","0","","1:28.176","1:20.227","4","12","7","24","0","4","41","Italy","1549","1511","15","340","15","330","Radical Racing Challenge C","40","0","24"
"14","13","Radical SR8","15","Radical SR8","358097","358097","Frank Simmons","16","16","0","Running","-8 L","0","","2:18.497","1:23.776","11","12","8","16","0","10","12","New England","486","484","10","228","10","228","Radical Racing Challenge C","40","0","16"
"15","13","Radical SR8","15","Radical SR8","284384","284384","Rui Coimbra","11","5","32","Disconnected","-17 L","0","","1:24.768","1:21.248","2","3","6","8","0","1","14","New York","2768","2668","10","278","10","264","Radical Racing Challenge C","40","0","8"
"16","13","Radical SR8","15","Radical SR8","330792","330792","Andrew Martin6","12","15","32","Disconnected","-19 L","0","","00.000","","","1","5","4","0","8","21","Georgia","771","729","11","355","11","341","Radical Racing Challenge C","40","0","4"
