"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field","Special Event Type"
"2019.03.27 9:00 PM GMT","Watkins Glen International - Cup","Radical Racing Challenge C","2019","2","N/A","3","987",""

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)","Agg Pts"
"1","13","Radical SR8","15","Radical SR8","281387","281387","Scott Willis2","4","14","0","Running","-00.000","20","","1:09.680","1:08.928","6","22","1","60","14","9","20","Ohio","709","820","18","271","18","283","Radical Racing Challenge C","40","0","60"
"2","13","Radical SR8","15","Radical SR8","174761","174761","James Ellis3","2","1","0","Running","-04.910","1","","1:09.903","1:08.641","14","22","1","55","12","4","16","Pennsylvania","1355","1414","17","146","17","166","Radical Racing Challenge C","40","0","55"
"3","13","Radical SR8","15","Radical SR8","343190","343190","Brian Heider","1","11","0","Running","-08.151","1","","1:10.050","1:09.033","15","22","3","51","10","7","42","DE-AT-CH","929","998","9","158","9","179","Radical Racing Challenge C","40","0","51"
"4","13","Radical SR8","15","Radical SR8","365300","365300","Alex Alguba","12","10","0","Running","-22.735","0","","1:10.713","1:09.682","14","22","1","47","8","5","38","Iberia","954","1008","14","219","14","235","Radical Racing Challenge C","40","0","47"
"5","13","Radical SR8","15","Radical SR8","350141","350141","Steven Espaillat","6","4","0","Running","-36.244","0","","1:11.327","1:09.873","20","22","8","42","6","6","14","New York","1229","1254","9","155","9","162","Radical Racing Challenge C","40","0","42"
"6","13","Radical SR8","15","Radical SR8","36551","36551","Charles Woodward","5","6","0","Running","-38.241","0","","1:11.418","1:10.195","7","22","2","38","4","7","32","West","1132","1149","18","273","18","281","Radical Racing Challenge C","40","0","38"
"7","13","Radical SR8","15","Radical SR8","364754","364754","Andrew Benagh","9","8","0","Running","-1:10.239","0","","1:12.872","1:10.510","5","22","12","34","2","R","12","New England","1009","1020","10","221","10","216","Radical Racing Challenge C","40","0","34"
"8","13","Radical SR8","15","Radical SR8","340211","340211","Scott Gelow","13","13","0","Running","-1 L","0","","1:13.797","1:10.693","6","21","0","30","0","8","6","California Club","788","800","15","370","15","380","Radical Racing Challenge C","40","0","30"
"9","13","Radical SR8","15","Radical SR8","346976","346976","Jari De Brabander","3","2","0","Running","-6 L","0","","1:11.130","1:09.500","5","16","10","25","0","5","40","Benelux","1263","1234","10","254","10","240","Radical Racing Challenge C","40","0","25"
"10","13","Radical SR8","15","Radical SR8","357425","357425","Alex Huber","8","12","32","Disconnected","-10 L","0","","2:05.392","1:11.245","2","12","11","21","0","8","42","DE-AT-CH","832","815","10","222","10","211","Radical Racing Challenge C","40","0","21"
"11","13","Radical SR8","15","Radical SR8","262212","262212","Eugen Tsvetkov","11","5","32","Disconnected","-12 L","0","","1:13.693","1:11.107","7","10","5","17","0","5","46","Central-Eastern Europe","1179","1128","19","369","19","349","Radical Racing Challenge C","40","0","17"
"12","13","Radical SR8","15","Radical SR8","217866","217866","David G Davidson","7","3","29","Disqualified","-20 L","0","","1:20.848","","","2","8","12","0","5","30","Texas","1251","1183","14","253","14","232","Radical Racing Challenge C","40","0","12"
"13","13","Radical SR8","15","Radical SR8","361052","361052","Lars Vidar Løfshus","10","7","32","Disconnected","-22 L","0","","00.000","","","0","0","0","0","8","43","Scandinavia","1044","964","11","342","11","341","Radical Racing Challenge C","40","0","0"
"14","13","Radical SR8","15","Radical SR8","221641","221641","Robert Muchan","14","15","32","Disconnected","-22 L","0","","00.000","","","0","0","0","0","10","34","Australia/NZ","377","340","11","343","11","343","Radical Racing Challenge C","40","0","0"
"15","13","Radical SR8","15","Radical SR8","220356","220356","Luis Toledo","15","9","32","Disconnected","-22 L","0","","00.000","","","0","0","0","0","6","38","Iberia","978","902","14","223","14","223","Radical Racing Challenge C","40","0","0"
