"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field","Special Event Type"
"2019.04.10 7:00 PM GMT","Canadian Tire Motorsports Park","Radical Racing Challenge C","2019","2","N/A","5","1578",""

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)","Agg Pts"
"1","13","Radical SR8","15","Radical SR8","132292","132292","Fernando M Ferreira","2","5","0","Running","-00.000","16","","1:14.323","1:13.157","5","21","2","94","12","7","38","Iberia","1668","1756","19","322","19","321","Radical Racing Challenge C","40","0","94"
"2","13","Radical SR8","15","Radical SR8","283611","283611","Eric Cheradame","5","2","0","Running","-06.585","0","","1:14.637","1:13.648","4","21","0","86","10","2","39","France","2238","2290","18","221","18","238","Radical Racing Challenge C","40","0","86"
"3","13","Radical SR8","15","Radical SR8","358091","358091","Francis Blanco","9","7","0","Running","-21.962","0","","1:15.369","1:14.151","17","21","3","78","8","5","39","France","1520","1584","19","331","19","323","Radical Racing Challenge C","40","0","78"
"4","13","Radical SR8","15","Radical SR8","55222","55222","Joe Bradley","7","11","0","Running","-27.099","0","","1:15.613","1:13.870","5","21","2","70","6","5","36","UK and I","1139","1205","14","209","14","226","Radical Racing Challenge C","40","0","70"
"5","13","Radical SR8","15","Radical SR8","16614","16614","Andy LaRoe","4","6","0","Running","-28.619","0","","1:15.686","1:13.948","16","21","7","62","4","5","14","New York","1521","1554","18","296","18","277","Radical Racing Challenge C","40","0","62"
"6","13","Radical SR8","15","Radical SR8","200618","200618","Patrice Lebrun","8","8","0","Running","-39.872","0","","1:16.221","1:14.512","4","21","0","54","2","5","39","France","1449","1469","20","441","20","453","Radical Racing Challenge C","40","0","54"
"7","13","Radical SR8","15","Radical SR8","339101","339101","Alexander Stumpp","12","13","0","Running","-50.928","0","","1:16.748","1:14.768","18","21","3","47","0","5","42","DE-AT-CH","1036","1061","14","203","14","210","Radical Racing Challenge C","40","0","47"
"8","13","Radical SR8","15","Radical SR8","232014","232014","Marc Veran","6","4","0","Running","-7 L","0","","1:55.875","1:13.515","5","14","5","39","0","3","39","France","1927","1898","13","166","13","169","Radical Racing Challenge C","40","0","39"
"9","13","Radical SR8","15","Radical SR8","349755","349755","Christian Huissoud","3","10","0","Running","-12 L","0","","1:14.752","1:13.629","4","9","4","31","0","4","39","France","1377","1356","10","278","10","275","Radical Racing Challenge C","40","0","31"
"10","13","Radical SR8","15","Radical SR8","120306","120306","Gabor Kaloczi","10","3","32","Disconnected","-13 L","0","","1:17.662","1:15.246","7","8","10","23","0","3","46","Central-Eastern Europe","2230","2160","14","258","14","229","Radical Racing Challenge C","40","0","23"
"11","13","Radical SR8","15","Radical SR8","113894","113894","?ukasz Ry?","1","1","32","Disconnected","-14 L","5","","1:13.989","1:12.575","5","7","2","15","0","3","46","Central-Eastern Europe","2333","2245","10","253","10","249","Radical Racing Challenge C","40","0","15"
"12","13","Radical SR8","15","Radical SR8","343190","343190","Brian Heider","11","12","32","Disconnected","-18 L","0","","1:20.773","1:16.066","2","3","3","7","0","7","42","DE-AT-CH","1131","1076","10","270","10","265","Radical Racing Challenge C","40","0","7"
"13","13","Radical SR8","15","Radical SR8","356429","356429","Roy Maas","13","9","32","Disconnected","-21 L","0","","00.000","","","0","0","0","0","7","40","Benelux","1435","1350","20","448","20","448","Radical Racing Challenge C","40","0","0"
