"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field","Special Event Type"
"2019.04.15 1:00 AM GMT","Canadian Tire Motorsports Park","Radical Racing Challenge C","2019","2","N/A","5","1468",""

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)","Agg Pts"
"1","13","Radical SR8","15","Radical SR8","159155","159155","Rob Crouch","2","2","0","Running","-00.000","21","","1:13.295","1:12.462","16","21","0","90","15","2","34","Australia/NZ","3140","3183","18","221","18","241","Radical Racing Challenge C","40","0","90"
"2","13","Radical SR8","15","Radical SR8","73047","73047","Robert Mason2","1","1","0","Running","-00.680","0","","1:13.328","1:12.496","3","21","1","84","13","1","34","Australia/NZ","3166","3196","16","428","16","434","Radical Racing Challenge C","40","0","84"
"3","13","Radical SR8","15","Radical SR8","136020","136020","Denis Fricher","4","7","0","Running","-34.997","0","","1:14.962","1:13.350","4","21","1","78","11","4","39","France","1608","1670","14","262","14","282","Radical Racing Challenge C","40","0","78"
"4","13","Radical SR8","15","Radical SR8","339537","339537","Nicholas Bradford","3","5","0","Running","-39.052","0","","1:15.155","1:13.262","4","21","6","72","9","3","34","Australia/NZ","1900","1939","15","360","15","352","Radical Racing Challenge C","40","0","72"
"5","13","Radical SR8","15","Radical SR8","270266","270266","Todd Brandt","10","12","0","Running","-49.875","0","","1:15.670","1:14.496","11","21","7","66","7","7","6","California Club","1019","1083","14","250","14","249","Radical Racing Challenge C","40","0","66"
"6","13","Radical SR8","15","Radical SR8","107714","107714","Mike Matreci","15","6","0","Running","-1:13.356","0","","1:16.788","1:14.289","20","21","0","60","5","5","31","Great Plains","1659","1682","11","341","11","356","Radical Racing Challenge C","40","0","60"
"7","13","Radical SR8","15","Radical SR8","280305","280305","Gary Dubia","11","13","0","Running","-1 L","0","","1:17.212","1:14.607","14","20","0","54","3","8","22","Florida","969","1011","10","219","10","242","Radical Racing Challenge C","40","0","54"
"8","13","Radical SR8","15","Radical SR8","106915","106915","Dave Starkweather","14","15","0","Running","-1 L","0","","1:18.699","1:17.223","19","20","0","48","1","7","22","Florida","836","873","18","248","18","266","Radical Racing Challenge C","40","0","48"
"9","13","Radical SR8","15","Radical SR8","351494","351494","Tahaa Shafi","13","14","32","Disconnected","-8 L","0","","1:18.972","1:16.008","11","13","6","42","0","7","19","New Jersey","932","951","14","270","14","262","Radical Racing Challenge C","40","0","42"
"10","13","Radical SR8","15","Radical SR8","185660","185660","M B Dickey2","6","11","0","Running","-8 L","0","","2:06.335","1:14.581","7","13","6","36","0","7","30","Texas","1113","1111","18","255","18","242","Radical Racing Challenge C","40","0","36"
"11","13","Radical SR8","15","Radical SR8","348525","348525","Daniel Drolet2","7","10","32","Disconnected","-11 L","0","","1:17.868","1:13.871","9","10","9","30","0","7","15","Canada","1155","1138","10","268","10","257","Radical Racing Challenge C","40","0","30"
"12","13","Radical SR8","15","Radical SR8","338306","338306","Jeffrey Lewis5","9","3","0","Running","-11 L","0","","2:39.166","1:13.922","10","10","3","24","0","3","18","Atlantic","2274","2202","18","243","18","237","Radical Racing Challenge C","40","0","24"
"13","13","Radical SR8","15","Radical SR8","15644","15644","Joe Walker","12","9","32","Disconnected","-12 L","0","","2:26.243","1:15.084","4","9","6","18","0","4","23","Mid-South","1355","1304","18","264","18","245","Radical Racing Challenge C","40","0","18"
"14","13","Radical SR8","15","Radical SR8","284075","284075","Robert Newberry","8","8","0","Running","-14 L","0","","4:08.033","1:15.070","3","7","3","12","0","4","33","Northwest","1592","1518","18","254","18","247","Radical Racing Challenge C","40","0","12"
"15","13","Radical SR8","15","Radical SR8","116302","116302","Shawn Reid","16","16","32","Disconnected","-15 L","0","","1:21.074","1:15.810","2","6","5","6","0","9","22","Florida","537","507","10","239","10","231","Radical Racing Challenge C","40","0","6"
"16","13","Radical SR8","15","Radical SR8","311058","311058","James Eaglestone","5","4","32","Disconnected","-18 L","0","","1:17.757","1:13.962","2","3","2","3","0","4","36","UK and I","1990","1877","17","154","17","143","Radical Racing Challenge C","40","0","3"
