"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field","Special Event Type"
"2019.04.18 9:00 PM GMT","Brands Hatch Circuit - Grand Prix","Radical Racing Challenge C","2019","2","N/A","6","1514",""

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)","Agg Pts"
"1","13","Radical SR8","15","Radical SR8","316390","316390","Pierrick Gourmand","1","2","0","Running","-00.000","19","","1:20.101","1:19.389","8","19","1","93","18","2","39","France","3884","3917","20","430","20","435","Radical Racing Challenge C","40","0","93"
"2","13","Radical SR8","15","Radical SR8","107016","107016","Stephane Gamblin","12","1","0","Running","-07.684","0","","1:20.505","1:19.243","13","19","10","87","16","1","39","France","4941","4951","19","352","19","317","Radical Racing Challenge C","40","0","87"
"3","13","Radical SR8","15","Radical SR8","339537","339537","Nicholas Bradford","3","5","0","Running","-24.106","0","","1:21.370","1:20.096","7","19","3","82","14","3","34","Australia/NZ","1976","2032","15","344","15","347","Radical Racing Challenge C","40","0","82"
"4","13","Radical SR8","15","Radical SR8","298875","298875","Patrick Zorn","8","4","0","Running","-40.461","0","","1:22.231","1:20.556","5","19","5","77","12","3","42","DE-AT-CH","2063","2106","17","106","17","112","Radical Racing Challenge C","40","0","77"
"5","13","Radical SR8","15","Radical SR8","16522","16522","Brian R Simpson","14","13","0","Running","-52.571","0","","1:22.868","1:20.317","8","19","7","72","10","7","27","Indiana","1096","1167","13","148","13","148","Radical Racing Challenge C","40","0","72"
"6","13","Radical SR8","15","Radical SR8","307148","307148","Eric Williams9","4","10","0","Running","-53.049","0","","1:22.893","1:20.663","11","19","5","67","8","6","20","Ohio","1433","1477","10","270","10","276","Radical Racing Challenge C","40","0","67"
"7","13","Radical SR8","15","Radical SR8","257541","257541","Reggy Hermans","6","6","0","Running","-1:13.156","0","","1:23.951","1:21.729","16","19","3","62","6","5","40","Benelux","1664","1689","11","376","11","379","Radical Racing Challenge C","40","0","62"
"8","13","Radical SR8","15","Radical SR8","357946","357946","Tom O'Gorman","5","3","32","Disconnected","-1 L","0","","1:23.630","1:20.385","9","18","17","56","4","2","20","Ohio","2349","2342","10","233","10","217","Radical Racing Challenge C","40","0","56"
"9","13","Radical SR8","15","Radical SR8","313926","313926","Raul Juarez","11","11","0","Running","-1 L","0","","1:25.135","1:23.334","8","18","1","51","2","6","24","Hispanoamérica","1367","1383","20","443","20","444","Radical Racing Challenge C","40","0","51"
"10","13","Radical SR8","15","Radical SR8","209924","209924","Andrew Kerr3","9","12","0","Running","-1 L","0","","1:25.712","1:22.903","7","18","9","46","0","5","34","Australia/NZ","1158","1173","11","349","11","339","Radical Racing Challenge C","40","0","46"
"11","13","Radical SR8","15","Radical SR8","243456","243456","Barry Waldrom","13","9","0","Running","-1 L","0","","1:26.911","1:23.367","5","18","7","41","0","4","34","Australia/NZ","1497","1487","20","436","20","414","Radical Racing Challenge C","40","0","41"
"12","13","Radical SR8","15","Radical SR8","347539","347539","Daniel Bonawitz","10","15","0","Running","-1 L","0","","1:27.078","1:23.785","12","18","6","36","0","7","16","Pennsylvania","1064","1063","14","241","14","240","Radical Racing Challenge C","40","0","36"
"13","13","Radical SR8","15","Radical SR8","103067","103067","Nuno Fred Nunes","16","16","0","Running","-1 L","0","","1:26.102","1:22.884","5","18","9","31","0","8","38","Iberia","972","966","11","347","11","339","Radical Racing Challenge C","40","0","31"
"14","13","Radical SR8","15","Radical SR8","19661","19661","Julio Cesar Hauer","17","17","0","Running","-2 L","0","","1:22.097","1:21.336","6","17","4","25","0","7","43","Scandinavia","902","889","14","283","14","282","Radical Racing Challenge C","40","0","25"
"15","13","Radical SR8","15","Radical SR8","283565","283565","Marcos Martín","7","8","29","Disqualified","-12 L","0","","2:52.284","1:23.916","7","7","17","20","0","4","38","Iberia","1502","1450","13","116","13","85","Radical Racing Challenge C","40","0","20"
"16","13","Radical SR8","15","Radical SR8","135267","135267","Philipp Wigert","2","7","32","Disconnected","-13 L","0","","1:22.976","1:19.558","3","6","10","15","0","4","42","DE-AT-CH","1596","1530","18","227","17","153","Radical Racing Challenge C","40","0","15"
"17","13","Radical SR8","15","Radical SR8","232976","232976","Chris Manzella2","19","19","32","Disconnected","-17 L","0","","1:30.184","1:24.856","2","2","6","10","0","8","14","New York","642","614","10","215","10","204","Radical Racing Challenge C","40","0","10"
"18","13","Radical SR8","15","Radical SR8","332653","332653","Ivan Martin","18","18","32","Disconnected","-18 L","0","","1:41.861","","","1","5","5","0","7","38","Iberia","921","865","10","257","10","241","Radical Racing Challenge C","40","0","5"
"19","13","Radical SR8","15","Radical SR8","49689","49689","Neil Archbold","15","14","32","Disconnected","-19 L","0","","00.000","","","0","1","0","0","6","36","UK and I","1066","992","11","339","11","337","Radical Racing Challenge C","40","0","0"
