"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field","Special Event Type"
"2019.04.29 9:00 PM GMT","Road America - Full Course","Radical Racing Challenge C","2019","2","N/A","7","2051",""

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)","Agg Pts"
"1","13","Radical SR8","15","Radical SR8","159155","159155","Rob Crouch","1","3","0","Running","-00.000","13","","2:01.302","2:00.303","5","13","0","125","16","2","34","Australia/NZ","3522","3580","20","450","20","464","Radical Racing Challenge C","40","0","125"
"2","13","Radical SR8","15","Radical SR8","220596","220596","Rudolf Nagel","2","2","0","Running","-00.634","0","","2:01.351","2:00.194","10","13","6","117","14","1","42","DE-AT-CH","4358","4388","19","327","19","318","Radical Racing Challenge C","40","0","117"
"3","13","Radical SR8","15","Radical SR8","22485","22485","Will Zoeller","13","5","0","Running","-11.713","0","","2:02.202","2:00.470","10","13","4","109","12","2","19","New Jersey","2957","3004","15","371","15","373","Radical Racing Challenge C","40","0","109"
"4","13","Radical SR8","15","Radical SR8","123764","123764","Anthony Cassels","6","7","0","Running","-20.931","0","","2:02.912","2:01.468","3","13","0","101","10","3","36","UK and I","2379","2430","18","285","19","351","Radical Racing Challenge C","40","0","101"
"5","13","Radical SR8","15","Radical SR8","260994","260994","Matheus T Leist","15","13","0","Running","-23.694","0","","2:03.124","2:01.513","5","13","3","93","8","R","45","Brazil","1346","1420","10","249","10","262","Radical Racing Challenge C","40","0","93"
"6","13","Radical SR8","15","Radical SR8","301917","301917","Niko Arvilommi2","5","4","0","Running","-28.584","0","","2:03.500","2:00.969","6","13","9","85","6","2","44","Finland","3298","3302","18","241","18","229","Radical Racing Challenge C","40","0","85"
"7","13","Radical SR8","15","Radical SR8","308413","308413","Thibaud Van Belle","10","10","0","Running","-55.483","0","","2:05.569","2:02.722","3","13","15","78","4","7","40","Benelux","1853","1885","13","181","13","157","Radical Racing Challenge C","40","0","78"
"8","13","Radical SR8","15","Radical SR8","188168","188168","Szabolcs Prem","9","14","0","Running","-1:02.560","0","","2:06.114","2:04.088","11","13","6","70","2","6","46","Central-Eastern Europe","1241","1284","19","345","19","336","Radical Racing Challenge C","40","0","70"
"9","13","Radical SR8","15","Radical SR8","284339","284339","Olivier Pouteau","14","12","0","Running","-1:16.451","0","","2:04.909","2:03.524","7","13","2","62","0","4","39","France","1457","1480","18","279","18","286","Radical Racing Challenge C","40","0","62"
"10","13","Radical SR8","15","Radical SR8","62573","62573","Thierry Debruge","12","16","0","Running","-1:29.188","0","","2:08.162","2:05.228","6","13","3","54","0","7","39","France","1103","1128","14","262","14","277","Radical Racing Challenge C","40","0","54"
"11","13","Radical SR8","15","Radical SR8","365314","365314","Alexis Tymkow","11","11","0","Running","-1 L","0","","2:04.881","2:03.404","6","12","3","46","0","4","24","Hispanoamérica","1719","1709","11","360","11","364","Radical Racing Challenge C","40","0","46"
"12","13","Radical SR8","15","Radical SR8","188490","188490","Todd Mooney","16","15","0","Running","-2 L","0","","2:06.158","2:02.620","10","11","9","39","0","6","15","Canada","1181","1180","14","219","14","215","Radical Racing Challenge C","40","0","39"
"13","13","Radical SR8","15","Radical SR8","151580","151580","Johannes Ziske","4","8","32","Disconnected","-5 L","0","","2:04.192","2:01.220","3","8","7","31","0","3","42","DE-AT-CH","2352","2299","15","327","15","316","Radical Racing Challenge C","40","0","31"
"14","13","Radical SR8","15","Radical SR8","278203","278203","Russell Davis","17","17","32","Disconnected","-8 L","0","","2:14.830","2:04.454","3","5","10","23","0","9","36","UK and I","624","625","11","326","11","309","Radical Racing Challenge C","40","0","23"
"15","13","Radical SR8","15","Radical SR8","148576","148576","J E Hyde","8","9","0","Running","-9 L","0","","7:49.178","2:05.159","4","4","7","15","0","3","36","UK and I","2166","2095","20","499","20","495","Radical Racing Challenge C","40","0","15"
"16","13","Radical SR8","15","Radical SR8","300058","300058","Artturi Soratie","7","6","0","Running","-12 L","0","","00.000","","","1","6","7","0","1","44","Finland","2869","2767","15","310","14","252","Radical Racing Challenge C","40","0","7"
"17","13","Radical SR8","15","Radical SR8","316390","316390","Pierrick Gourmand","3","1","32","Disconnected","-12 L","0","","00.000","","","1","6","3","0","2","39","France","4777","4626","20","499","20","499","Radical Racing Challenge C","40","0","3"
