"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2018.03.16 6:15 PM GMT","Watkins Glen International - Boot","Advanced Mazda MX-5 Cup Series","2018","2","N/A","1","2033"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","227024","227024","Koldo González Gomez","1","2","0","Running","-00.000","12","","2:11.157","2:10.107","5","12","1","122","14","2","38","Iberia","3075","3136","15","308","15","316","Advanced Mazda MX-5 Cup Series","30","0"
"2","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","248086","248086","Rick Tarvin","2","4","0","Running","-06.872","0","","2:11.730","2:10.605","2","12","3","113","12","2","29","Midwest","2485","2549","18","226","18","231","Advanced Mazda MX-5 Cup Series","30","0"
"3","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","88733","88733","Jose Caballero","3","5","0","Running","-13.313","0","","2:12.266","2:10.164","3","12","7","104","10","3","38","Iberia","2392","2447","10","237","10","238","Advanced Mazda MX-5 Cup Series","30","0"
"4","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","263051","263051","Chase Stempfley","4","12","0","Running","-13.759","0","","2:12.303","2:10.631","2","12","0","95","8","4","20","Ohio","1711","1777","20","436","20","442","Advanced Mazda MX-5 Cup Series","30","0"
"5","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","260286","260286","Jelle Verstraeten2","10","7","0","Running","-17.462","0","","2:12.612","2:10.481","2","12","10","87","6","3","40","Benelux","1909","1954","19","305","18","238","Advanced Mazda MX-5 Cup Series","30","0"
"6","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","251760","251760","Jim Brewster","9","11","0","Running","-25.415","0","","2:13.274","2:11.536","2","12","5","78","4","3","17","Virginias","1745","1783","15","327","15","323","Advanced Mazda MX-5 Cup Series","30","0"
"7","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","236362","236362","Nicklas Gjerulff","7","6","0","Running","-25.643","0","","2:13.294","2:10.805","2","12","0","69","2","4","43","Scandinavia","2027","2041","14","272","14","288","Advanced Mazda MX-5 Cup Series","30","0"
"8","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","301109","301109","Daniel Jerez Juan","12","9","0","Running","-31.583","0","","2:13.788","2:11.734","2","12","0","61","0","3","38","Iberia","1791","1800","11","333","11","345","Advanced Mazda MX-5 Cup Series","30","0"
"9","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","302873","302873","David Adamson2","8","8","0","Running","-35.386","0","","2:14.105","2:10.628","2","12","7","52","0","3","36","UK and I","1822","1818","11","314","11","313","Advanced Mazda MX-5 Cup Series","30","0"
"10","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","210841","210841","Ray Lenning","13","14","0","Running","-42.838","0","","2:14.726","2:12.863","5","12","2","43","0","4","23","Mid-South","1550","1543","18","231","18","236","Advanced Mazda MX-5 Cup Series","30","0"
"11","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","310956","310956","Marc Gurri Sacristan","14","13","0","Running","-1:06.418","0","","2:16.691","2:13.942","11","12","0","34","0","4","38","Iberia","1565","1544","11","351","11","362","Advanced Mazda MX-5 Cup Series","30","0"
"12","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","140973","140973","Marcelo Zanatta","15","3","0","Running","-3 L","0","","2:15.556","2:13.666","7","9","6","26","0","2","45","Brazil","2745","2670","19","346","19","328","Advanced Mazda MX-5 Cup Series","30","0"
"13","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","246680","246680","Jan Schumacher2","6","15","32","Disconnected","-6 L","0","","2:13.205","2:10.651","2","6","10","17","0","4","42","DE-AT-CH","1540","1493","10","260","10","244","Advanced Mazda MX-5 Cup Series","30","0"
"14","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","260841","260841","Andrew Love","11","10","0","Running","-9 L","0","","2:31.513","","","3","8","8","0","4","17","Virginias","1763","1694","14","280","14","255","Advanced Mazda MX-5 Cup Series","30","0"
"15","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","257804","257804","Adrian Chaves Chacon","5","1","0","Running","-10 L","0","","2:22.910","","","2","4","4","0","2","38","Iberia","3294","3165","18","256","18","238","Advanced Mazda MX-5 Cup Series","30","0"
