"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2018.03.21 6:15 PM GMT","Donington Park Racing Circuit - National","Advanced Mazda MX-5 Cup Series","2018","2","N/A","2","1736"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","177156","177156","Frank Giesler2","2","1","0","Running","-00.000","18","","1:19.446","1:18.552","5","19","12","108","21","1","42","DE-AT-CH","6915","6928","19","333","19","301","Advanced Mazda MX-5 Cup Series","30","0"
"2","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","263462","263462","Pelayo Lastra Garcia","3","9","0","Running","-19.959","0","","1:20.496","1:19.438","3","19","13","102","19","3","38","Iberia","1864","1947","10","284","10","269","Advanced Mazda MX-5 Cup Series","30","0"
"3","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","100310","100310","Yoeri Flossie","5","4","0","Running","-20.340","0","","1:20.469","1:19.119","2","19","9","97","17","1","40","Benelux","3876","3903","18","232","18","217","Advanced Mazda MX-5 Cup Series","30","0"
"4","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","277531","277531","Felipe Calderon","1","2","0","Running","-22.699","0","","1:20.102","1:18.397","6","19","9","92","15","1","24","Hispanoamérica","4310","4322","17","155","17","144","Advanced Mazda MX-5 Cup Series","30","0"
"5","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","281504","281504","Alexandros Hadjivarnava","11","8","0","Running","-33.684","0","","1:21.218","1:19.679","2","19","6","87","13","3","47","Asia","2114","2162","11","394","11","391","Advanced Mazda MX-5 Cup Series","30","0"
"6","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","159101","159101","Tim Martens2","6","10","0","Running","-35.010","0","","1:21.286","1:19.221","2","19","7","82","11","4","40","Benelux","1683","1735","11","355","11","350","Advanced Mazda MX-5 Cup Series","30","0"
"7","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","60841","60841","Giuseppe Cantore","18","5","0","Running","-43.231","0","","1:21.720","1:18.971","2","19","9","77","9","2","41","Italy","3015","3022","14","273","14","260","Advanced Mazda MX-5 Cup Series","30","0"
"8","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","291252","291252","Jörg Baumgarth","13","17","0","Running","-45.167","0","","1:21.835","1:20.429","16","19","2","72","7","7","42","DE-AT-CH","1137","1192","10","221","10","236","Advanced Mazda MX-5 Cup Series","30","0"
"9","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","251760","251760","Jim Brewster","12","11","0","Running","-48.432","0","","1:21.994","1:20.655","13","19","6","66","5","3","17","Virginias","1570","1599","15","333","15","329","Advanced Mazda MX-5 Cup Series","30","0"
"10","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","221607","221607","Jonathan Staples","20","14","0","Running","-53.894","0","","1:22.281","1:20.719","4","19","6","61","3","5","36","UK and I","1401","1427","14","245","14","244","Advanced Mazda MX-5 Cup Series","30","0"
"11","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","236362","236362","Nicklas Gjerulff","7","7","0","Running","-57.033","0","","1:22.447","1:20.131","3","19","13","56","1","4","43","Scandinavia","2138","2131","15","333","15","311","Advanced Mazda MX-5 Cup Series","30","0"
"12","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","261676","261676","Sebastian Calmaestra","15","13","0","Running","-57.492","0","","1:22.471","1:20.363","5","19","13","51","0","5","38","Iberia","1414","1422","10","218","10","214","Advanced Mazda MX-5 Cup Series","30","0"
"13","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","313690","313690","Atabey Sulku","21","15","0","Running","-1:16.732","0","","1:23.483","1:21.105","8","19","4","46","0","6","1","International Club","1399","1398","11","346","11","350","Advanced Mazda MX-5 Cup Series","30","0"
"14","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","187743","187743","Olivier Debauches3","17","21","0","Running","-1:23.650","0","","1:23.848","1:22.046","13","19","4","41","0","9","39","France","586","616","14","231","14","240","Advanced Mazda MX-5 Cup Series","30","0"
