"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2018.04.02 8:15 PM GMT","Circuit Park Zandvoort - Grand Prix","Advanced Mazda MX-5 Cup Series","2018","2","N/A","3","1887"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","125395","125395","Marcello Pagnan","1","1","0","Running","-00.000","14","","1:54.753","1:53.598","2","14","0","118","25","1","41","Italy","7352","7364","19","375","19","387","Advanced Mazda MX-5 Cup Series","30","0"
"2","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","256474","256474","Roberto Ferrari","2","5","0","Running","-07.303","0","","1:55.274","1:53.881","2","14","1","113","23","2","41","Italy","3503","3551","20","459","20","464","Advanced Mazda MX-5 Cup Series","30","0"
"3","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","162013","162013","Andries Fourie","5","3","0","Running","-08.285","0","","1:55.344","1:53.515","2","14","10","108","21","1","1","International Club","3975","4007","14","210","14","205","Advanced Mazda MX-5 Cup Series","30","0"
"4","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","82224","82224","Jean-François  Penot","4","7","0","Running","-08.468","0","","1:55.357","1:53.529","2","14","6","103","19","2","39","France","3288","3325","15","326","15","324","Advanced Mazda MX-5 Cup Series","30","0"
"5","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","272454","272454","Dino Filippa","3","2","0","Running","-20.812","0","","1:55.308","1:54.538","3","14","15","99","17","1","24","Hispanoamérica","4793","4798","13","124","13","113","Advanced Mazda MX-5 Cup Series","30","0"
"6","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","90641","90641","Jay Bart Cornelisse","10","11","0","Running","-35.218","0","","1:57.268","1:55.033","5","14","12","94","15","3","40","Benelux","1946","2003","14","249","14","233","Advanced Mazda MX-5 Cup Series","30","0"
"7","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","306173","306173","Nikko De Bellis2","12","13","0","Running","-35.765","0","","1:57.307","1:55.591","5","14","7","89","13","4","15","Canada","1746","1802","10","244","10","246","Advanced Mazda MX-5 Cup Series","30","0"
"8","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","264569","264569","Vladimir Yurkin","11","17","0","Running","-36.195","0","","1:57.337","1:55.455","3","14","9","84","11","4","46","Central-Eastern Europe","1509","1566","14","228","14","223","Advanced Mazda MX-5 Cup Series","30","0"
"9","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","110530","110530","Matthew Oake","14","8","0","Running","-41.910","0","","1:57.745","1:55.197","2","14","5","80","9","3","15","Canada","2419","2439","19","321","19","316","Advanced Mazda MX-5 Cup Series","30","0"
"10","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","295683","295683","Jeremy Richey","23","12","0","Running","-50.704","0","","1:58.373","1:55.504","2","14","9","75","7","4","30","Texas","1793","1824","18","266","18","243","Advanced Mazda MX-5 Cup Series","30","0"
"11","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","309330","309330","Alexandre Giry","15","20","0","Running","-51.378","0","","1:58.422","1:56.768","2","14","13","70","5","4","39","France","1271","1314","11","343","11","329","Advanced Mazda MX-5 Cup Series","30","0"
"12","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","278745","278745","Laurent Raymaekers","24","18","0","Running","-54.838","0","","1:58.668","1:55.914","6","14","5","66","3","5","40","Benelux","1468","1496","19","337","19","329","Advanced Mazda MX-5 Cup Series","30","0"
"13","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","281157","281157","Ran Tzioni","17","16","0","Running","-55.367","0","","1:58.706","1:56.351","6","14","13","61","1","3","1","International Club","1549","1566","11","309","11","301","Advanced Mazda MX-5 Cup Series","30","0"
"14","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","171331","171331","Ian Newman","18","22","0","Running","-58.367","0","","1:58.921","1:56.507","2","14","12","56","0","6","36","UK and I","1078","1107","14","242","14","228","Advanced Mazda MX-5 Cup Series","30","0"
"15","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","91123","91123","Baldwin Gerits","19","21","0","Running","-1:02.737","0","","1:59.233","1:57.115","3","14","4","51","0","6","40","Benelux","1245","1259","10","267","10","276","Advanced Mazda MX-5 Cup Series","30","0"
"16","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","200271","200271","Robert Carey2","26","26","0","Running","-1:04.915","0","","1:59.388","1:57.542","4","14","0","47","0","8","22","Florida","734","765","18","223","18","243","Advanced Mazda MX-5 Cup Series","30","0"
"17","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","202344","202344","Manel Segret","25","24","0","Running","-1:25.419","0","","2:00.852","1:57.826","4","14","4","42","0","7","38","Iberia","950","962","18","248","18","249","Advanced Mazda MX-5 Cup Series","30","0"
"18","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","216812","216812","Siscu Perez","21","19","0","Running","-1:34.289","0","","2:01.486","1:58.537","12","14","7","37","0","6","38","Iberia","1340","1328","16","411","16","403","Advanced Mazda MX-5 Cup Series","30","0"
"19","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","210487","210487","Janis Balodis","20","23","0","Running","-1:45.983","0","","2:02.322","1:59.233","5","14","4","33","0","6","36","UK and I","1063","1055","10","272","10","280","Advanced Mazda MX-5 Cup Series","30","0"
"20","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","23852","23852","Teemu Pohja","8","10","0","Running","-4 L","0","","1:58.976","1:55.743","5","10","13","28","0","3","44","Finland","1950","1900","14","288","14","253","Advanced Mazda MX-5 Cup Series","30","0"
"21","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","266188","266188","Daniel Ariel Muñoz","16","14","29","Disqualified","-5 L","0","","1:58.961","1:56.559","3","9","20","23","0","3","24","Hispanoamérica","1599","1554","10","222","9","161","Advanced Mazda MX-5 Cup Series","30","0"
"22","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","275094","275094","Richard Warmingham","6","4","32","Disconnected","-5 L","0","","1:56.774","1:54.568","2","9","7","18","0","1","36","UK and I","3506","3402","19","350","19","327","Advanced Mazda MX-5 Cup Series","30","0"
"23","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","218631","218631","Lionel Gerber","13","15","29","Disqualified","-6 L","0","","1:59.293","1:55.736","2","8","18","14","0","4","39","France","1572","1512","18","227","17","135","Advanced Mazda MX-5 Cup Series","30","0"
"24","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","69281","69281","jim Wadham","22","25","32","Disconnected","-8 L","0","","2:03.580","1:58.965","4","6","7","9","0","8","34","Australia/NZ","775","744","14","281","14","263","Advanced Mazda MX-5 Cup Series","30","0"
"25","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","26823","26823","Carl Modoff","7","6","32","Disconnected","-8 L","0","","1:57.720","1:54.994","2","6","6","4","0","1","32","West","3335","3212","14","267","14","253","Advanced Mazda MX-5 Cup Series","30","0"
"26","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","266830","266830","Simone Modica","9","9","32","Disconnected","-9 L","0","","1:58.064","1:54.842","2","5","11","2","0","3","41","Italy","1966","1870","19","358","19","316","Advanced Mazda MX-5 Cup Series","30","0"
