"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2018.05.08 4:15 PM GMT","Nürburgring Grand-Prix-Strecke - BES/WEC","Advanced Mazda MX-5 Cup Series","2018","2","N/A","9","1696"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","275395","275395","Imanol Azurmendi","1","5","0","Running","-00.000","11","","2:18.842","2:17.829","3","11","1","105","21","2","38","Iberia","2642","2707","14","264","14","279","Advanced Mazda MX-5 Cup Series","30","0"
"2","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","303165","303165","Mark Hellerich2","3","7","0","Running","-10.844","0","","2:19.827","2:18.005","2","11","14","100","19","3","42","DE-AT-CH","2358","2422","11","342","11","326","Advanced Mazda MX-5 Cup Series","30","0"
"3","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","194225","194225","Loic Guillardeau","4","4","0","Running","-13.017","0","","2:20.025","2:17.990","3","11","16","95","17","2","39","France","2790","2833","19","320","18","236","Advanced Mazda MX-5 Cup Series","30","0"
"4","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","100310","100310","Yoeri Flossie","20","1","0","Running","-18.532","0","","2:20.525","2:18.841","5","11","6","90","15","1","40","Benelux","3511","3529","19","319","19","309","Advanced Mazda MX-5 Cup Series","30","0"
"5","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","255695","255695","Ivan Montoya","6","2","0","Running","-19.546","0","","2:20.618","2:19.401","3","11","6","85","13","2","38","Iberia","3228","3243","19","313","19","303","Advanced Mazda MX-5 Cup Series","30","0"
"6","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","264741","264741","Jesus Menendez","9","3","0","Running","-19.884","0","","2:20.649","2:20.839","4","11","17","80","11","2","38","Iberia","3174","3181","20","439","19","342","Advanced Mazda MX-5 Cup Series","30","0"
"7","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","259287","259287","Francisco Diaz","2","6","0","Running","-26.413","0","","2:21.243","2:18.568","2","11","13","75","9","3","38","Iberia","2403","2421","15","340","15","317","Advanced Mazda MX-5 Cup Series","30","0"
"8","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","272309","272309","Tomasz Kordowicz","5","16","0","Running","-26.907","0","","2:21.287","2:19.131","6","11","10","70","7","6","42","DE-AT-CH","1263","1313","10","241","10","238","Advanced Mazda MX-5 Cup Series","30","0"
"9","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","319243","319243","Francisco Martin","10","18","0","Running","-42.818","0","","2:22.733","2:20.181","4","11","3","65","5","5","38","Iberia","1142","1188","15","307","15","312","Advanced Mazda MX-5 Cup Series","30","0"
"10","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","321660","321660","Francisco Jorge de la Fuente Merino","8","12","0","Running","-43.288","0","","2:22.776","2:19.716","3","11","16","60","3","4","38","Iberia","1676","1690","11","332","11","315","Advanced Mazda MX-5 Cup Series","30","0"
