"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2018.02.09 1:00 AM GMT","Mazda Raceway Laguna Seca - Full Course","Dallara Dash","2018","1","N/A","9","1154"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","29","Indycar Dallara circa 2011","26","Dallara IndyCar","185386","185386","Alex Bosl","1","77","0","Running","-00.000","10","","1:15.806","1:13.176","6","10","13","0","0","0","29","Midwest","1134","1134","19","398","19","398","Dallara Dash","100","0"
"2","29","Indycar Dallara circa 2011","26","Dallara IndyCar","262698","262698","Derek M Smith","8","66","0","Running","-22.581","0","","1:18.063","1:13.462","3","10","10","0","0","0","16","Pennsylvania","1366","1366","6","269","6","269","Dallara Dash","100","0"
"3","29","Indycar Dallara circa 2011","26","Dallara IndyCar","299204","299204","Jacqueline Crawford","15","11","0","Running","-1 L","0","","1:25.528","1:22.756","7","9","27","0","0","0","31","Great Plains","522","522","10","267","10","267","Dallara Dash","100","0"
"4","29","Indycar Dallara circa 2011","26","Dallara IndyCar","295800","295800","Riley Hayes","10","6","0","Running","-1 L","0","","1:26.308","1:18.207","7","9","18","0","0","0","34","Australia/NZ","","","2","250","2","250","Dallara Dash","100","0"
"5","29","Indycar Dallara circa 2011","26","Dallara IndyCar","103188","103188","Gergely Pataki","2","13","0","Running","-1 L","0","","1:14.155","1:13.393","6","9","12","0","0","0","46","Central-Eastern Europe","1542","1542","7","342","7","342","Dallara Dash","100","0"
"6","29","Indycar Dallara circa 2011","26","Dallara IndyCar","295478","295478","Bruce Robinson2","6","3","0","Running","-1 L","0","","1:31.452","1:28.740","5","9","13","0","0","0","20","Ohio","","","2","250","2","250","Dallara Dash","100","0"
"7","29","Indycar Dallara circa 2011","26","Dallara IndyCar","312131","312131","Steve Sylvester","11","8","32","Disconnected","-2 L","0","","1:21.227","1:15.754","3","8","15","0","0","0","6","California Club","","","2","250","2","250","Dallara Dash","100","0"
"8","29","Indycar Dallara circa 2011","26","Dallara IndyCar","293224","293224","Ben Lee","5","14","0","Running","-2 L","0","","1:26.092","1:17.167","7","8","15","0","0","0","34","Australia/NZ","","","2","262","2","262","Dallara Dash","100","0"
"9","29","Indycar Dallara circa 2011","26","Dallara IndyCar","310487","310487","Michael Tokar","12","410","0","Running","-2 L","0","","1:25.173","1:21.205","5","8","8","0","0","0","25","Carolina","1250","1250","11","370","11","370","Dallara Dash","100","0"
"10","29","Indycar Dallara circa 2011","26","Dallara IndyCar","305114","305114","David Martínez3","3","1","0","Running","-4 L","0","","1:36.004","","","6","20","0","0","0","38","Iberia","1432","1432","6","242","6","242","Dallara Dash","100","0"
"11","29","Indycar Dallara circa 2011","26","Dallara IndyCar","311138","311138","Mark Evans5","14","10","32","Disconnected","-7 L","0","","1:25.172","1:21.317","3","3","8","0","0","0","23","Mid-South","629","629","6","223","6","223","Dallara Dash","100","0"
"12","29","Indycar Dallara circa 2011","26","Dallara IndyCar","47245","47245","Robert Lacovara","4","5","32","Disconnected","-10 L","0","","00.000","","","0","4","0","0","0","16","Pennsylvania","958","958","20","445","20","445","Dallara Dash","100","0"
"13","29","Indycar Dallara circa 2011","26","Dallara IndyCar","301243","301243","Charlie Baier","7","7","32","Disconnected","-10 L","0","","00.000","","","0","8","0","0","0","26","Illinois","1654","1654","8","460","8","460","Dallara Dash","100","0"
"14","29","Indycar Dallara circa 2011","26","Dallara IndyCar","309263","309263","Landon Ferrier","13","47","32","Disconnected","-10 L","0","","00.000","","","0","5","0","0","0","27","Indiana","","","1","132","1","132","Dallara Dash","100","0"
"15","29","Indycar Dallara circa 2011","26","Dallara IndyCar","303481","303481","Dylan Ondek","9","4","32","Disconnected","-10 L","0","","00.000","","","0","6","0","0","0","16","Pennsylvania","","","2","250","2","250","Dallara Dash","100","0"
"16","29","Indycar Dallara circa 2011","26","Dallara IndyCar","300355","300355","Tyler Bowman4","16","2","32","Disconnected","-10 L","0","","00.000","","","0","0","0","0","0","16","Pennsylvania","1234","1234","6","274","6","274","Dallara Dash","100","0"
"17","29","Indycar Dallara circa 2011","26","Dallara IndyCar","309178","309178","Ivan Knebl","17","9","32","Disconnected","-10 L","0","","00.000","","","0","0","0","0","0","45","Brazil","992","992","6","252","6","252","Dallara Dash","100","0"
