"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field","Special Event Type"
"2019.03.19 2:15 AM GMT","Martinsville Speedway","NASCAR iRacing Class C Fixed","2019","2","N/A","2","4066",""

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)","Agg Pts"
"1","62","NASCAR Camping World Toyota Tundra","71","Camping World Series","15877","15877","Bob Bryant","3","5","0","Running","-00.000","42","","30.289","20.420","33","70","0","242","22","1","23","Mid-South","5874","5937","19","347","19","369","NASCAR iRacing Class C Fixed","100","0","242"
"2","62","NASCAR Camping World Toyota Tundra","71","Camping World Series","194770","194770","Garrett Manes","4","1","0","Running","-00.477","0","","30.296","20.510","33","70","8","231","20","1","17","Virginias","8353","8371","20","499","20","492","NASCAR iRacing Class C Fixed","100","0","231"
"3","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","234124","234124","Jake Watson","18","2","0","Running","-00.894","0","","30.302","20.696","35","70","8","220","18","1","15","Canada","6942","6970","15","362","15","355","NASCAR iRacing Class C Fixed","100","0","220"
"4","62","NASCAR Camping World Toyota Tundra","71","Camping World Series","65874","65874","William Byron Jr","5","10","0","Running","-01.513","0","","30.311","20.844","35","70","8","209","16","1","25","Carolina","4201","4273","18","247","18","242","NASCAR iRacing Class C Fixed","100","0","209"
"5","62","NASCAR Camping World Toyota Tundra","71","Camping World Series","62761","62761","Riley Halverson II","1","9","0","Running","-01.971","23","","30.318","20.560","33","70","4","198","14","1","25","Carolina","4236","4299","18","296","19","344","NASCAR iRacing Class C Fixed","100","0","198"
"6","62","NASCAR Camping World Toyota Tundra","71","Camping World Series","259594","259594","Cor Heim","6","21","0","Running","-02.705","0","","30.328","20.872","33","70","12","187","12","2","21","Georgia","2909","2995","15","338","15","324","NASCAR iRacing Class C Fixed","100","0","187"
"7","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","111238","111238","Dalton Collins","7","7","0","Running","-03.078","0","","30.333","20.709","34","70","0","176","10","1","23","Mid-South","5601","5618","18","251","18","280","NASCAR iRacing Class C Fixed","100","0","176"
"8","62","NASCAR Camping World Toyota Tundra","71","Camping World Series","64155","64155","Jason Hogan","14","17","0","Running","-03.674","0","","30.342","20.926","34","70","8","165","8","2","21","Georgia","3332","3390","14","229","14","236","NASCAR iRacing Class C Fixed","100","0","165"
"9","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","93193","93193","Gonzalo Torres","21","15","0","Running","-04.026","0","","30.347","20.894","34","70","8","154","6","1","32","West","3555","3599","19","328","19","316","NASCAR iRacing Class C Fixed","100","0","154"
"10","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","264810","264810","Kevin Dyck2","12","16","0","Running","-04.820","0","","30.358","21.021","35","70","0","143","4","2","15","Canada","3348","3388","19","360","19","381","NASCAR iRacing Class C Fixed","100","0","143"
