"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field","Special Event Type"
"2019.03.26 10:15 PM GMT","Rockingham Speedway - Oval","NASCAR iRacing Class C Fixed","2019","2","N/A","3","1777",""

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)","Agg Pts"
"1","62","NASCAR Camping World Toyota Tundra","71","Camping World Series","251859","251859","Matthew Bruce","8","3","0","Running","-00.000","41","","33.295","23.605","10","50","0","109","19","3","26","Illinois","1984","2070","10","291","11","349","NASCAR iRacing Class C Fixed","100","0","109"
"2","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","366126","366126","Scott R Taylor","2","9","0","Running","-05.225","0","","33.399","23.712","24","50","4","103","17","3","28","Michigan","1790","1874","11","349","11","355","NASCAR iRacing Class C Fixed","100","0","103"
"3","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","364721","364721","Alec Baker","7","19","0","Running","-05.671","0","","33.408","23.787","11","50","0","97","15","4","28","Michigan","1572","1655","10","292","11","353","NASCAR iRacing Class C Fixed","100","0","97"
"4","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","339022","339022","Zach Timchak","5","4","0","Running","-07.306","0","","33.038","23.834","10","50","0","91","13","5","16","Pennsylvania","1909","1968","19","358","19","370","NASCAR iRacing Class C Fixed","100","0","91"
"5","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","326609","326609","Joseph Lowe","1","1","0","Running","-07.722","9","","33.449","23.725","2","50","0","86","11","3","25","Carolina","2052","2096","14","268","14","290","NASCAR iRacing Class C Fixed","100","0","86"
"6","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","71695","71695","Jeffrey Belk","6","13","0","Running","-09.119","0","","33.477","23.661","11","50","4","80","9","5","25","Carolina","1737","1783","19","310","19","310","NASCAR iRacing Class C Fixed","100","0","80"
"7","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","352333","352333","Albin Buechel","10","8","0","Running","-11.387","0","","33.522","23.865","10","50","2","74","7","7","22","Florida","1793","1827","14","250","14","265","NASCAR iRacing Class C Fixed","100","0","74"
"8","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","166073","166073","Travis Heath","18","17","0","Running","-11.852","0","","33.531","24.183","24","50","0","68","5","3","26","Illinois","1653","1683","20","453","20","464","NASCAR iRacing Class C Fixed","100","0","68"
"9","62","NASCAR Camping World Toyota Tundra","71","Camping World Series","364531","364531","Derek Storch","12","20","0","Running","-2 L","0","","35.172","24.257","10","48","12","63","3","4","31","Great Plains","1562","1585","10","274","10","265","NASCAR iRacing Class C Fixed","100","0","63"
"10","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","332113","332113","Steve Schmidt","17","12","32","Disconnected","-4 L","0","","34.424","23.886","3","46","2","57","1","3","16","Pennsylvania","1752","1757","18","247","18","257","NASCAR iRacing Class C Fixed","100","0","57"
