"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field","Special Event Type"
"2019.04.04 3:15 AM GMT","Texas Motor Speedway - Oval","NASCAR iRacing Class C Fixed","2019","2","N/A","4","3052",""

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)","Agg Pts"
"1","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","90649","90649","Collin Fern","3","2","0","Running","-00.000","23","","50.598","30.948","27","40","0","184","20","1","14","New York","4598","4657","19","323","19","335","NASCAR iRacing Class C Fixed","100","0","184"
"2","62","NASCAR Camping World Toyota Tundra","71","Camping World Series","101616","101616","Nicholas Goertzen","1","1","0","Running","-00.234","17","","50.604","30.984","2","40","0","174","18","2","15","Canada","5227","5264","20","470","20","479","NASCAR iRacing Class C Fixed","100","0","174"
"3","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","51675","51675","Luis Irizarry II","6","6","0","Running","-00.484","0","","50.610","31.090","40","40","0","165","16","1","25","Carolina","3597","3660","15","321","15","334","NASCAR iRacing Class C Fixed","100","0","165"
"4","62","NASCAR Camping World Toyota Tundra","71","Camping World Series","309091","309091","Phillip Resh","10","9","0","Running","-00.743","0","","50.616","31.131","27","40","0","156","14","2","25","Carolina","3374","3433","18","243","18","258","NASCAR iRacing Class C Fixed","100","0","156"
"5","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","148380","148380","Travis Everette","16","3","0","Running","-00.939","0","","50.621","31.188","40","40","0","147","12","1","25","Carolina","4144","4175","18","222","18","235","NASCAR iRacing Class C Fixed","100","0","147"
"6","62","NASCAR Camping World Toyota Tundra","71","Camping World Series","231066","231066","Braden Graham","17","7","0","Running","-01.082","0","","50.624","31.045","27","40","3","138","10","1","16","Pennsylvania","3553","3589","20","416","20","413","NASCAR iRacing Class C Fixed","100","0","138"
"7","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","266870","266870","Scott Abraham2","11","10","0","Running","-01.083","0","","50.625","31.299","40","40","1","128","8","2","23","Mid-South","3136","3173","11","372","11","381","NASCAR iRacing Class C Fixed","100","0","128"
"8","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","155536","155536","David Gervais","15","12","0","Running","-01.626","0","","50.638","31.119","27","40","4","119","6","2","23","Mid-South","2904","2938","20","499","20","482","NASCAR iRacing Class C Fixed","100","0","119"
"9","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","273464","273464","Kyle Snyder","20","21","0","Running","-02.071","0","","50.649","31.342","3","40","5","110","4","3","29","Midwest","2201","2247","20","466","20","448","NASCAR iRacing Class C Fixed","100","0","110"
"10","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","39985","39985","Anthony English","19","19","0","Running","-06.506","0","","50.696","31.544","27","40","4","101","2","2","16","Pennsylvania","2246","2281","18","249","18","248","NASCAR iRacing Class C Fixed","100","0","101"
"11","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","343546","343546","Jon Paul Cassada","12","20","0","Running","-07.180","0","","50.777","31.209","27","40","4","92","0","3","17","Virginias","2233","2259","19","301","19","300","NASCAR iRacing Class C Fixed","100","0","92"
"12","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","82116","82116","Nathan Little","7","13","0","Running","-1 L","0","","51.963","31.155","3","39","4","82","0","2","23","Mid-South","2741","2742","14","202","14","209","NASCAR iRacing Class C Fixed","100","0","82"
"13","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","128770","128770","Timmy L Pacchioli","4","8","0","Running","-1 L","0","","52.022","32.304","39","39","8","73","0","1","16","Pennsylvania","3379","3353","18","260","18","240","NASCAR iRacing Class C Fixed","100","0","73"
"14","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","29755","29755","Randall Robertson","8","5","0","Running","-4 L","0","","47.677","31.136","2","36","4","64","0","1","23","Mid-South","3791","3745","19","351","19","343","NASCAR iRacing Class C Fixed","100","0","64"
"15","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","344572","344572","Nate S Stewart","9","18","0","Running","-5 L","0","","57.983","31.288","5","35","6","55","0","2","23","Mid-South","2270","2258","18","244","18","234","NASCAR iRacing Class C Fixed","100","0","55"
"16","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","173844","173844","Gary Peck2","13","15","32","Disconnected","-12 L","0","","45.211","31.272","3","28","5","46","0","2","22","Florida","2663","2629","20","402","19","347","NASCAR iRacing Class C Fixed","100","0","46"
"17","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","130107","130107","Jeff J. Wright","14","4","32","Disconnected","-19 L","0","","40.886","31.640","5","21","8","36","0","1","31","Great Plains","3732","3659","18","274","18","242","NASCAR iRacing Class C Fixed","100","0","36"
"18","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","227224","227224","Raymond Hrdina","5","16","0","Running","-19 L","0","","40.886","33.475","11","21","8","27","0","3","33","Northwest","2618","2566","19","343","19","314","NASCAR iRacing Class C Fixed","100","0","27"
"19","62","NASCAR Camping World Toyota Tundra","71","Camping World Series","242725","242725","Marcelo Fernandes","2","17","32","Disconnected","-20 L","0","","40.878","31.077","3","20","9","18","0","3","45","Brazil","2496","2439","14","275","14","252","NASCAR iRacing Class C Fixed","100","0","18"
"20","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","34729","34729","Stevie Minson","18","11","0","Running","-40 L","0","","00.000","","","0","0","0","0","2","17","Virginias","3002","2916","15","322","15","322","NASCAR iRacing Class C Fixed","100","0","0"
"21","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","214080","214080","Daniel Scott2","21","14","32","Disconnected","-40 L","0","","00.000","","","0","0","0","0","2","22","Florida","2736","2658","10","240","10","240","NASCAR iRacing Class C Fixed","100","0","0"
