"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field","Special Event Type"
"2019.04.12 5:15 PM GMT","Bristol Motor Speedway","NASCAR iRacing Class C Fixed","2019","2","N/A","5","1931",""

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)","Agg Pts"
"1","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","270352","270352","Chad J Frankenfield","2","1","0","Running","-00.000","57","","21.317","15.418","2","75","0","115","13","2","16","Pennsylvania","3332","3384","17","197","18","288","NASCAR iRacing Class C Fixed","100","0","115"
"2","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","81103","81103","Jay Jones","9","2","0","Running","-00.065","0","","21.318","15.663","3","75","0","106","11","2","25","Carolina","3186","3227","19","348","19","370","NASCAR iRacing Class C Fixed","100","0","106"
"3","62","NASCAR Camping World Toyota Tundra","71","Camping World Series","27345","27345","Corey Lewis","3","7","0","Running","-03.747","0","","21.367","15.571","2","75","8","97","9","5","16","Pennsylvania","1725","1797","18","273","18","261","NASCAR iRacing Class C Fixed","100","0","97"
"4","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","312817","312817","Juan Benitez2","1","3","0","Running","-04.230","18","","21.374","15.461","2","75","0","88","7","3","17","Virginias","2625","2652","19","378","20","442","NASCAR iRacing Class C Fixed","100","0","88"
"5","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","364539","364539","Jonathan Warren3","10","8","0","Running","-09.765","0","","21.448","15.624","36","75","6","79","5","4","17","Virginias","1668","1714","14","239","14","252","NASCAR iRacing Class C Fixed","100","0","79"
"6","62","NASCAR Camping World Toyota Tundra","71","Camping World Series","53449","53449","Christian Volgmann","12","10","0","Running","-09.956","0","","21.450","15.761","25","75","2","70","3","4","42","DE-AT-CH","1570","1605","18","252","18","273","NASCAR iRacing Class C Fixed","100","0","70"
"7","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","325557","325557","Donald Jacobs","11","9","0","Running","-12.243","0","","21.481","15.820","3","75","0","61","1","3","16","Pennsylvania","1628","1647","10","259","10","293","NASCAR iRacing Class C Fixed","100","0","61"
"8","62","NASCAR Camping World Toyota Tundra","71","Camping World Series","343048","343048","Chandler Hamby","8","6","0","Running","-2 L","0","","22.120","15.784","23","73","14","53","0","4","25","Carolina","1775","1774","10","297","10","282","NASCAR iRacing Class C Fixed","100","0","53"
"9","62","NASCAR Camping World Toyota Tundra","71","Camping World Series","367381","367381","Sheldon Swindell","13","12","0","Running","-3 L","0","","21.203","15.775","20","72","8","44","0","4","32","West","1480","1477","11","347","11","347","NASCAR iRacing Class C Fixed","100","0","44"
"10","62","NASCAR Camping World Toyota Tundra","71","Camping World Series","45754","45754","Kyle J. Genske","4","5","29","Disqualified","-11 L","0","","22.187","15.517","2","64","18","35","0","2","29","Midwest","2324","2276","14","258","14","226","NASCAR iRacing Class C Fixed","100","0","35"
"11","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","315534","315534","Will Rhodarmer","6","4","32","Disconnected","-66 L","0","","29.203","15.785","3","9","6","26","0","3","25","Carolina","2354","2291","18","293","18","255","NASCAR iRacing Class C Fixed","100","0","26"
"12","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","289352","289352","David Upcraft","5","13","32","Disconnected","-71 L","0","","16.729","15.819","3","4","4","17","0","5","14","New York","1471","1426","18","253","18","238","NASCAR iRacing Class C Fixed","100","0","17"
"13","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","364524","364524","John Erik Weiss","7","14","32","Disconnected","-71 L","0","","17.106","16.091","3","4","4","8","0","5","45","Brazil","1445","1387","11","369","11","361","NASCAR iRacing Class C Fixed","100","0","8"
"14","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","198762","198762","Steven Herzberg3","14","11","32","Disconnected","-75 L","0","","00.000","","","0","0","0","0","3","28","Michigan","1470","1396","18","228","18","228","NASCAR iRacing Class C Fixed","100","0","0"
