"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field","Special Event Type"
"2019.04.20 3:15 AM GMT","Richmond Raceway","NASCAR iRacing Class C Fixed","2019","2","N/A","6","1043",""

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)","Agg Pts"
"1","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","188500","188500","Adam Jacoby","4","2","0","Running","-00.000","5","","32.804","22.138","28","60","0","65","18","4","16","Pennsylvania","1293","1372","15","342","15","360","NASCAR iRacing Class C Fixed","100","0","65"
"2","62","NASCAR Camping World Toyota Tundra","71","Camping World Series","353925","353925","Dylan Lee4","3","12","0","Running","-00.460","1","","32.811","22.346","27","60","0","61","16","5","30","Texas","1067","1148","14","236","14","263","NASCAR iRacing Class C Fixed","100","0","61"
"3","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","369466","369466","Hank Castin","9","8","0","Running","-03.990","0","","33.034","22.508","27","60","0","57","14","6","20","Ohio","1222","1285","11","364","11","382","NASCAR iRacing Class C Fixed","100","0","57"
"4","62","NASCAR Camping World Toyota Tundra","71","Camping World Series","106578","106578","Brian Paul2","5","9","0","Running","-05.232","23","","32.891","22.251","29","60","2","54","12","5","12","New England","1187","1241","14","255","14","274","NASCAR iRacing Class C Fixed","100","0","54"
"5","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","250181","250181","Emory Allen","7","10","0","Running","-05.328","16","","32.892","22.318","28","60","0","50","10","5","25","Carolina","1183","1227","17","154","17","190","NASCAR iRacing Class C Fixed","100","0","50"
"6","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","253917","253917","Michael Crowell","17","15","0","Running","-07.140","0","","32.923","22.980","36","60","8","46","8","7","23","Mid-South","982","1026","18","212","18","202","NASCAR iRacing Class C Fixed","100","0","46"
"7","62","NASCAR Camping World Toyota Tundra","71","Camping World Series","59609","59609","Kerry Stofel","10","3","0","Running","-08.561","0","","32.946","22.763","7","60","6","43","6","4","23","Mid-South","1288","1305","14","282","14","277","NASCAR iRacing Class C Fixed","100","0","43"
"8","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","365575","365575","Tessie Moundros","2","11","0","Running","-09.928","1","","32.969","22.110","7","60","6","39","4","5","22","Florida","1079","1097","15","354","15","352","NASCAR iRacing Class C Fixed","100","0","39"
"9","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","39648","39648","Clint Woolbright","16","7","0","Running","-34.067","0","","33.730","22.550","7","60","0","36","2","7","25","Carolina","1246","1245","15","368","15","386","NASCAR iRacing Class C Fixed","100","0","36"
"10","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","61452","61452","Timothy Barker","11","1","0","Running","-2 L","0","","33.042","23.104","34","58","8","32","0","5","23","Mid-South","1312","1298","11","397","11","390","NASCAR iRacing Class C Fixed","100","0","32"
"11","62","NASCAR Camping World Toyota Tundra","71","Camping World Series","320866","320866","Charles Latrell","8","13","32","Disconnected","-4 L","0","","33.050","23.172","28","56","8","28","0","8","32","West","1059","1047","19","338","19","323","NASCAR iRacing Class C Fixed","100","0","28"
"12","62","NASCAR Camping World Toyota Tundra","71","Camping World Series","134342","134342","Ricardo Guzman","6","4","0","Running","-4 L","0","","33.900","22.597","34","56","2","25","0","6","24","Hispanoamérica","1278","1244","18","249","18","263","NASCAR iRacing Class C Fixed","100","0","25"
"13","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","157951","157951","Mike D Marshall","12","14","0","Running","-9 L","0","","38.681","22.746","23","51","6","21","0","7","15","Canada","993","964","14","257","14","259","NASCAR iRacing Class C Fixed","100","0","21"
"14","62","NASCAR Camping World Toyota Tundra","71","Camping World Series","351287","351287","Josh S Collins","15","16","32","Disconnected","-29 L","0","","41.755","22.856","7","31","8","18","0","9","23","Mid-South","899","865","15","338","15","324","NASCAR iRacing Class C Fixed","100","0","18"
"15","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","274738","274738","Chris Webb2","1","6","32","Disconnected","-39 L","14","","42.909","22.187","8","21","4","14","0","5","32","West","1259","1195","19","328","19","319","NASCAR iRacing Class C Fixed","100","0","14"
"16","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","142920","142920","Lawrence Pollock","19","18","32","Disconnected","-43 L","0","","41.887","23.399","7","17","0","10","0","8","20","Ohio","501","477","20","440","20","444","NASCAR iRacing Class C Fixed","100","0","10"
"17","62","NASCAR Camping World Toyota Tundra","71","Camping World Series","249369","249369","Daniel Savoie","13","19","32","Disconnected","-44 L","0","","2:02.368","24.586","13","16","6","7","0","10","15","Canada","359","338","10","234","10","230","NASCAR iRacing Class C Fixed","100","0","7"
"18","62","NASCAR Camping World Toyota Tundra","71","Camping World Series","326338","326338","Devin Joseph","14","5","32","Disconnected","-60 L","0","","00.000","","","0","0","0","0","9","15","Canada","1264","1164","15","355","15","346","NASCAR iRacing Class C Fixed","100","0","0"
"19","63","NASCAR Camping World Chevrolet Silverado","71","Camping World Series","334123","334123","Raymond Garcia","18","17","32","Disconnected","-60 L","0","","00.000","","","0","0","0","0","7","6","California Club","674","607","18","217","18","215","NASCAR iRacing Class C Fixed","100","0","0"
