"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2018.02.21 8:15 PM GMT","Iowa Speedway - Oval","IndyCar Series - Oval - Fixed","2018","1","N/A","11","1303"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","57","Dallara DW12","63","Dallara DW12","197617","197617","Robert Dick2","15","4","0","Running","-00.000","40","","27.019","17.048","96","115","0","81","21","4","36","UK and I","1597","1678","15","377","16","454","IndyCar Series - Oval - Fixed","100","0"
"2","57","Dallara DW12","63","Dallara DW12","263761","263761","Dave Walsh","1","1","0","Running","-00.810","29","","27.027","16.948","39","115","0","77","19","4","36","UK and I","1827","1890","15","370","15","398","IndyCar Series - Oval - Fixed","100","0"
"3","57","Dallara DW12","63","Dallara DW12","186525","186525","Karel MatuŠKa","18","12","0","Running","-01.137","0","","27.029","17.083","110","115","0","73","17","4","46","Central-Eastern Europe","1441","1511","19","322","19","356","IndyCar Series - Oval - Fixed","100","0"
"4","57","Dallara DW12","63","Dallara DW12","223719","223719","Ilmir Zinnatullin","10","20","0","Running","-01.975","12","","27.037","17.040","64","115","1","69","15","7","46","Central-Eastern Europe","849","941","13","196","14","298","IndyCar Series - Oval - Fixed","100","0"
"5","57","Dallara DW12","63","Dallara DW12","163100","163100","Ivano Spigariol","13","19","0","Running","-08.874","0","","27.097","17.209","68","115","0","65","13","6","41","Italy","872","954","14","277","15","367","IndyCar Series - Oval - Fixed","100","0"
"6","57","Dallara DW12","63","Dallara DW12","92358","92358","Jean-Marc Drevon","11","2","0","Running","-2 L","0","","27.500","17.085","104","113","4","61","11","5","39","France","1695","1727","8","466","8","485","IndyCar Series - Oval - Fixed","100","0"
"7","57","Dallara DW12","63","Dallara DW12","298727","298727","Mark Gibson3","2","8","0","Running","-2 L","0","","27.563","17.113","6","113","4","57","9","5","36","UK and I","1486","1517","16","499","16","499","IndyCar Series - Oval - Fixed","100","0"
"8","57","Dallara DW12","63","Dallara DW12","239647","239647","Adam Piszczek","17","7","0","Running","-3 L","0","","27.814","17.121","10","112","4","54","7","7","39","France","1516","1537","14","282","15","354","IndyCar Series - Oval - Fixed","100","0"
"9","57","Dallara DW12","63","Dallara DW12","175882","175882","Jay Davis4","20","16","0","Running","-5 L","0","","28.372","18.166","76","110","0","50","5","6","31","Great Plains","1275","1298","19","323","19","355","IndyCar Series - Oval - Fixed","100","0"
"10","57","Dallara DW12","63","Dallara DW12","247682","247682","Joshua Baird","5","14","32","Disconnected","-21 L","0","","29.539","17.038","6","94","10","46","3","4","29","Midwest","1407","1415","18","223","18","225","IndyCar Series - Oval - Fixed","100","0"
"11","57","Dallara DW12","63","Dallara DW12","219797","219797","Nick Ketchum","3","9","32","Disconnected","-69 L","34","","32.499","17.118","10","46","4","42","1","4","22","Florida","1468","1465","15","361","15","361","IndyCar Series - Oval - Fixed","100","0"
"12","57","Dallara DW12","63","Dallara DW12","233281","233281","Kevin Bello","21","21","29","Disqualified","-83 L","0","","36.082","17.478","8","32","4","38","0","8","39","France","731","758","14","241","14","243","IndyCar Series - Oval - Fixed","100","0"
"13","57","Dallara DW12","63","Dallara DW12","63000","63000","Chris D Gordon","9","18","32","Disconnected","-87 L","0","","33.946","17.102","11","28","4","34","0","7","17","Virginias","1204","1195","14","257","14","254","IndyCar Series - Oval - Fixed","100","0"
"14","57","Dallara DW12","63","Dallara DW12","293818","293818","Tony Althoff","4","5","32","Disconnected","-87 L","0","","34.005","17.082","3","28","4","30","0","6","27","Indiana","1538","1505","19","338","19","327","IndyCar Series - Oval - Fixed","100","0"
"15","57","Dallara DW12","63","Dallara DW12","262732","262732","Jochen Scho2","7","10","32","Disconnected","-87 L","0","","33.955","17.053","2","28","8","27","0","7","42","DE-AT-CH","1461","1422","19","363","19","331","IndyCar Series - Oval - Fixed","100","0"
"16","57","Dallara DW12","63","Dallara DW12","227416","227416","Andrew Hemsley","14","11","0","Running","-87 L","0","","34.165","17.104","10","28","10","23","0","4","36","UK and I","1444","1397","16","455","16","426","IndyCar Series - Oval - Fixed","100","0"
"17","57","Dallara DW12","63","Dallara DW12","268519","268519","Leo Lazcano","19","15","32","Disconnected","-87 L","0","","34.225","17.494","7","28","4","19","0","4","24","Hispanoamérica","1397","1343","14","257","14","256","IndyCar Series - Oval - Fixed","100","0"
"18","57","Dallara DW12","63","Dallara DW12","272729","272729","Nick Bates","6","13","32","Disconnected","-87 L","0","","33.938","17.027","6","28","4","15","0","4","31","Great Plains","1420","1355","10","297","10","295","IndyCar Series - Oval - Fixed","100","0"
