"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2017.12.26 6:45 PM GMT","Donington Park Racing Circuit - National","iRacing Formula Renault 2.0","2018","1","N/A","3","1770"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","74","Formula Renault 2.0","81","Formula Renault 2.0","219696","219696","Josh Thompson","1","1","0","Running","-00.000","30","","1:02.320","1:01.544","28","30","9","110","22","1","36","UK and I","4739","4769","18","243","18","235","iRacing Formula Renault 2.0","100","0"
"2","74","Formula Renault 2.0","81","Formula Renault 2.0","180169","180169","Stuart McPhaden","6","6","0","Running","-40.451","0","","1:03.668","1:02.408","17","30","5","105","20","3","36","UK and I","2144","2219","14","287","14","294","iRacing Formula Renault 2.0","100","0"
"3","74","Formula Renault 2.0","81","Formula Renault 2.0","257183","257183","Steffen Herrmann","2","2","0","Running","-43.230","0","","1:03.761","1:02.213","25","30","8","100","18","1","42","DE-AT-CH","3655","3684","18","232","18","231","iRacing Formula Renault 2.0","100","0"
"4","74","Formula Renault 2.0","81","Formula Renault 2.0","176250","176250","Richard Hearn","4","10","0","Running","-45.117","0","","1:03.824","1:02.664","12","30","3","95","16","2","32","West","2125","2183","18","216","18","233","iRacing Formula Renault 2.0","100","0"
"5","74","Formula Renault 2.0","81","Formula Renault 2.0","30696","30696","Patrick Wartenberg","7","3","0","Running","-45.661","0","","1:03.842","1:02.738","11","30","1","90","14","1","40","Benelux","3425","3441","20","453","20","462","iRacing Formula Renault 2.0","100","0"
"6","74","Formula Renault 2.0","81","Formula Renault 2.0","62957","62957","David Roberts2","5","13","0","Running","-51.406","0","","1:04.033","1:03.195","25","30","2","85","12","3","36","UK and I","1717","1771","15","339","15","354","iRacing Formula Renault 2.0","100","0"
"7","74","Formula Renault 2.0","81","Formula Renault 2.0","226642","226642","Sasha Varga","8","4","0","Running","-54.844","0","","1:04.148","1:02.813","16","30","8","80","10","2","46","Central-Eastern Europe","3230","3233","18","243","18","238","iRacing Formula Renault 2.0","100","0"
"8","74","Formula Renault 2.0","81","Formula Renault 2.0","200241","200241","Cris Higgs","3","11","0","Running","-1 L","0","","1:04.649","1:02.643","18","29","11","75","8","4","36","UK and I","1827","1860","15","354","15","335","iRacing Formula Renault 2.0","100","0"
"9","74","Formula Renault 2.0","81","Formula Renault 2.0","88481","88481","Gerard Cabrera","13","9","0","Running","-1 L","0","","1:04.697","1:02.858","16","29","12","70","6","3","38","Iberia","2157","2170","18","254","18","226","iRacing Formula Renault 2.0","100","0"
"10","74","Formula Renault 2.0","81","Formula Renault 2.0","267433","267433","Johannes Wellhöfer","9","7","0","Running","-1 L","0","","1:05.648","1:03.132","27","29","8","65","4","2","42","DE-AT-CH","2177","2181","18","208","18","210","iRacing Formula Renault 2.0","100","0"
"11","74","Formula Renault 2.0","81","Formula Renault 2.0","32749","32749","Marcos Silveira2","15","14","0","Running","-1 L","0","","1:06.442","1:04.696","22","29","9","60","2","4","45","Brazil","1635","1649","19","316","19","305","iRacing Formula Renault 2.0","100","0"
"12","74","Formula Renault 2.0","81","Formula Renault 2.0","241435","241435","Paul Parashak","17","19","0","Running","-2 L","0","","1:07.344","1:05.074","28","28","9","55","0","5","23","Mid-South","1109","1136","10","220","10","231","iRacing Formula Renault 2.0","100","0"
"13","74","Formula Renault 2.0","81","Formula Renault 2.0","299080","299080","Carlos Alvarez Diaz","12","20","0","Running","-2 L","0","","1:08.870","1:03.841","18","28","15","50","0","6","38","Iberia","1050","1071","11","325","11","317","iRacing Formula Renault 2.0","100","0"
"14","74","Formula Renault 2.0","81","Formula Renault 2.0","255225","255225","Israel Marín","23","17","0","Running","-3 L","0","","1:09.585","1:03.840","23","27","12","45","0","5","38","Iberia","1451","1447","14","229","14","222","iRacing Formula Renault 2.0","100","0"
"15","74","Formula Renault 2.0","81","Formula Renault 2.0","181192","181192","Adam Weso?ek","10","12","0","Running","-3 L","0","","1:11.352","1:04.733","13","27","14","40","0","4","46","Central-Eastern Europe","1738","1714","17","142","17","122","iRacing Formula Renault 2.0","100","0"
"16","74","Formula Renault 2.0","81","Formula Renault 2.0","302639","302639","Thomas Noll","14","18","0","Running","-4 L","0","","1:09.605","1:06.140","25","26","11","35","0","5","42","DE-AT-CH","1289","1274","11","349","11","340","iRacing Formula Renault 2.0","100","0"
"17","74","Formula Renault 2.0","81","Formula Renault 2.0","217368","217368","Francois Désormeaux","21","22","0","Running","-5 L","0","","1:14.786","1:09.828","22","25","8","30","0","9","15","Canada","621","631","14","263","14","259","iRacing Formula Renault 2.0","100","0"
"18","74","Formula Renault 2.0","81","Formula Renault 2.0","230667","230667","Daniel Perry","22","8","0","Running","-11 L","0","","1:06.939","1:05.155","15","19","16","25","0","3","36","UK and I","2166","2102","14","284","14","230","iRacing Formula Renault 2.0","100","0"
"19","74","Formula Renault 2.0","81","Formula Renault 2.0","237281","237281","Oscar Quiroga","18","23","32","Disconnected","-18 L","0","","1:10.235","1:06.009","10","12","10","20","0","7","38","Iberia","490","491","10","204","9","161","iRacing Formula Renault 2.0","100","0"
