"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2018.01.01 10:45 PM GMT","Donington Park Racing Circuit - National","iRacing Formula Renault 2.0","2018","1","N/A","3","2499"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","74","Formula Renault 2.0","81","Formula Renault 2.0","257789","257789","Eneric Andre","1","1","0","Running","-00.000","12","","1:02.695","1:01.693","6","30","9","147","13","1","39","France","5017","5054","18","232","18","225","iRacing Formula Renault 2.0","100","0"
"2","74","Formula Renault 2.0","81","Formula Renault 2.0","157958","157958","Frank Rask","6","3","0","Running","-04.380","0","","1:02.841","1:01.954","20","30","3","135","11","1","43","Scandinavia","3587","3638","20","425","20","427","iRacing Formula Renault 2.0","100","0"
"3","74","Formula Renault 2.0","81","Formula Renault 2.0","228722","228722","Manuel Heuer","2","2","0","Running","-09.001","12","","1:02.995","1:01.627","26","30","7","124","9","1","42","DE-AT-CH","3647","3682","14","278","14","281","iRacing Formula Renault 2.0","100","0"
"4","74","Formula Renault 2.0","81","Formula Renault 2.0","222992","222992","Miguel Invernon de Julian","4","8","0","Running","-10.307","0","","1:03.038","1:02.229","15","30","2","113","7","3","38","Iberia","2310","2368","17","108","17","145","iRacing Formula Renault 2.0","100","0"
"5","74","Formula Renault 2.0","81","Formula Renault 2.0","291945","291945","Raphael Silva","3","5","0","Running","-24.599","6","","1:03.515","1:01.820","25","30","14","101","5","2","45","Brazil","2984","3007","10","262","10","258","iRacing Formula Renault 2.0","100","0"
"6","74","Formula Renault 2.0","81","Formula Renault 2.0","81185","81185","Nicolas Guarino","14","14","0","Running","-43.508","0","","1:04.145","1:02.911","29","30","5","90","3","4","24","Hispanoamérica","1731","1779","10","281","10","295","iRacing Formula Renault 2.0","100","0"
"7","74","Formula Renault 2.0","81","Formula Renault 2.0","159911","159911","Binesh Lad","10","10","0","Running","-54.336","0","","1:04.506","1:03.058","18","30","7","79","1","3","36","UK and I","1867","1896","14","260","14","267","iRacing Formula Renault 2.0","100","0"
"8","74","Formula Renault 2.0","81","Formula Renault 2.0","250093","250093","Jeremy Monchablon","13","13","0","Running","-1:05.031","0","","1:04.862","1:03.728","24","30","3","67","0","4","39","France","1746","1765","18","241","18","259","iRacing Formula Renault 2.0","100","0"
"9","74","Formula Renault 2.0","81","Formula Renault 2.0","289937","289937","Joao Miranda2","5","6","0","Running","-1 L","0","","1:05.278","1:03.262","7","29","14","56","0","3","38","Iberia","2814","2786","14","244","14","233","iRacing Formula Renault 2.0","100","0"
"10","74","Formula Renault 2.0","81","Formula Renault 2.0","67395","67395","Nikolay Andreev","7","7","0","Running","-2 L","0","","1:08.536","1:02.090","13","28","4","45","0","2","46","Central-Eastern Europe","2666","2628","11","393","12","445","iRacing Formula Renault 2.0","100","0"
"11","74","Formula Renault 2.0","81","Formula Renault 2.0","224623","224623","Leonard O Cheri","8","9","29","Disqualified","-6 L","0","","1:07.824","1:02.549","11","24","17","33","0","3","43","Scandinavia","2075","2041","13","142","13","126","iRacing Formula Renault 2.0","100","0"
"12","74","Formula Renault 2.0","81","Formula Renault 2.0","260379","260379","Kevin Fennell","9","11","32","Disconnected","-11 L","0","","1:04.028","1:02.753","3","19","3","22","0","3","30","Texas","1808","1770","13","181","13","189","iRacing Formula Renault 2.0","100","0"
"13","74","Formula Renault 2.0","81","Formula Renault 2.0","78460","78460","Adam Delmont","11","12","32","Disconnected","-17 L","0","","1:06.240","1:03.574","7","13","14","11","0","4","36","UK and I","1797","1745","10","260","10","240","iRacing Formula Renault 2.0","100","0"
"14","74","Formula Renault 2.0","81","Formula Renault 2.0","61403","61403","Nico Rondet","12","4","32","Disconnected","-18 L","0","","1:05.758","1:03.945","11","12","9","5","0","2","6","California Club","3222","3112","19","376","19","339","iRacing Formula Renault 2.0","100","0"
