"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2018.01.05 10:45 PM GMT","Silverstone Circuit - Historical Grand Prix","iRacing Formula Renault 2.0","2018","1","N/A","4","2370"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","74","Formula Renault 2.0","81","Formula Renault 2.0","222992","222992","Miguel Invernon de Julian","2","7","0","Running","-00.000","8","","1:37.353","1:36.514","2","15","0","142","16","3","38","Iberia","2508","2598","18","258","18","282","iRacing Formula Renault 2.0","100","0"
"2","74","Formula Renault 2.0","81","Formula Renault 2.0","296546","296546","Ricardo Verdasca","3","5","0","Running","-01.223","0","","1:37.435","1:36.442","14","15","0","133","14","2","38","Iberia","2636","2710","20","441","20","455","iRacing Formula Renault 2.0","100","0"
"3","74","Formula Renault 2.0","81","Formula Renault 2.0","224623","224623","Leonard O Cheri","8","13","0","Running","-04.078","0","","1:37.625","1:36.299","12","15","1","124","12","3","43","Scandinavia","1921","2007","13","127","13","164","iRacing Formula Renault 2.0","100","0"
"4","74","Formula Renault 2.0","81","Formula Renault 2.0","220691","220691","Gerard Ocariz","5","6","0","Running","-04.836","0","","1:37.675","1:36.652","15","15","1","115","10","2","38","Iberia","2531","2585","15","377","15","390","iRacing Formula Renault 2.0","100","0"
"5","74","Formula Renault 2.0","81","Formula Renault 2.0","102791","102791","Charlie Summers","1","1","0","Running","-05.865","7","","1:37.744","1:35.817","15","15","1","106","8","1","36","UK and I","5150","5135","17","120","17","152","iRacing Formula Renault 2.0","100","0"
"6","74","Formula Renault 2.0","81","Formula Renault 2.0","267032","267032","Antonio Ortiz Poveda","10","2","0","Running","-11.129","0","","1:38.095","1:36.614","9","15","4","97","6","2","38","Iberia","3195","3207","11","372","11","378","iRacing Formula Renault 2.0","100","0"
"7","74","Formula Renault 2.0","81","Formula Renault 2.0","37166","37166","Tom Depke","6","9","0","Running","-11.563","0","","1:38.124","1:36.946","9","15","0","88","4","2","29","Midwest","2447","2469","18","233","18","257","iRacing Formula Renault 2.0","100","0"
"8","74","Formula Renault 2.0","81","Formula Renault 2.0","220596","220596","Rudolf Nagel","4","3","0","Running","-11.586","0","","1:38.126","1:36.770","2","15","3","79","2","2","42","DE-AT-CH","3113","3105","17","166","17","189","iRacing Formula Renault 2.0","100","0"
"9","74","Formula Renault 2.0","81","Formula Renault 2.0","227024","227024","Koldo González Gomez","9","4","0","Running","-27.615","0","","1:39.194","1:37.654","12","15","3","71","0","2","38","Iberia","3011","2994","18","287","18","291","iRacing Formula Renault 2.0","100","0"
"10","74","Formula Renault 2.0","81","Formula Renault 2.0","110012","110012","Mario Pesce","11","10","0","Running","-34.096","0","","1:39.626","1:37.783","9","15","4","62","0","3","41","Italy","2148","2145","19","357","19","355","iRacing Formula Renault 2.0","100","0"
"11","74","Formula Renault 2.0","81","Formula Renault 2.0","217489","217489","Florian Decker","7","8","0","Running","-40.085","0","","1:40.025","1:37.558","8","15","6","53","0","2","42","DE-AT-CH","2456","2432","10","279","10","289","iRacing Formula Renault 2.0","100","0"
"12","74","Formula Renault 2.0","81","Formula Renault 2.0","81185","81185","Nicolas Guarino","17","15","0","Running","-44.591","0","","1:40.325","1:37.600","12","15","4","44","0","4","24","Hispanoamérica","1875","1858","11","342","11","348","iRacing Formula Renault 2.0","100","0"
"13","74","Formula Renault 2.0","81","Formula Renault 2.0","276247","276247","Miguel Angel Muñoz Juarez","13","16","0","Running","-54.188","0","","1:40.965","1:38.330","3","15","5","35","0","4","38","Iberia","1706","1684","17","188","17","195","iRacing Formula Renault 2.0","100","0"
"14","74","Formula Renault 2.0","81","Formula Renault 2.0","280272","280272","Charles-Eric Lemelin","15","17","0","Running","-54.799","0","","1:41.006","1:37.964","8","15","6","26","0","3","15","Canada","1635","1604","14","269","14","271","iRacing Formula Renault 2.0","100","0"
"15","74","Formula Renault 2.0","81","Formula Renault 2.0","173036","173036","Gordon Anderson","16","14","0","Running","-55.458","0","","1:41.050","1:37.685","10","15","7","17","0","4","36","UK and I","1889","1837","15","303","15","303","iRacing Formula Renault 2.0","100","0"
"16","74","Formula Renault 2.0","81","Formula Renault 2.0","279315","279315","Justin Bullard","12","11","0","Running","-1:05.425","0","","1:41.714","1:37.931","14","15","5","8","0","3","30","Texas","2066","1996","16","499","16","496","iRacing Formula Renault 2.0","100","0"
"17","74","Formula Renault 2.0","81","Formula Renault 2.0","88481","88481","Gerard Cabrera","14","12","0","Running","-1:08.974","0","","1:41.951","1:37.871","13","15","6","4","0","3","38","Iberia","1976","1897","18","232","18","233","iRacing Formula Renault 2.0","100","0"
