"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2017.12.16 6:45 PM GMT","Watkins Glen International - Boot","iRacing Formula Renault 2.0","2018","1","N/A","1","1040"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","74","Formula Renault 2.0","81","Formula Renault 2.0","269802","269802","Jonathan Miguel Gonzalez","6","10","0","Running","-00.000","9","","1:46.399","1:45.168","10","18","6","65","21","7","38","Iberia","1150","1238","9","182","9","194","iRacing Formula Renault 2.0","100","0"
"2","74","Formula Renault 2.0","81","Formula Renault 2.0","298786","298786","Micael Naser","5","1","0","Running","-24.565","0","","1:47.757","1:45.936","10","18","7","61","19","5","36","UK and I","1437","1502","10","266","10","271","iRacing Formula Renault 2.0","100","0"
"3","74","Formula Renault 2.0","81","Formula Renault 2.0","164738","164738","M Diaz Costales","7","2","0","Running","-26.906","0","","1:47.887","1:46.885","15","18","1","58","17","5","38","Iberia","1304","1366","11","333","11","347","iRacing Formula Renault 2.0","100","0"
"4","74","Formula Renault 2.0","81","Formula Renault 2.0","279945","279945","Malte Stahnke","11","3","0","Running","-34.088","0","","1:48.285","1:46.543","11","18","0","55","15","5","42","DE-AT-CH","1376","1426","19","310","19","323","iRacing Formula Renault 2.0","100","0"
"5","74","Formula Renault 2.0","81","Formula Renault 2.0","62403","62403","Michael Hilliard","10","4","0","Running","-35.817","0","","1:48.382","1:46.998","16","18","0","52","13","5","18","Atlantic","1355","1396","19","363","19","380","iRacing Formula Renault 2.0","100","0"
"6","74","Formula Renault 2.0","81","Formula Renault 2.0","59850","59850","Mark Bartholomew","18","7","0","Running","-1:10.040","0","","1:50.282","1:47.972","15","18","6","49","11","6","14","New York","1211","1250","18","267","18","259","iRacing Formula Renault 2.0","100","0"
"7","74","Formula Renault 2.0","81","Formula Renault 2.0","290781","290781","Martin Ferreira","8","16","0","Running","-1:17.254","0","","1:49.303","1:46.842","8","18","1","46","9","7","24","Hispanoamérica","855","906","9","146","9","177","iRacing Formula Renault 2.0","100","0"
"8","74","Formula Renault 2.0","81","Formula Renault 2.0","290918","290918","Derek Beattie","12","14","0","Running","-1:21.881","0","","1:50.941","1:48.349","4","18","2","43","7","8","15","Canada","918","956","15","312","15","322","iRacing Formula Renault 2.0","100","0"
"9","74","Formula Renault 2.0","81","Formula Renault 2.0","295637","295637","Bruno Dupont","17","18","0","Running","-1 L","0","","1:57.797","1:54.445","8","17","0","40","5","7","39","France","843","877","20","477","20","488","iRacing Formula Renault 2.0","100","0"
"10","74","Formula Renault 2.0","81","Formula Renault 2.0","288002","288002","Ryan O'Toole2","14","15","0","Running","-1 L","0","","1:58.478","1:48.930","2","17","4","37","3","7","30","Texas","879","902","11","330","11","337","iRacing Formula Renault 2.0","100","0"
