"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2017.12.17 6:45 PM GMT","Watkins Glen International - Boot","iRacing Formula Renault 2.0","2018","1","N/A","1","2761"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","74","Formula Renault 2.0","81","Formula Renault 2.0","116453","116453","Kristian Takacs","1","1","0","Running","-00.000","11","","1:43.819","1:42.871","3","18","3","168","21","1","43","Scandinavia","5556","5593","18","231","18","239","iRacing Formula Renault 2.0","100","0"
"2","74","Formula Renault 2.0","81","Formula Renault 2.0","228722","228722","Manuel Heuer","2","4","0","Running","-01.050","7","","1:43.877","1:42.761","12","18","1","160","19","1","42","DE-AT-CH","3405","3476","15","350","15","360","iRacing Formula Renault 2.0","100","0"
"3","74","Formula Renault 2.0","81","Formula Renault 2.0","67395","67395","Nikolay Andreev","3","13","0","Running","-07.312","0","","1:44.225","1:43.267","17","18","3","152","17","2","46","Central-Eastern Europe","2483","2570","11","334","11","345","iRacing Formula Renault 2.0","100","0"
"4","74","Formula Renault 2.0","81","Formula Renault 2.0","102791","102791","Charlie Summers","20","2","0","Running","-07.701","0","","1:44.246","1:42.665","17","18","2","144","15","1","36","UK and I","5198","5213","18","243","18","256","iRacing Formula Renault 2.0","100","0"
"5","74","Formula Renault 2.0","81","Formula Renault 2.0","24588","24588","Robert Dutton","4","17","0","Running","-14.973","0","","1:44.651","1:43.724","13","18","0","136","13","2","33","Northwest","2347","2420","19","329","19","343","iRacing Formula Renault 2.0","100","0"
"6","74","Formula Renault 2.0","81","Formula Renault 2.0","255380","255380","I.M Keeman","6","8","0","Running","-15.198","0","","1:44.663","1:43.698","14","18","2","128","11","2","40","Benelux","3048","3092","17","157","17","175","iRacing Formula Renault 2.0","100","0"
"7","74","Formula Renault 2.0","81","Formula Renault 2.0","53721","53721","Lubomir Moric","5","3","0","Running","-15.738","0","","1:44.693","1:43.475","18","18","0","120","9","1","46","Central-Eastern Europe","4479","4480","20","492","20","499","iRacing Formula Renault 2.0","100","0"
"8","74","Formula Renault 2.0","81","Formula Renault 2.0","154266","154266","Stephan Roesgen","12","9","0","Running","-37.107","0","","1:45.880","1:44.291","16","18","4","112","7","2","42","DE-AT-CH","2922","2951","18","215","18","223","iRacing Formula Renault 2.0","100","0"
"9","74","Formula Renault 2.0","81","Formula Renault 2.0","172602","172602","Vincent Guertin","14","14","0","Running","-46.471","0","","1:46.400","1:45.289","6","18","3","104","5","2","15","Canada","2476","2509","15","338","15","343","iRacing Formula Renault 2.0","100","0"
"10","74","Formula Renault 2.0","81","Formula Renault 2.0","249338","249338","Mariano Martin Garcia","22","18","0","Running","-52.460","0","","1:46.732","1:45.161","13","18","0","96","3","3","38","Iberia","2032","2070","18","268","18","289","iRacing Formula Renault 2.0","100","0"
"11","74","Formula Renault 2.0","81","Formula Renault 2.0","171465","171465","Edward A Samborski","10","10","0","Running","-53.582","0","","1:46.795","1:44.406","4","18","3","88","1","2","14","New York","2755","2761","18","243","18","250","iRacing Formula Renault 2.0","100","0"
"12","74","Formula Renault 2.0","81","Formula Renault 2.0","224222","224222","Justin Hess","13","11","0","Running","-1:14.557","0","","1:47.960","1:44.296","4","18","5","80","0","2","21","Georgia","2615","2616","20","430","20","419","iRacing Formula Renault 2.0","100","0"
"13","74","Formula Renault 2.0","81","Formula Renault 2.0","142118","142118","Irmas Ibric","19","20","0","Running","-1:45.368","0","","1:49.672","1:48.614","17","18","1","72","0","3","42","DE-AT-CH","2025","2036","19","345","19","348","iRacing Formula Renault 2.0","100","0"
"14","74","Formula Renault 2.0","81","Formula Renault 2.0","31539","31539","Terry Taylor","18","22","0","Running","-1 L","0","","1:51.942","1:49.655","10","17","4","64","0","3","17","Virginias","1919","1924","17","171","17","181","iRacing Formula Renault 2.0","100","0"
"15","74","Formula Renault 2.0","81","Formula Renault 2.0","232959","232959","Vincenzo Marchiafava","17","21","0","Running","-1 L","0","","1:53.723","1:46.584","5","17","2","56","0","3","40","Benelux","1989","1984","15","360","15","368","iRacing Formula Renault 2.0","100","0"
"16","74","Formula Renault 2.0","81","Formula Renault 2.0","71704","71704","Grégoire Gomes","7","5","32","Disconnected","-2 L","0","","1:46.534","1:43.632","10","16","8","48","0","1","36","UK and I","3341","3287","11","313","11","313","iRacing Formula Renault 2.0","100","0"
"17","74","Formula Renault 2.0","81","Formula Renault 2.0","80197","80197","Peter Dimov","9","7","32","Disconnected","-9 L","0","","1:46.596","1:44.253","6","9","8","40","0","2","6","California Club","3285","3223","18","219","18","203","iRacing Formula Renault 2.0","100","0"
"18","74","Formula Renault 2.0","81","Formula Renault 2.0","172501","172501","Cristobal Gutierrez","8","15","32","Disconnected","-10 L","0","","1:46.168","1:44.288","4","8","2","32","0","2","38","Iberia","2429","2383","19","353","19","351","iRacing Formula Renault 2.0","100","0"
"19","74","Formula Renault 2.0","81","Formula Renault 2.0","293070","293070","Min Fernandez","21","12","32","Disconnected","-13 L","0","","2:12.780","","","5","7","24","0","2","45","Brazil","2489","2432","15","305","14","249","iRacing Formula Renault 2.0","100","0"
"20","74","Formula Renault 2.0","81","Formula Renault 2.0","285767","285767","Zachary Leman","16","16","32","Disconnected","-16 L","0","","1:57.406","","","2","4","16","0","2","15","Canada","2278","2218","15","327","15","318","iRacing Formula Renault 2.0","100","0"
