"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2018.07.10 7:00 PM GMT","Summit Point Raceway - Jefferson Circuit","Global Mazda MX-5 Cup","2018","3","A","5","1288"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","25851","25851","Leroy Buell","1","1","0","Running","-00.000","14","","57.449","56.326","6","15","0","76","0","0","22","Florida","1199","1294","6","258","6","275","Global Mazda MX-5 Cup","100","0"
"2","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","319490","319490","Ayce Allchorn","2","10","0","Running","-02.014","1","","57.583","56.702","4","15","5","68","0","0","36","UK and I","","","2","282","2","288","Global Mazda MX-5 Cup","100","0"
"3","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","286532","286532","Charles Burks","4","5","0","Running","-08.375","0","","58.007","56.489","3","15","1","60","0","0","31","Great Plains","","","2","260","2","275","Global Mazda MX-5 Cup","100","0"
"4","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","328242","328242","Alexandre dos Santos","3","9","0","Running","-10.913","0","","58.177","56.328","2","15","4","53","0","0","45","Brazil","1154","1197","5","161","5","173","Global Mazda MX-5 Cup","100","0"
"5","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","331613","331613","Jacob Hamilton3","7","7","0","Running","-17.367","0","","58.607","57.383","13","15","1","45","0","0","17","Virginias","","","2","247","2","263","Global Mazda MX-5 Cup","100","0"
"6","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","322894","322894","Charles Payne3","10","2","0","Running","-50.221","0","","1:00.797","58.203","4","15","12","38","0","0","23","Mid-South","","","2","254","2","249","Global Mazda MX-5 Cup","100","0"
"7","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","331674","331674","Angel Luis Caravaca Albaladejo","5","6","0","Running","-52.328","0","","1:00.937","57.839","7","15","10","30","0","0","38","Iberia","","","2","240","2","244","Global Mazda MX-5 Cup","100","0"
"8","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","301523","301523","Zacarías Parrilla","9","8","0","Running","-1 L","0","","1:02.026","59.170","14","14","1","22","0","0","38","Iberia","","","2","257","2","272","Global Mazda MX-5 Cup","100","0"
"9","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","283423","283423","Nick de Vries","8","4","0","Running","-1 L","0","","1:03.030","58.992","2","14","4","15","0","0","40","Benelux","","","2","279","2","288","Global Mazda MX-5 Cup","100","0"
"10","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","331682","331682","Nicolas Maynard Mellado","6","3","32","Disconnected","-13 L","0","","1:01.643","","","2","1","7","0","0","38","Iberia","","","2","261","2","263","Global Mazda MX-5 Cup","100","0"
"11","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","179175","179175","Steve Pribyl","11","11","32","Disconnected","-15 L","0","","00.000","","","0","0","0","0","0","26","Illinois","","","2","238","2","238","Global Mazda MX-5 Cup","100","0"
