"Start Time","Track","Series","Season Year","Season Quarter","Rookie Season","Race Week","Strength of Field"
"2018.07.15 12:00 AM GMT","Summit Point Raceway - Jefferson Circuit","Global Mazda MX-5 Cup","2018","3","A","5","2080"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Pts","Club Pts","Div","Club ID","Club","Old iRating","New iRating","Old License Level","Old License Sub-Level","New License Level","New License Sub-Level","Series Name","Max Fuel Fill%","Weight Penalty (KG)"
"1","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","295251","295251","Jacob Beasley","1","1","0","Running","-00.000","15","","55.751","54.799","3","15","0","121","0","0","25","Carolina","3364","3418","7","358","7","369","Global Mazda MX-5 Cup","100","0"
"2","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","330369","330369","Renato Miyaguchi","2","9","0","Running","-04.096","0","","56.024","54.871","3","15","9","110","0","0","45","Brazil","1558","1652","7","353","7","344","Global Mazda MX-5 Cup","100","0"
"3","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","331776","331776","André Antunes5","3","7","0","Running","-04.435","0","","56.046","54.819","2","15","10","99","0","0","38","Iberia","1881","1947","6","284","6","276","Global Mazda MX-5 Cup","100","0"
"4","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","249754","249754","Alexandre Crespo","4","3","0","Running","-04.934","0","","56.079","54.816","2","15","0","88","0","0","45","Brazil","2654","2678","18","247","18","258","Global Mazda MX-5 Cup","100","0"
"5","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","25211","25211","Drew Eckels","10","2","0","Running","-05.583","0","","56.122","54.915","7","15","8","77","0","0","23","Mid-South","3348","3338","14","239","14","226","Global Mazda MX-5 Cup","100","0"
"6","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","94549","94549","Gary Johnson3","11","5","0","Running","-05.935","0","","56.146","54.887","8","15","4","66","0","0","20","Ohio","2238","2241","7","364","7","363","Global Mazda MX-5 Cup","100","0"
"7","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","254323","254323","Matt Larsen","7","4","0","Running","-12.409","0","","56.578","55.478","6","15","5","55","0","0","31","Great Plains","2539","2517","13","170","13","170","Global Mazda MX-5 Cup","100","0"
"8","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","307185","307185","Giuseppe Bacigalupo","6","6","0","Running","-16.290","0","","56.836","55.718","7","15","2","44","0","0","24","Hispanoamérica","2053","2030","10","253","10","258","Global Mazda MX-5 Cup","100","0"
"9","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","328098","328098","Paulo Miranda","9","11","0","Running","-17.357","0","","56.907","55.701","3","15","3","33","0","0","38","Iberia","1523","1504","11","347","11","348","Global Mazda MX-5 Cup","100","0"
"10","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","331169","331169","salva FERNANDEZ","5","12","0","Running","-18.826","0","","56.764","55.139","2","15","2","22","0","0","38","Iberia","1431","1399","6","247","6","258","Global Mazda MX-5 Cup","100","0"
"11","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","237927","237927","Ronald Vanuytrecht","8","8","0","Running","-33.435","0","","57.979","56.002","5","15","5","11","0","0","40","Benelux","1877","1811","11","382","11","376","Global Mazda MX-5 Cup","100","0"
"12","67","Global Mazda MX-5 Cup","74","Mazda MX-5 Cup 2016","249752","249752","Sandro Vilas Boas","12","10","0","Running","-36.693","0","","58.196","55.655","8","15","3","5","0","0","45","Brazil","1528","1459","11","378","11","378","Global Mazda MX-5 Cup","100","0"
